"Rank","Profile","Phase","Model","Set","Window","From","To","HandoffConfig","ExpectedReportName","GuardrailStatus","GuardrailScore","RiskFlags","OverfitFlags"
"1","baseline_promoted","phase1_mtf_trend_probe","2","mtf_trend_probe","2026_YTD","2026.01.01","2026.07.02","outputs\mtf_trend_probe_handoff\configs\001_baseline_promoted_mtf_probe_2026_YTD.ini","mtf_probe_baseline_promoted_2026_YTD","REVIEW_REQUIRED","82","equity_drawdown_guard_disabled","adaptive_reverse_requires_walk_forward"
"2","baseline_promoted_h1_mtf","phase1_mtf_trend_probe","2","mtf_trend_probe","2026_YTD","2026.01.01","2026.07.02","outputs\mtf_trend_probe_handoff\configs\002_baseline_promoted_h1_mtf_probe_2026_YTD.ini","mtf_probe_baseline_promoted_h1_mtf_2026_YTD","REVIEW_REQUIRED","84","mtf_filter_candidate;equity_drawdown_guard_disabled","adaptive_reverse_requires_walk_forward;requires_full_walk_forward"
"3","tp38_sl18","phase1_mtf_trend_probe","2","mtf_trend_probe","2026_YTD","2026.01.01","2026.07.02","outputs\mtf_trend_probe_handoff\configs\003_tp38_sl18_mtf_probe_2026_YTD.ini","mtf_probe_tp38_sl18_2026_YTD","REVIEW_REQUIRED","90","","adaptive_reverse_requires_walk_forward"
"4","tp38_sl18_h1_mtf","phase1_mtf_trend_probe","2","mtf_trend_probe","2026_YTD","2026.01.01","2026.07.02","outputs\mtf_trend_probe_handoff\configs\004_tp38_sl18_h1_mtf_probe_2026_YTD.ini","mtf_probe_tp38_sl18_h1_mtf_2026_YTD","REVIEW_REQUIRED","92","mtf_filter_candidate","adaptive_reverse_requires_walk_forward;requires_full_walk_forward"
