"Rank","Profile","Phase","Model","Set","Window","From","To","HandoffConfig","ExpectedReportName","GuardrailStatus","GuardrailScore","RiskFlags","OverfitFlags"
"1","tp38_sl18","phase1_recent_oos","2","recent_oos","2025_Q4","2025.10.01","2025.12.31","outputs\recent_oos_handoff\configs\001_tp38_sl18_recent_oos_2025_Q4.ini","recent_oos_tp38_sl18_2025_Q4","REVIEW_REQUIRED","90","","adaptive_reverse_requires_walk_forward"
"2","baseline_promoted","phase1_recent_oos","2","recent_oos","2025_Q4","2025.10.01","2025.12.31","outputs\recent_oos_handoff\configs\002_baseline_promoted_recent_oos_2025_Q4.ini","recent_oos_baseline_promoted_2025_Q4","REVIEW_REQUIRED","82","equity_drawdown_guard_disabled","adaptive_reverse_requires_walk_forward"
"3","tp38_sl18","phase1_recent_oos","2","recent_oos","2026_Q1","2026.01.01","2026.03.31","outputs\recent_oos_handoff\configs\003_tp38_sl18_recent_oos_2026_Q1.ini","recent_oos_tp38_sl18_2026_Q1","REVIEW_REQUIRED","90","","adaptive_reverse_requires_walk_forward"
"4","baseline_promoted","phase1_recent_oos","2","recent_oos","2026_Q1","2026.01.01","2026.03.31","outputs\recent_oos_handoff\configs\004_baseline_promoted_recent_oos_2026_Q1.ini","recent_oos_baseline_promoted_2026_Q1","REVIEW_REQUIRED","82","equity_drawdown_guard_disabled","adaptive_reverse_requires_walk_forward"
"5","tp38_sl18","phase1_recent_oos","2","recent_oos","2026_Q2","2026.04.01","2026.06.30","outputs\recent_oos_handoff\configs\005_tp38_sl18_recent_oos_2026_Q2.ini","recent_oos_tp38_sl18_2026_Q2","REVIEW_REQUIRED","90","","adaptive_reverse_requires_walk_forward"
"6","baseline_promoted","phase1_recent_oos","2","recent_oos","2026_Q2","2026.04.01","2026.06.30","outputs\recent_oos_handoff\configs\006_baseline_promoted_recent_oos_2026_Q2.ini","recent_oos_baseline_promoted_2026_Q2","REVIEW_REQUIRED","82","equity_drawdown_guard_disabled","adaptive_reverse_requires_walk_forward"
"7","tp38_sl18","phase1_recent_oos","2","recent_oos","2026_YTD","2026.01.01","2026.07.02","outputs\recent_oos_handoff\configs\007_tp38_sl18_recent_oos_2026_YTD.ini","recent_oos_tp38_sl18_2026_YTD","REVIEW_REQUIRED","90","","adaptive_reverse_requires_walk_forward"
"8","baseline_promoted","phase1_recent_oos","2","recent_oos","2026_YTD","2026.01.01","2026.07.02","outputs\recent_oos_handoff\configs\008_baseline_promoted_recent_oos_2026_YTD.ini","recent_oos_baseline_promoted_2026_YTD","REVIEW_REQUIRED","82","equity_drawdown_guard_disabled","adaptive_reverse_requires_walk_forward"
