Profile,Window,FromDate,ToDate,HandoffConfig,ExpectedReportName,PairGroup,Notes
baseline_promoted,2026_YTD,2026.01.01,2026.07.02,outputs/confirmation_probe_handoff/configs/001_baseline_promoted_2026_ytd.ini,outputs\confirmation_probe_baseline_promoted_2026_YTD,baseline,Minimum confirmations 2 baseline.
baseline_promoted_confirm3,2026_YTD,2026.01.01,2026.07.02,outputs/confirmation_probe_handoff/configs/002_baseline_promoted_confirm3_2026_ytd.ini,outputs\confirmation_probe_baseline_promoted_confirm3_2026_YTD,baseline,Minimum confirmations 3 baseline.
tp38_sl18,2026_YTD,2026.01.01,2026.07.02,outputs/confirmation_probe_handoff/configs/003_tp38_sl18_2026_ytd.ini,outputs\confirmation_probe_tp38_sl18_2026_YTD,tp38,Minimum confirmations 2 TP38 candidate.
tp38_sl18_confirm3,2026_YTD,2026.01.01,2026.07.02,outputs/confirmation_probe_handoff/configs/004_tp38_sl18_confirm3_2026_ytd.ini,outputs\confirmation_probe_tp38_sl18_confirm3_2026_YTD,tp38,Minimum confirmations 3 TP38 candidate.
