"QueueRank","Candidate","Window","CompletedYear","From","To","Model","Deposit","ExpectedReportName","PackageConfig","ReportDestination","ProfileSha256","SourceSha256"
"1","mre_mo020_center","2015","True","2015.01.01","2015.12.31","4","10000","mre_mo020_2015_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\001_mre_mo020_2015_m4.ini","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2015_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302"
"2","mre_mo020_center","2016","True","2016.01.01","2016.12.31","4","10000","mre_mo020_2016_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\002_mre_mo020_2016_m4.ini","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2016_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302"
"3","mre_mo020_center","2017","True","2017.01.01","2017.12.31","4","10000","mre_mo020_2017_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\003_mre_mo020_2017_m4.ini","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2017_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302"
"4","mre_mo020_center","2018","True","2018.01.01","2018.12.31","4","10000","mre_mo020_2018_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\004_mre_mo020_2018_m4.ini","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2018_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302"
"5","mre_mo020_center","2019","True","2019.01.01","2019.12.31","4","10000","mre_mo020_2019_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\005_mre_mo020_2019_m4.ini","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2019_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302"
"6","mre_mo020_center","2020","True","2020.01.01","2020.12.31","4","10000","mre_mo020_2020_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\006_mre_mo020_2020_m4.ini","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2020_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302"
"7","mre_mo020_center","2021","True","2021.01.01","2021.12.31","4","10000","mre_mo020_2021_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\007_mre_mo020_2021_m4.ini","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2021_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302"
"8","mre_mo020_center","2022","True","2022.01.01","2022.12.31","4","10000","mre_mo020_2022_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\008_mre_mo020_2022_m4.ini","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2022_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302"
"9","mre_mo020_center","2023","True","2023.01.01","2023.12.31","4","10000","mre_mo020_2023_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\009_mre_mo020_2023_m4.ini","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2023_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302"
"10","mre_mo020_center","2024","True","2024.01.01","2024.12.31","4","10000","mre_mo020_2024_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\010_mre_mo020_2024_m4.ini","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2024_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302"
