"Window","Role","Model","Ticket","EntryTime","CloseTime","Month","Hour","Bias","Volume","EntryPrice","StopLoss","TakeProfit","PlannedR","Profit","RealizedR","EntryReason","CloseReason","Lane","ATR","SpreadPoints","MFE_R","MAE_R","HeldBars","ProfileId","SourceHash","RunLabel","SourceLog"
"2023_full","red_year","4","10","8/4/2023 1:30:00 PM","8/4/2023 3:30:05 PM","2023-08","13","sell","0.08","1931.96","1934.65","1927.43","1.68","36.32","16.88","BOS;Diagnostic trend fallback;","tp 1927.43","diagnostic_fallback","1.29","8","0.22","-0.4","8","range_elite_diag_2023_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2023_full_m4","PXEA_RANGE_ELITE_2023_m4_trades.csv"
"2023_full","red_year","4","12","8/7/2023 3:15:00 PM","8/7/2023 3:58:41 PM","2023-08","15","sell","0.07","1935.13","1938.08","1930.18","1.68","-20.65","-10.01","Diagnostic trend fallback;","sl 1938.08","diagnostic_fallback","1.41","8","-0.53","-0.55","2","range_elite_diag_2023_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2023_full_m4","PXEA_RANGE_ELITE_2023_m4_trades.csv"
"2023_full","red_year","4","14","8/8/2023 9:30:00 AM","8/8/2023 11:28:27 AM","2023-08","9","sell","0.08","1933.16","1935.71","1928.73","1.74","1.84","0.9","Diagnostic trend fallback;","sl 1932.93","diagnostic_fallback","1.27","8","1","-0.17","7","range_elite_diag_2023_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2023_full_m4","PXEA_RANGE_ELITE_2023_m4_trades.csv"
"2023_full","red_year","4","16","8/8/2023 1:15:00 PM","8/8/2023 3:01:24 PM","2023-08","13","sell","0.09","1933.74","1936.25","1927.35","2.54","57.51","25.44","Diagnostic trend fallback;","tp 1927.35","diagnostic_fallback","1.83","8","1.91","0.49","7","range_elite_diag_2023_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2023_full_m4","PXEA_RANGE_ELITE_2023_m4_trades.csv"
"2023_full","red_year","4","18","8/9/2023 7:00:00 AM","8/9/2023 8:10:59 AM","2023-08","7","sell","0.21","1930.1","1931.61","1925.22","3.24","-31.92","-10.09","Liquidity sweep;","sl 1931.61","liquidity_sweep","1.39","8","-0.2","-0.38","4","range_elite_diag_2023_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2023_full_m4","PXEA_RANGE_ELITE_2023_m4_trades.csv"
"2023_full","red_year","4","20","8/10/2023 7:15:00 AM","8/10/2023 8:48:02 AM","2023-08","7","sell","0.17","1918.35","1919.67","1914.06","3.24","-3.57","-1.59","Diagnostic trend fallback;","sl 1918.56","diagnostic_fallback","1.23","5","1.15","-0.13","6","range_elite_diag_2023_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2023_full_m4","PXEA_RANGE_ELITE_2023_m4_trades.csv"
"2023_full","red_year","4","22","8/10/2023 10:30:00 AM","8/10/2023 12:54:21 PM","2023-08","10","sell","0.14","1919.89","1921.5","1914.69","3.24","-21.14","-9.4","Diagnostic trend fallback;","sl 1921.40","diagnostic_fallback","1.49","8","0.64","-0.53","9","range_elite_diag_2023_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2023_full_m4","PXEA_RANGE_ELITE_2023_m4_trades.csv"
"2023_full","red_year","4","24","8/11/2023 7:15:00 AM","8/11/2023 8:30:28 AM","2023-08","7","sell","0.1","1914.14","1916.35","1910.42","1.68","-4.9","-2.22","Diagnostic trend fallback;","sl 1914.63","diagnostic_fallback","1.06","8","0.5","0.05","5","range_elite_diag_2023_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2023_full_m4","PXEA_RANGE_ELITE_2023_m4_trades.csv"
"2023_full","red_year","4","26","8/14/2023 8:45:00 AM","8/14/2023 10:37:12 AM","2023-08","8","sell","0.13","1913.35","1915.03","1909.85","2.09","-6.76","-3.1","Liquidity sweep;Diagnostic trend fallback;","sl 1913.87","sweep_plus_diagnostic","1","8","0.73","0.07","7","range_elite_diag_2023_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2023_full_m4","PXEA_RANGE_ELITE_2023_m4_trades.csv"
"2023_full","red_year","4","28","8/15/2023 10:45:00 AM","8/15/2023 12:21:35 PM","2023-08","10","buy","0.1","1905.09","1903.05","1909.8","2.31","-20.6","-10.12","Liquidity sweep;Diagnostic trend fallback;","sl 1903.05","sweep_plus_diagnostic","1.34","8","-0.05","-0.62","6","range_elite_diag_2023_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2023_full_m4","PXEA_RANGE_ELITE_2023_m4_trades.csv"
