QueueRank,Candidate,Role,Window,From,To,NetProfit,TotalReturnPercent,CagrPercent,ProfitFactor,TotalTrades,MaxDrawdownPercent,RecoveryFactor,ReturnDrawdown,SourceSha256,BinarySha256,ProfileSha256,ConfigSha256,ReportSha256
1,hrlc_control,control,older_2015_2018,2015.01.01,2018.12.31,1001.72,10.02,2.42,1.9,187,1.11,8.5464,9.027,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,0E62F49458B842BFD099D92845FD30B75419977DEFE6F208752536AC5FAC359B,D30FF0852B98E31FDD2909B3B8C4FE66AC540D473CC7FE41E6F2BBB5E8E49663,DC048621F8CD51A0F8011D583711062BA9D29327BCC4220A455C1A4FEAF0A040
2,hrlc_control,control,later_2019_2020,2019.01.01,2020.12.31,370.41,3.7,1.84,1.94,75,0.93,3.9135,3.9785,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,0E62F49458B842BFD099D92845FD30B75419977DEFE6F208752536AC5FAC359B,373704D9578B964251753BD3D944A440C61FF53F810847B4011DBE97B1703E01,AA5B8C7E99A6C984650AB3780D4B3131B034A3489329184945EF879B6EFF7D49
3,hrlc_control,control,continuous_2015_2020,2015.01.01,2020.12.31,1353.74,13.54,2.14,1.85,265,1.06,11.4559,12.7736,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,0E62F49458B842BFD099D92845FD30B75419977DEFE6F208752536AC5FAC359B,EBC8D26A3F6C38BD483E2E7CC333037786BBE73C914D8D01269F0EAF237809E9,B39A10CF9D2469297DEC3CEE2305D4CCE94A9D641EF94DD593BDA8413D9E0394
4,hrlc_strong020_reference,broad_reference,older_2015_2018,2015.01.01,2018.12.31,1024.13,10.24,2.47,1.91,187,1.22,7.9445,8.3934,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,CD32EF749414F40857E50D661F1F39CE297DCA119E2B3197B7B4C9FF0ACE64E8,BBF132D75A0610F9908F1304A28D21E55173CC46649813DCA24EC8ADB8988567,7333C7ED5A88CBB7744B21D67AB2C18BF621327CABEF3C70B28ED495936220CC
5,hrlc_strong020_reference,broad_reference,later_2019_2020,2019.01.01,2020.12.31,388.14,3.88,1.92,1.98,75,0.93,4.1008,4.172,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,CD32EF749414F40857E50D661F1F39CE297DCA119E2B3197B7B4C9FF0ACE64E8,4415D0E0E60C167FA41AE4F28111E708451DE7AADBF1FC80BC9E3382F4617FFC,DCD055B8918D072371AC9D5C8A44AE11151CCDB5FD0C47F605CE747C9E2D996A
6,hrlc_strong020_reference,broad_reference,continuous_2015_2020,2015.01.01,2020.12.31,1403.09,14.03,2.21,1.87,265,1.22,10.8843,11.5,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,CD32EF749414F40857E50D661F1F39CE297DCA119E2B3197B7B4C9FF0ACE64E8,C0988040BA53DECE8F07263F9685341C92195B6144F62DBF615D0B196622F9BB,17C090E3AC21676094E0E65866959FFBD41F139F920924993CD08B38A98898F8
7,hrlc_rr200,threshold_lower_neighbor,older_2015_2018,2015.01.01,2018.12.31,1005.65,10.06,2.43,1.9,187,1.22,7.8012,8.2459,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,7AD057CC310C109C756D7F1CD9EB1711EFF367D1933A737164AFF5831C4CCCEC,A94EE7EC4353DE34167219459BEEF75A961595FCF86EDED1307C1806A66C39C2,1C36C83B1BD3A853D2464071611FA169B49055C905D154E2E2F725C0BDF87E40
8,hrlc_rr200,threshold_lower_neighbor,later_2019_2020,2019.01.01,2020.12.31,388.14,3.88,1.92,1.98,75,0.93,4.1008,4.172,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,7AD057CC310C109C756D7F1CD9EB1711EFF367D1933A737164AFF5831C4CCCEC,81090B7BDB1D942169A283792F40658650E45D97E28EAEFB8AC81FF24FB09974,355057102D503A396C660E9AC930094CFB743885576797F2B893C46B1212EF3C
9,hrlc_rr200,threshold_lower_neighbor,continuous_2015_2020,2015.01.01,2020.12.31,1384.61,13.85,2.19,1.86,265,1.22,10.7409,11.3525,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,7AD057CC310C109C756D7F1CD9EB1711EFF367D1933A737164AFF5831C4CCCEC,6DE5FE24DAE102C62C72080DA85010040C362F7F377CF03F454CCB073682AA71,FA5175A5DA4D195161A2F5037946F715C860ADBF03F1AC5F11F186D884F59610
10,hrlc_center_rr250_cap020,center,older_2015_2018,2015.01.01,2018.12.31,1001.72,10.02,2.42,1.9,187,1.11,8.5464,9.027,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,5A6988527BD8D130D42637B1906FBADBED37E4C45E8CDBDFC5D1D4C2D39F488F,B7BD762DE83EF9FA7E991FCD2A530A2FC82D3918FDFB3A7E96B4215FF8488F30,839ED96D726FE221446C883C9F8D11428EA106213DFC21BBA07FC6F74CC25939
11,hrlc_center_rr250_cap020,center,later_2019_2020,2019.01.01,2020.12.31,388.14,3.88,1.92,1.98,75,0.93,4.1008,4.172,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,5A6988527BD8D130D42637B1906FBADBED37E4C45E8CDBDFC5D1D4C2D39F488F,7B49CC6EB0D0E5470A2E7315160F1EB66E4019F3D34472235D462B119A07D961,E0C9ED80C5DBE112F6A6CFB24CE01E55F66CC00F234FE1368D2115DB31CD5DCB
