"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","r10_a7_dfg_base","phase6_dfg_spread_yearly_model1","Peak R20 diagnostic fallback spread yearly Model1","2019_full","1","outputs\peak_r20_dfg_spread_yearly_package\configs\001_r10_a7_dfg_base_2019_full_m1.ini","outputs\peak_r20_dfg_spread_yearly_package\configs\001_r10_a7_dfg_base_2019_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2019_full_m1","outputs\peak_r20_dfg_spread_yearly_package\reports_here\peak_r20_dfg_spread_r10_a7_dfg_base_2019_full_m1","18DBB33E976DCDC7B6ACDE88A3B172C57E7F10047C6CF4700BE966BEF15D123D","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability."
"2","r10_a7_dfg_base","phase6_dfg_spread_yearly_model1","Peak R20 diagnostic fallback spread yearly Model1","2020_full","1","outputs\peak_r20_dfg_spread_yearly_package\configs\002_r10_a7_dfg_base_2020_full_m1.ini","outputs\peak_r20_dfg_spread_yearly_package\configs\002_r10_a7_dfg_base_2020_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2020_full_m1","outputs\peak_r20_dfg_spread_yearly_package\reports_here\peak_r20_dfg_spread_r10_a7_dfg_base_2020_full_m1","AE04F7F290EA300E014DE967105EEA1B64CF34CD27D43B90B4AF49D7F842C93F","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability."
"3","r10_a7_dfg_base","phase6_dfg_spread_yearly_model1","Peak R20 diagnostic fallback spread yearly Model1","2021_full","1","outputs\peak_r20_dfg_spread_yearly_package\configs\003_r10_a7_dfg_base_2021_full_m1.ini","outputs\peak_r20_dfg_spread_yearly_package\configs\003_r10_a7_dfg_base_2021_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2021_full_m1","outputs\peak_r20_dfg_spread_yearly_package\reports_here\peak_r20_dfg_spread_r10_a7_dfg_base_2021_full_m1","DE158FD515764086466B1858939186B06A842CDF415EB5B78B1ED9EBE1D2DFCE","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability."
"4","r10_a7_dfg_base","phase6_dfg_spread_yearly_model1","Peak R20 diagnostic fallback spread yearly Model1","2022_full","1","outputs\peak_r20_dfg_spread_yearly_package\configs\004_r10_a7_dfg_base_2022_full_m1.ini","outputs\peak_r20_dfg_spread_yearly_package\configs\004_r10_a7_dfg_base_2022_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2022_full_m1","outputs\peak_r20_dfg_spread_yearly_package\reports_here\peak_r20_dfg_spread_r10_a7_dfg_base_2022_full_m1","205C61E099CA37355402558C666B16EFEC2373259C8856EFFA4A59BB451CB12D","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability."
"5","r10_a7_dfg_base","phase6_dfg_spread_yearly_model1","Peak R20 diagnostic fallback spread yearly Model1","2023_full","1","outputs\peak_r20_dfg_spread_yearly_package\configs\005_r10_a7_dfg_base_2023_full_m1.ini","outputs\peak_r20_dfg_spread_yearly_package\configs\005_r10_a7_dfg_base_2023_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2023_full_m1","outputs\peak_r20_dfg_spread_yearly_package\reports_here\peak_r20_dfg_spread_r10_a7_dfg_base_2023_full_m1","CC2F6A90F336E813BC85D24E30B3148A93EE61213686CFA85F71D118F4612261","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability."
"6","r10_a7_dfg_base","phase6_dfg_spread_yearly_model1","Peak R20 diagnostic fallback spread yearly Model1","2024_full","1","outputs\peak_r20_dfg_spread_yearly_package\configs\006_r10_a7_dfg_base_2024_full_m1.ini","outputs\peak_r20_dfg_spread_yearly_package\configs\006_r10_a7_dfg_base_2024_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2024_full_m1","outputs\peak_r20_dfg_spread_yearly_package\reports_here\peak_r20_dfg_spread_r10_a7_dfg_base_2024_full_m1","22E755865C6645599C6572D0085CE35827F65804D44A74B0BAB0AF7E329A9050","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability."
"7","r10_a7_dfg_base","phase6_dfg_spread_yearly_model1","Peak R20 diagnostic fallback spread yearly Model1","2025_full","1","outputs\peak_r20_dfg_spread_yearly_package\configs\007_r10_a7_dfg_base_2025_full_m1.ini","outputs\peak_r20_dfg_spread_yearly_package\configs\007_r10_a7_dfg_base_2025_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2025_full_m1","outputs\peak_r20_dfg_spread_yearly_package\reports_here\peak_r20_dfg_spread_r10_a7_dfg_base_2025_full_m1","8E8F1110C477937F3F72BFD61344C9620D0BB57AA3C05B06C08F09771D6792BD","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability."
"8","r10_a7_dfg_base","phase6_dfg_spread_yearly_model1","Peak R20 diagnostic fallback spread yearly Model1","2026_ytd","1","outputs\peak_r20_dfg_spread_yearly_package\configs\008_r10_a7_dfg_base_2026_ytd_m1.ini","outputs\peak_r20_dfg_spread_yearly_package\configs\008_r10_a7_dfg_base_2026_ytd_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2026_ytd_m1","outputs\peak_r20_dfg_spread_yearly_package\reports_here\peak_r20_dfg_spread_r10_a7_dfg_base_2026_ytd_m1","5798FD4CDDC0FD64728D16FFA86EEB2B08B545297F6CF384FB53B6DDD7446217","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability."
"9","r10_a7_dfg_spread29","phase6_dfg_spread_yearly_model1","Peak R20 diagnostic fallback spread yearly Model1","2019_full","1","outputs\peak_r20_dfg_spread_yearly_package\configs\009_r10_a7_dfg_spread29_2019_full_m1.ini","outputs\peak_r20_dfg_spread_yearly_package\configs\009_r10_a7_dfg_spread29_2019_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread29_2019_full_m1","outputs\peak_r20_dfg_spread_yearly_package\reports_here\peak_r20_dfg_spread_r10_a7_dfg_spread29_2019_full_m1","30D8C691E6D57E9A8119FC1E771A5D0B78517E72E7648C225DE7967B073B0529","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability."
"10","r10_a7_dfg_spread29","phase6_dfg_spread_yearly_model1","Peak R20 diagnostic fallback spread yearly Model1","2020_full","1","outputs\peak_r20_dfg_spread_yearly_package\configs\010_r10_a7_dfg_spread29_2020_full_m1.ini","outputs\peak_r20_dfg_spread_yearly_package\configs\010_r10_a7_dfg_spread29_2020_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread29_2020_full_m1","outputs\peak_r20_dfg_spread_yearly_package\reports_here\peak_r20_dfg_spread_r10_a7_dfg_spread29_2020_full_m1","0983525FC6A313F2A1EE288322FADFED2D8BC4663E18875AF54585802971317B","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability."
