"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"","","momentum_d1_ema_slope_guard_discovery_model1","","","older_2015_2018","2015.01.01","2018.12.31","mdes_control_older_2015_2018_m1","PARSED","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_control_older_2015_2018_m1.htm","10000","1460","3.9973","1036.19","11036.19","10.36","2.59","2.5","1.96","5.63","5.45","45.65","184","6","117.21","1.11","84.54","117.21","8.8405"
"","","momentum_d1_ema_slope_guard_discovery_model1","","","middle_2019_2020","2019.01.01","2020.12.31","mdes_control_middle_2019_2020_m1","PARSED","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_control_middle_2019_2020_m1.htm","10000","730","1.9986","370.6","10370.6","3.71","1.85","1.84","1.94","5.01","5.64","47.3","74","6","94.65","0.93","73.83","94.65","3.9155"
"","","momentum_d1_ema_slope_guard_discovery_model1","","","recent_2021_2023","2021.01.01","2023.12.31","mdes_control_recent_2021_2023_m1","PARSED","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_control_recent_2021_2023_m1.htm","10000","1094","2.9952","629.61","10629.61","6.3","2.1","2.06","1.86","5.78","5.75","40.37","109","8","128.73","1.21","103.81","128.73","4.8909"
"","","momentum_d1_ema_slope_guard_discovery_model1","","","latest_2024_2026","2024.01.01","2026.07.12","mdes_control_latest_2024_2026_m1","PARSED","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_control_latest_2024_2026_m1.htm","10000","923","2.527","434.36","10434.36","4.34","1.72","1.7","3.05","12.78","6.89","52.94","34","4","127.62","1.22","58","127.62","3.4035"
"","","momentum_d1_ema_slope_guard_discovery_model1","","","continuous_2015_2026","2015.01.01","2026.07.12","mdes_control_continuous_2015_2026_m1","PARSED","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_control_continuous_2015_2026_m1.htm","10000","4210","11.5264","2660.57","12660.57","26.61","2.31","2.07","1.98","6.47","5.05","45.5","411","8","140.72","1.15","118.88","140.72","18.9068"
"","","momentum_d1_ema_slope_guard_discovery_model1","","","older_2015_2018","2015.01.01","2018.12.31","mdes_low075_older_2015_2018_m1","PARSED","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_low075_older_2015_2018_m1.htm","10000","1460","3.9973","885.38","10885.38","8.85","2.21","2.15","2.21","7.26","5.67","47.54","122","6","117.21","1.12","84.54","117.21","7.5538"
"","","momentum_d1_ema_slope_guard_discovery_model1","","","middle_2019_2020","2019.01.01","2020.12.31","mdes_low075_middle_2019_2020_m1","PARSED","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_low075_middle_2019_2020_m1.htm","10000","730","1.9986","242.67","10242.67","2.43","1.21","1.21","2.18","6.56","5.06","51.35","37","5","77.4","0.76","43.4","77.4","3.1353"
"","","momentum_d1_ema_slope_guard_discovery_model1","","","recent_2021_2023","2021.01.01","2023.12.31","mdes_low075_recent_2021_2023_m1","PARSED","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_low075_recent_2021_2023_m1.htm","10000","1094","2.9952","871.83","10871.83","8.72","2.91","2.83","3.2","13.21","10.04","51.52","66","6","128.73","1.19","79.42","128.73","6.7725"
"","","momentum_d1_ema_slope_guard_discovery_model1","","","latest_2024_2026","2024.01.01","2026.07.12","mdes_low075_latest_2024_2026_m1","PARSED","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_low075_latest_2024_2026_m1.htm","10000","923","2.527","341.6","10341.6","3.42","1.35","1.34","3.35","18.98","4.52","61.11","18","2","127.62","1.23","56.56","127.62","2.6767"
"","","momentum_d1_ema_slope_guard_discovery_model1","","","continuous_2015_2026","2015.01.01","2026.07.12","mdes_low075_continuous_2015_2026_m1","PARSED","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_low075_continuous_2015_2026_m1.htm","10000","4210","11.5264","2612.36","12612.36","26.12","2.27","2.03","2.63","10.37","5.94","50.79","252","6","133.75","1.11","101.22","133.75","19.5317"
"","","momentum_d1_ema_slope_guard_discovery_model1","","","older_2015_2018","2015.01.01","2018.12.31","mdes_center100_older_2015_2018_m1","PARSED","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_center100_older_2015_2018_m1.htm","10000","1460","3.9973","955.07","10955.07","9.55","2.39","2.31","2.25","7.35","5.91","47.69","130","6","117.21","1.12","84.54","117.21","8.1484"
"","","momentum_d1_ema_slope_guard_discovery_model1","","","middle_2019_2020","2019.01.01","2020.12.31","mdes_center100_middle_2019_2020_m1","PARSED","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_center100_middle_2019_2020_m1.htm","10000","730","1.9986","311.57","10311.57","3.12","1.56","1.55","2.45","7.6","6.07","53.66","41","5","77.4","0.76","43.23","77.4","4.0255"
