"Candidate","MaximumATRPercent","Trades","NetProfit","ProfitFactor","Net2015","Net2016","Net2017","Net2018"
"mac_fixed_control","2.5","135","440.08","1.587","64.58","68.88","151.02","155.6"
"mac_cap024","0.24","106","460.79","1.782","52.57","111.24","156.6","140.38"
"mac_cap026","0.26","115","537.74","1.888","86.06","98.3","183.32","170.06"
"mac_cap028","0.28","121","491.8","1.751","71.51","87.16","163.07","170.06"
