"Candidate","SourceType","Phase","Expected","ParsedReports","ParsedLogs","ParsedTotal","Missing","Unparsed","TotalNetProfit","WorstNetProfit","AverageAnnualizedReturnPercent","WorstAnnualizedReturnPercent","AverageCagrPercent","WorstCagrPercent","WorstDrawdownPercent","MinProfitFactor","TotalTrades"
"r10_pg40_base","peak_r20_regime_filter_sweep","phase4_regime_filter_sweep_model1","5","0","5","5","0","0","389.31","-61.65","7.79","-6.19","7.79","-6.19","12.78","0.3507","64"
"r10_pg40_no_diagfallback","peak_r20_regime_filter_sweep","phase4_regime_filter_sweep_model1","5","0","5","5","0","0","-18.01","-72.35","-0.36","-7.26","-0.36","-7.26","10.54","0.4546","29"
"r10_pg40_adapt_s5","peak_r20_regime_filter_sweep","phase4_regime_filter_sweep_model1","5","0","5","5","0","0","58.95","-66.34","1.18","-6.66","1.18","-6.66","10.82","0.3966","36"
"r10_pg40_adapt_s6","peak_r20_regime_filter_sweep","phase4_regime_filter_sweep_model1","5","0","5","5","0","0","125.46","-56.95","2.51","-5.71","2.51","-5.71","8.94","0.4336","37"
"r10_pg40_adapt_s6_eff45","peak_r20_regime_filter_sweep","phase4_regime_filter_sweep_model1","5","0","5","5","0","0","125.46","-56.95","2.51","-5.71","2.51","-5.71","8.94","0.4336","37"
"r10_pg40_adapt_s7_eff45","peak_r20_regime_filter_sweep","phase4_regime_filter_sweep_model1","5","0","5","5","0","0","137.14","-74.05","2.76","-7.41","2.76","-7.41","7.4","0","19"
"r10_pg40_atr_085_165","peak_r20_regime_filter_sweep","phase4_regime_filter_sweep_model1","5","0","5","5","0","0","154.3","-24.87","3.09","-2.5","3.09","-2.5","11.91","0.4667","57"
"r10_pg40_atr_090_155","peak_r20_regime_filter_sweep","phase4_regime_filter_sweep_model1","5","0","5","5","0","0","109.48","-24.87","2.19","-2.5","2.19","-2.5","11.91","0.4667","51"
"r10_pg40_session_exhaust","peak_r20_regime_filter_sweep","phase4_regime_filter_sweep_model1","5","0","5","5","0","0","372.32","-47.23","7.45","-4.74","7.45","-4.74","12.78","0.3507","61"
"r10_pg40_adx22","peak_r20_regime_filter_sweep","phase4_regime_filter_sweep_model1","5","0","5","5","0","0","389.31","-61.65","7.79","-6.19","7.79","-6.19","12.78","0.3507","64"
"r10_pg40_adx24","peak_r20_regime_filter_sweep","phase4_regime_filter_sweep_model1","5","0","5","5","0","0","389.31","-61.65","7.79","-6.19","7.79","-6.19","12.78","0.3507","64"
"r10_pg40_weak_bypass16","peak_r20_regime_filter_sweep","phase4_regime_filter_sweep_model1","5","0","5","5","0","0","389.31","-61.65","7.79","-6.19","7.79","-6.19","12.78","0.3507","64"
"r10_pg40_weak_bypass16_no_ls","peak_r20_regime_filter_sweep","phase4_regime_filter_sweep_model1","5","0","5","5","0","0","354.74","-62.05","7.1","-6.23","7.1","-6.23","12.78","0","72"
