"EntryTime","ExitTime","EntryYear","EntryMonth","EntryHour","DayOfWeek","Symbol","Side","Volume","EntryPrice","ExitPrice","InitialStop","InitialTarget","InitialRiskMoney","RiskR","HoldMinutes","Profit","Winner","EntrySubtype","EntryComment","ExitComment"
"2019-01-28T07:00:00","2019-02-07T01:05:00","2019","1","7","Monday","XAUUSD","buy","0.03","1303.38","1307.41","1288.23",,"45.45","0.166117","14045","7.55","True","other","DDB;DDB;Daily Donchian buy;ADX",""
"2019-05-14T07:00:00","2019-05-17T15:41:09","2019","5","7","Tuesday","XAUUSD","buy","0.03","1299.52","1283.07","1283.19",,"48.99","-1.045928","4841.15","-51.24","False","other","DDB;DDB;Daily Donchian buy;ADX","sl 1283.19"
"2019-06-24T07:00:00","2019-07-02T01:05:00","2019","6","7","Monday","XAUUSD","buy","0.01","1403.3","1383.94","1377.45",,"25.85","-0.788781","11165","-20.39","False","other","DDB;DDB;Daily Donchian buy;ADX",""
"2019-07-19T07:00:00","2019-07-26T01:05:00","2019","7","7","Friday","XAUUSD","buy","0.01","1443.25","1414.84","1407.99",,"35.26","-0.831254","9725","-29.31","False","other","DDB;DDB;Daily Donchian buy;ADX",""
"2019-08-06T07:00:00","2019-09-10T01:05:00","2019","8","7","Tuesday","XAUUSD","buy","0.01","1461.18","1498.32","1428.07",,"33.11","0.985805","50045","32.64","True","other","DDB;DDB;Daily Donchian buy;ADX",""
"2019-12-27T08:30:00","2020-02-05T01:05:00","2019","12","8","Friday","XAUUSD","buy","0.02","1508.63","1553.18","1490.8",,"35.66","2.230791","57155","79.55","True","other","DDB;DDB;Daily Donchian buy;ADX",""
"2020-02-20T07:00:00","2020-02-28T17:36:54","2020","2","7","Thursday","XAUUSD","buy","0.02","1609.74","1586.63","1586.73",,"46.02","-1.048023","12156.9","-48.23","False","other","DDB;DDB;Daily Donchian buy;ADX","sl 1586.73"
"2020-06-23T07:00:00","2020-08-12T01:05:00","2020","6","7","Tuesday","XAUUSD","buy","0.01","1751.86","1915.36","1712.2",,"39.66","3.960414","71645","157.07","True","other","DDB;DDB;Daily Donchian buy;ADX",""
"2020-11-30T09:45:00","2020-12-02T10:32:03","2020","11","9","Monday","XAUUSD","sell","0.01","1779.76","1819.03","1819.01",,"39.25","-1.003057","2927.05","-39.37","False","other","DDB;DDB;Daily Donchian sell;AD","sl 1819.01"
"2020-12-18T07:00:00","2021-01-08T19:27:39","2020","12","7","Friday","XAUUSD","buy","0.01","1884.92","1843.05","1843.1",,"41.82","-1.065758","30987.65","-44.57","False","other","DDB;DDB;Daily Donchian buy;ADX","sl 1843.10"
"2021-02-18T07:00:00","2021-03-18T00:05:00","2021","2","7","Thursday","XAUUSD","sell","0.01","1782.66","1748.79","1822.89",,"40.23","0.808103","39905","32.51","True","other","DDB;DDB;Daily Donchian sell;AD",""
"2021-05-19T07:00:00","2021-06-04T01:05:00","2021","5","7","Wednesday","XAUUSD","buy","0.01","1868.66","1871.33","1832.16",,"36.5","0.009863","22685","0.36","True","other","DDB;DDB;Daily Donchian buy;ADX",""
"2021-09-06T07:00:00","2021-09-07T17:15:30","2021","9","7","Monday","XAUUSD","buy","0.01","1825.9","1798.74","1798.78",,"27.12","-1.006268","2055.5","-27.29","False","other","DDB;DDB;Daily Donchian buy;ADX","sl 1798.78"
"2021-09-17T07:00:00","2021-10-05T01:05:00","2021","9","7","Friday","XAUUSD","sell","0.01","1758.13","1768.74","1789.17",,"31.04","-0.366946","25565","-11.39","False","other","DDB;DDB;Daily Donchian sell;AD",""
"2021-11-10T07:00:00","2021-11-23T01:05:00","2021","11","7","Wednesday","XAUUSD","buy","0.01","1826.52","1808","1794.72",,"31.8","-0.634906","18365","-20.19","False","other","DDB;DDB;Daily Donchian buy;ADX",""
"2021-12-03T07:00:00","2021-12-17T01:05:00","2021","12","7","Friday","XAUUSD","sell","0.01","1772.31","1798.63","1808.98",,"36.67","-0.736297","19805","-27","False","other","DDB;DDB;Daily Donchian sell;AD",""
"2022-02-14T07:00:00","2022-03-15T00:05:00","2022","2","7","Monday","XAUUSD","buy","0.01","1851.88","1953.28","1820.29",,"31.59","3.091801","41345","97.67","True","other","DDB;DDB;Daily Donchian buy;ADX",""
"2022-05-13T07:00:00","2022-05-24T01:05:00","2022","5","7","Friday","XAUUSD","sell","0.01","1824.96","1853.74","1870.85",,"45.89","-0.63674","15485","-29.22","False","other","DDB;DDB;Daily Donchian sell;AD",""
"2022-07-06T07:00:00","2022-07-25T01:02:00","2022","7","7","Wednesday","XAUUSD","sell","0.01","1769.23","1726.99","1802.61",,"33.38","1.237867","27002","41.32","True","other","DDB;DDB;Daily Donchian sell;AD",""
"2022-09-01T08:30:00","2022-09-12T18:55:39","2022","9","8","Thursday","XAUUSD","sell","0.01","1706.02","1735.08","1735.08",,"29.06","-1.015141","16465.65","-29.5","False","other","DDB;DDB;Daily Donchian sell;AD","sl 1735.08"
"2022-09-26T07:00:00","2022-10-03T17:08:15","2022","9","7","Monday","XAUUSD","sell","0.01","1638.51","1678.7","1678.7",,"40.19","-1.00846","10688.25","-40.53","False","other","DDB;DDB;Daily Donchian sell;AD","sl 1678.70"
"2022-12-02T07:00:00","2022-12-05T20:51:37","2022","12","7","Friday","XAUUSD","buy","0.01","1797.48","1766.98","1766.98",,"30.5","-1.004262","5151.62","-30.63","False","other","DDB;DDB;Daily Donchian buy;ADX","sl 1766.98"
