Gate,Feature,Operator,Threshold,EligibleDiagnostic,Score,Trades,NetR,ProfitFactor,WinRatePercent,RedYears,WorstYear,WorstYearR,DiscoveryR,RecentR,StressNetR,StressProfitFactor,StressRedYears,StressWorstYear,StressWorstYearR
ATRRatio<=0.9,ATRRatio,<=,0.9,False,-24.3914,3,-3.0092,0.0,0.0,3,2018,-1.0057,-2.0092,-1.0,-3.1592,0.0,3,2018,-1.0557
BandWidthATR<=2,BandWidthATR,<=,2.0,False,-24.3936,3,-3.0242,0.0,0.0,3,2024,-1.0132,-2.011,-1.0132,-3.1742,0.0,3,2024,-1.0632
StopATR>=0.6,StopATR,>=,0.6,False,-25.8956,40,27.7375,2.2876,47.5,4,2016,-1.0,17.3344,10.4032,25.7375,2.1392,4,2016,-1.05
ADX<=22,ADX,<=,22.0,False,-26.0763,41,26.7375,2.1861,46.34,4,2016,-1.0,16.3344,10.4032,24.6875,2.0442,4,2016,-1.05
ADXDelta<=10,ADXDelta,<=,10.0,False,-26.0763,41,26.7375,2.1861,46.34,4,2016,-1.0,16.3344,10.4032,24.6875,2.0442,4,2016,-1.05
DIEdge>=-20,DIEdge,>=,-20.0,False,-26.0763,41,26.7375,2.1861,46.34,4,2016,-1.0,16.3344,10.4032,24.6875,2.0442,4,2016,-1.05
AbsTrendDistATR<=12,AbsTrendDistATR,<=,12.0,False,-26.0763,41,26.7375,2.1861,46.34,4,2016,-1.0,16.3344,10.4032,24.6875,2.0442,4,2016,-1.05
AbsTrendSlopeATR<=0.75,AbsTrendSlopeATR,<=,0.75,False,-26.0763,41,26.7375,2.1861,46.34,4,2016,-1.0,16.3344,10.4032,24.6875,2.0442,4,2016,-1.05
BodyPct>=0,BodyPct,>=,0.0,False,-26.0763,41,26.7375,2.1861,46.34,4,2016,-1.0,16.3344,10.4032,24.6875,2.0442,4,2016,-1.05
WickPct>=15,WickPct,>=,15.0,False,-26.0763,41,26.7375,2.1861,46.34,4,2016,-1.0,16.3344,10.4032,24.6875,2.0442,4,2016,-1.05
WickPct>=20,WickPct,>=,20.0,False,-26.0763,41,26.7375,2.1861,46.34,4,2016,-1.0,16.3344,10.4032,24.6875,2.0442,4,2016,-1.05
