"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","m15sq_center","discovery_model1","Independent M15 volatility-squeeze discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\001_m15sq_center_older_2015_2018_m1.ini","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\001_m15sq_center_older_2015_2018_m1.ini","m15sq_center_older_2015_2018_m1","outputs\independent_m15_volatility_squeeze_discovery_model1_package\reports_here\m15sq_center_older_2015_2018_m1","501F7C8F73A6750C7AFA3A17B2D78C5414BD57E928C21937753EAE32CC47EDE9","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"2","m15sq_center","discovery_model1","Independent M15 volatility-squeeze discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\002_m15sq_center_discovery_2019_2020_m1.ini","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\002_m15sq_center_discovery_2019_2020_m1.ini","m15sq_center_discovery_2019_2020_m1","outputs\independent_m15_volatility_squeeze_discovery_model1_package\reports_here\m15sq_center_discovery_2019_2020_m1","501F7C8F73A6750C7AFA3A17B2D78C5414BD57E928C21937753EAE32CC47EDE9","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"3","m15sq_center","discovery_model1","Independent M15 volatility-squeeze discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\003_m15sq_center_continuous_2015_2020_m1.ini","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\003_m15sq_center_continuous_2015_2020_m1.ini","m15sq_center_continuous_2015_2020_m1","outputs\independent_m15_volatility_squeeze_discovery_model1_package\reports_here\m15sq_center_continuous_2015_2020_m1","501F7C8F73A6750C7AFA3A17B2D78C5414BD57E928C21937753EAE32CC47EDE9","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"4","m15sq_sq2","discovery_model1","Independent M15 volatility-squeeze discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\004_m15sq_sq2_older_2015_2018_m1.ini","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\004_m15sq_sq2_older_2015_2018_m1.ini","m15sq_sq2_older_2015_2018_m1","outputs\independent_m15_volatility_squeeze_discovery_model1_package\reports_here\m15sq_sq2_older_2015_2018_m1","E6624A38ADA9E9EF07028DDE4F99A9DACB0327185F058DDF4B24C0ACF3473CF1","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"5","m15sq_sq2","discovery_model1","Independent M15 volatility-squeeze discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\005_m15sq_sq2_discovery_2019_2020_m1.ini","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\005_m15sq_sq2_discovery_2019_2020_m1.ini","m15sq_sq2_discovery_2019_2020_m1","outputs\independent_m15_volatility_squeeze_discovery_model1_package\reports_here\m15sq_sq2_discovery_2019_2020_m1","E6624A38ADA9E9EF07028DDE4F99A9DACB0327185F058DDF4B24C0ACF3473CF1","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"6","m15sq_sq2","discovery_model1","Independent M15 volatility-squeeze discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\006_m15sq_sq2_continuous_2015_2020_m1.ini","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\006_m15sq_sq2_continuous_2015_2020_m1.ini","m15sq_sq2_continuous_2015_2020_m1","outputs\independent_m15_volatility_squeeze_discovery_model1_package\reports_here\m15sq_sq2_continuous_2015_2020_m1","E6624A38ADA9E9EF07028DDE4F99A9DACB0327185F058DDF4B24C0ACF3473CF1","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"7","m15sq_sq4","discovery_model1","Independent M15 volatility-squeeze discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\007_m15sq_sq4_older_2015_2018_m1.ini","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\007_m15sq_sq4_older_2015_2018_m1.ini","m15sq_sq4_older_2015_2018_m1","outputs\independent_m15_volatility_squeeze_discovery_model1_package\reports_here\m15sq_sq4_older_2015_2018_m1","195AF176D9ACF66D4978AC750BA3D52BCAD87006B9D33ED037AB913E820DEEE8","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"8","m15sq_sq4","discovery_model1","Independent M15 volatility-squeeze discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\008_m15sq_sq4_discovery_2019_2020_m1.ini","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\008_m15sq_sq4_discovery_2019_2020_m1.ini","m15sq_sq4_discovery_2019_2020_m1","outputs\independent_m15_volatility_squeeze_discovery_model1_package\reports_here\m15sq_sq4_discovery_2019_2020_m1","195AF176D9ACF66D4978AC750BA3D52BCAD87006B9D33ED037AB913E820DEEE8","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"9","m15sq_sq4","discovery_model1","Independent M15 volatility-squeeze discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\009_m15sq_sq4_continuous_2015_2020_m1.ini","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\009_m15sq_sq4_continuous_2015_2020_m1.ini","m15sq_sq4_continuous_2015_2020_m1","outputs\independent_m15_volatility_squeeze_discovery_model1_package\reports_here\m15sq_sq4_continuous_2015_2020_m1","195AF176D9ACF66D4978AC750BA3D52BCAD87006B9D33ED037AB913E820DEEE8","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"10","m15sq_kc140","discovery_model1","Independent M15 volatility-squeeze discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\010_m15sq_kc140_older_2015_2018_m1.ini","outputs\independent_m15_volatility_squeeze_discovery_model1_package\configs\010_m15sq_kc140_older_2015_2018_m1.ini","m15sq_kc140_older_2015_2018_m1","outputs\independent_m15_volatility_squeeze_discovery_model1_package\reports_here\m15sq_kc140_older_2015_2018_m1","FA382C98E489B75C4A5079E0C055D21F652FAE0D65002A9BCBB034C035B3FDC1","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
