"Phase","GateId","Feature","Threshold","Eligible","Trades","RetentionPercent","RemovedTrades","RemovedWinners","RemovedLosers","NetProfit","NetDelta","ProfitFactor","WinRatePercent","MaxConsecutiveLosses","TradeCloseDrawdown","NegativeYears","ActiveYears","BaselineTrades","BaselineNetProfit","BaselineProfitFactor","BaselineTradeCloseDrawdown","BaselineNegativeYears"
"discovery_extension_2015_2020","slope_atr_min_0p075","slope_atr","0.075","False","19","70.37","8","1","7","346.06","92.78","1.962","47.37","3","133.53","2","6","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","range_atr_min_1p4","range_atr","1.4","False","13","48.15","14","4","10","316.75","63.47","2.3252","46.15","3","107.11","3","6","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","ema_dist_atr_max_5","ema_dist_atr","5","False","19","70.37","8","3","5","312.63","59.35","1.6932","36.84","7","238.17","2","6","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","volume20_ratio_min_1","volume20_ratio","1","False","19","70.37","8","3","5","302.25","48.97","1.6666","36.84","5","209.92","2","6","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","break_atr_max_0p2","break_atr","0.2","False","4","14.81","23","7","16","269.98","16.7","6.7333","75","1","47.09","0","2","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","volume20_ratio_min_0p8","volume20_ratio","0.8","False","22","81.48","5","2","3","235.31","-17.97","1.4456","36.36","6","247.22","2","6","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","ema_dist_atr_max_3","ema_dist_atr","3","False","14","51.85","13","5","8","221.49","-31.79","1.6434","35.71","5","172.13","3","6","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","range_atr_min_1p2","range_atr","1.2","False","16","59.26","11","4","7","191.96","-61.32","1.5276","37.5","4","151.63","3","6","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","slope_atr_min_0p05","slope_atr","0.05","False","23","85.19","4","1","3","182.87","-70.41","1.3497","39.13","5","206.49","2","6","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","atr63_ratio_min_0p8","atr63_ratio","0.8","False","26","96.3","1","1","0","173.61","-79.67","1.2753","34.62","7","269.57","2","6","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","slope_atr_min_0p15","slope_atr","0.15","False","12","44.44","15","4","11","152.55","-100.73","1.7064","50","2","81.84","2","5","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","ema_dist_atr_max_4","ema_dist_atr","4","False","17","62.96","10","5","5","114.72","-138.56","1.2544","29.41","8","278.9","3","6","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","range_atr_min_1","range_atr","1","False","20","74.07","7","3","4","114.66","-138.62","1.238","35","6","219.37","3","6","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","volume20_ratio_min_1p2","volume20_ratio","1.2","False","5","18.52","22","8","14","104.79","-148.49","1.989","40","3","105.96","1","2","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","slope_atr_min_0p2","slope_atr","0.2","False","9","33.33","18","6","12","97.83","-155.45","1.545","44.44","2","123.73","1","3","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","range_atr_min_0p8","range_atr","0.8","False","24","88.89","3","2","1","80.41","-172.87","1.135","33.33","8","285.26","2","6","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","slope_atr_min_0p1","slope_atr","0.1","False","15","55.56","12","4","8","46.14","-207.14","1.1431","40","3","175.42","3","5","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","break_atr_max_0p4","break_atr","0.4","False","16","59.26","11","6","5","39.55","-213.73","1.091","25","5","201.87","3","5","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","atr63_ratio_min_0p9","atr63_ratio","0.9","False","21","77.78","6","3","3","34.44","-218.84","1.0662","33.33","7","303.23","3","6","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","atr63_ratio_min_1p1","atr63_ratio","1.1","False","5","18.52","22","8","14","-1.19","-254.47","0.9859","40","2","49.62","1","2","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","atr63_ratio_min_1","atr63_ratio","1","False","7","25.93","20","8","12","-92.12","-345.4","0.4745","28.57","3","107.81","3","4","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","ema_dist_atr_max_2","ema_dist_atr","2","False","8","29.63","19","9","10","-92.78","-346.06","0.6574","12.5","7","270.79","3","4","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","break_atr_max_0p8","break_atr","0.8","False","23","85.19","4","4","0","-115.79","-369.07","0.8164","26.09","8","310.3","3","5","27","253.28","1.4017","269.57","1"
"discovery_extension_2015_2020","break_atr_max_0p6","break_atr","0.6","False","23","85.19","4","4","0","-115.79","-369.07","0.8164","26.09","8","310.3","3","5","27","253.28","1.4017","269.57","1"

