"Lane","Trades","NetProfit","Wins","Losses","WinRatePercent","GrossWin","GrossLoss","ProfitFactor","AvgProfit"
"FMR","4","-3.98","2","2","50","14.42","-18.4","0.7837","-1"
"LiquiditySweep","14","38.61","5","9","35.71","204.45","-165.84","1.2328","2.76"
"ISLP","2","42.41","2","0","100","42.41","0","999","21.2"
"DiagnosticFallback","44","312.27","18","26","40.91","812.53","-500.26","1.6242","7.1"
