"Candidate","SourceType","Phase","Expected","ParsedReports","ParsedLogs","ParsedTotal","Missing","Unparsed","TotalNetProfit","WorstNetProfit","AverageAnnualizedReturnPercent","WorstAnnualizedReturnPercent","AverageCagrPercent","WorstCagrPercent","WorstDrawdownPercent","MinProfitFactor","TotalTrades"
"dgf_hp_control","dgf_highprofit_risk_shape","continuous_model4","1","1","0","1","0","0","1915.83","1915.83","25.45","25.45","15.28","15.28","24.58","1.72","127"
"dgf_hp_risk050","dgf_highprofit_risk_shape","continuous_model4","1","1","0","1","0","0","-158.03","-158.03","-2.1","-2.1","-2.26","-2.26","31.26","0.78","92"
"dgf_hp_risk060","dgf_highprofit_risk_shape","continuous_model4","1","1","0","1","0","0","-117.89","-117.89","-1.57","-1.57","-1.65","-1.65","32.18","0.84","91"
"dgf_hp_risk070","dgf_highprofit_risk_shape","continuous_model4","1","1","0","1","0","0","-96.99","-96.99","-1.29","-1.29","-1.35","-1.35","32.73","0.87","84"
"dgf_hp_risk080","dgf_highprofit_risk_shape","continuous_model4","1","1","0","1","0","0","-63.91","-63.91","-0.85","-0.85","-0.87","-0.87","32.47","0.92","84"
"dgf_hp_risk060_loss_scale","dgf_highprofit_risk_shape","continuous_model4","1","1","0","1","0","0","-124.07","-124.07","-1.65","-1.65","-1.74","-1.74","27.5","0.82","93"
"dgf_hp_risk080_loss_scale","dgf_highprofit_risk_shape","continuous_model4","1","1","0","1","0","0","238.06","238.06","3.16","3.16","2.88","2.88","20.13","1.24","101"
"dgf_hp_risk080_dd12","dgf_highprofit_risk_shape","continuous_model4","1","1","0","1","0","0","-96.91","-96.91","-1.29","-1.29","-1.35","-1.35","15.49","0.57","20"
"dgf_hp_peaktrail_20p70gb","dgf_highprofit_risk_shape","continuous_model4","1","1","0","1","0","0","75.9","75.9","1.01","1.01","0.98","0.98","22.26","1.14","35"
"dgf_hp_peaktrail_35p70gb","dgf_highprofit_risk_shape","continuous_model4","1","1","0","1","0","0","1915.83","1915.83","25.45","25.45","15.28","15.28","24.58","1.72","127"
"dgf_hp_risk080_peaktrail_20p70gb","dgf_highprofit_risk_shape","continuous_model4","1","1","0","1","0","0","-63.91","-63.91","-0.85","-0.85","-0.87","-0.87","32.47","0.92","84"
