"QueueRank","Candidate","Role","StrongSignalRiskEnabled","ATBSessionEnabled","ATBSessionStartHour","ATBSessionEndHour","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","rvsats_champion","champion_control","false","false","6","20","older_2015_2018","2015.01.01","2018.12.31","1","F3289098D26EF23E801F437934BC5B22AA2D796FB75CD217A4C78A24A153D406","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","860.86","8.61","2.09","1.79","187","44.92","1.01","8.159","8.5248","5.1","6","418F23B4C6A3F8BB7822BCD88B35292733E005E5414A7692D7403C0BDC2B827C"
"2","rvsats_champion","champion_control","false","false","6","20","middle_2019_2022","2019.01.01","2022.12.31","1","F3289098D26EF23E801F437934BC5B22AA2D796FB75CD217A4C78A24A153D406","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","694.54","6.95","1.69","1.81","141","41.84","1.17","5.731","5.9402","5.47","8","2B4BA7AB4BCEF61C9DD05ACC489779138947AC1C0C44F72225BAD9732AA292FF"
"3","rvsats_champion","champion_control","false","false","6","20","recent_2023_2026","2023.01.01","2026.07.12","1","F3289098D26EF23E801F437934BC5B22AA2D796FB75CD217A4C78A24A153D406","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","601.99","6.02","1.67","2.28","76","48.68","1.2","4.7171","5.0167","5.46","6","0B6D3EE7E77CAE14F107C1A785F8EB86D8B2A11769DD50D826C02766C1105F4D"
"4","rvsats_champion","champion_control","false","false","6","20","continuous_2015_2026","2015.01.01","2026.07.12","1","F3289098D26EF23E801F437934BC5B22AA2D796FB75CD217A4C78A24A153D406","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2195.53","21.96","1.74","1.83","415","44.82","1.17","15.8168","18.7692","4.58","8","85D47E49E50C54FBA8E11CFE0477FCC968A73B42EF620B504F73A80F665AA1E1"
"5","rvsats_strong","strong_control","true","false","6","20","older_2015_2018","2015.01.01","2018.12.31","1","1DB17A4ECF1F901F8403DF33C162C5D285023263C8FB2B03035686D7122D4797","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","860.86","8.61","2.09","1.79","187","44.92","1.01","8.159","8.5248","5.1","6","0E52B15470EA72DC1D54877C59479B2FB2E37748BC2D3D44A2EE859FDF75CF38"
"6","rvsats_strong","strong_control","true","false","6","20","middle_2019_2022","2019.01.01","2022.12.31","1","1DB17A4ECF1F901F8403DF33C162C5D285023263C8FB2B03035686D7122D4797","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","752.95","7.53","1.83","1.88","141","41.84","1.24","5.8833","6.0726","5.53","8","A726482A156BD6A389EA1632E470BE7EFCD9ABE6D9AF8486BB8F72BB871B2140"
"7","rvsats_strong","strong_control","true","false","6","20","recent_2023_2026","2023.01.01","2026.07.12","1","1DB17A4ECF1F901F8403DF33C162C5D285023263C8FB2B03035686D7122D4797","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","682.6","6.83","1.89","2.42","76","48.68","1.2","5.3487","5.6917","5.72","6","D30C953DFE64863C5FD20AAC0CC75A6E616CC5C629A46634110A360E154D1D3B"
"8","rvsats_strong","strong_control","true","false","6","20","continuous_2015_2026","2015.01.01","2026.07.12","1","1DB17A4ECF1F901F8403DF33C162C5D285023263C8FB2B03035686D7122D4797","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2391.89","23.92","1.88","1.89","415","44.82","1.21","16.562","19.7686","4.65","8","4AF1E8933B7D8CB632A759AED4321E2C1F9D6488C56D5C82BEB08A2FB59EEB20"
"9","rvsats_12_1","lower_neighbor","true","true","12","1","older_2015_2018","2015.01.01","2018.12.31","1","32A342EC9D87AFDABD4D224D64C1C6921529E3A259B7768E150379E1C3D9D5CC","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","780.5","7.8","1.9","1.75","171","43.86","1.01","7.3974","7.7228","5.32","5","E2C0AB4C5B1DD384585B0AB804EF032159F2101DBB9A4FDF53A6475CC8151360"
"10","rvsats_12_1","lower_neighbor","true","true","12","1","middle_2019_2022","2019.01.01","2022.12.31","1","32A342EC9D87AFDABD4D224D64C1C6921529E3A259B7768E150379E1C3D9D5CC","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","766.18","7.66","1.86","1.93","137","42.34","1.24","5.9867","6.1774","6.24","8","9A210DDC1615A0965BA0AA1EC2E6829E96A980A70BEA74DA79CCD3B235641393"
"11","rvsats_12_1","lower_neighbor","true","true","12","1","recent_2023_2026","2023.01.01","2026.07.12","1","32A342EC9D87AFDABD4D224D64C1C6921529E3A259B7768E150379E1C3D9D5CC","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","682.6","6.83","1.89","2.42","76","48.68","1.2","5.3487","5.6917","5.72","6","754F73EB0899F83872809E496FC7C6ACA5076C330682524A6F5A0A83703E5F7A"
"12","rvsats_12_1","lower_neighbor","true","true","12","1","continuous_2015_2026","2015.01.01","2026.07.12","1","32A342EC9D87AFDABD4D224D64C1C6921529E3A259B7768E150379E1C3D9D5CC","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2332.93","23.33","1.84","1.91","392","44.64","1.21","16.1538","19.281","5.02","8","F61F1ED4D5286C02D453217BC9573F2D2686E237761C38DA31B28F843A86FEA4"
"13","rvsats_16_1","center","true","true","16","1","older_2015_2018","2015.01.01","2018.12.31","1","9CFA366430CD5FFE35A9DDFA02F2A8777359DFC68BDEAC98C260327A2939206C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","799.29","7.99","1.94","1.8","165","44.85","1.01","7.5755","7.9109","5.75","5","28E15336B1F869FA9877E8CBFA7FB2B561203F528817D560C9672DD3A337E256"
"14","rvsats_16_1","center","true","true","16","1","middle_2019_2022","2019.01.01","2022.12.31","1","9CFA366430CD5FFE35A9DDFA02F2A8777359DFC68BDEAC98C260327A2939206C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","760.45","7.6","1.85","1.93","136","41.91","1.24","5.9419","6.129","6.41","8","7B946B0F8ECE5C9FA82F3F410A6E921CF6E6B23F10B4DAE7708E7EE19E4F129E"
"15","rvsats_16_1","center","true","true","16","1","recent_2023_2026","2023.01.01","2026.07.12","1","9CFA366430CD5FFE35A9DDFA02F2A8777359DFC68BDEAC98C260327A2939206C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","682.6","6.83","1.89","2.42","76","48.68","1.2","5.3487","5.6917","5.72","6","CE75853ED9CE5268B5BE6B237237DBC5F0815F9206CA6AADF10D740A285A4458"
"16","rvsats_16_1","center","true","true","16","1","continuous_2015_2026","2015.01.01","2026.07.12","1","9CFA366430CD5FFE35A9DDFA02F2A8777359DFC68BDEAC98C260327A2939206C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2344.44","23.44","1.84","1.93","384","44.79","1.21","16.2335","19.3719","5.25","8","59A529D9067F4A448341C9214E1FCD181CF50681F3F1B158BB3522CB9CF93AE1"
"17","rvsats_16_9","upper_neighbor","true","true","16","9","older_2015_2018","2015.01.01","2018.12.31","1","948A2FA90DDF9DB5C70AD994139397D287B9A8790ED32F2EA92C83777DC71DDA","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","884.46","8.84","2.14","1.85","181","45.86","1.01","8.3827","8.7525","5.47","6","2C1DB01324BF2E852BAD6BC781C619BC8B92D2A92CC9A944367FA1469B3B7C40"
"18","rvsats_16_9","upper_neighbor","true","true","16","9","middle_2019_2022","2019.01.01","2022.12.31","1","948A2FA90DDF9DB5C70AD994139397D287B9A8790ED32F2EA92C83777DC71DDA","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","747.59","7.48","1.82","1.87","141","41.84","1.24","5.8415","6.0323","5.51","8","0F6B4333CF7893B1C1EE4AE3E67120B8BD50DF8B778F20360930AD4453D3CE5B"
"19","rvsats_16_9","upper_neighbor","true","true","16","9","recent_2023_2026","2023.01.01","2026.07.12","1","948A2FA90DDF9DB5C70AD994139397D287B9A8790ED32F2EA92C83777DC71DDA","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","682.6","6.83","1.89","2.42","76","48.68","1.2","5.3487","5.6917","5.72","6","671C7E4524A93811B03516FAB549AC9C2E328C86B90969F913365477F91791FB"
"20","rvsats_16_9","upper_neighbor","true","true","16","9","continuous_2015_2026","2015.01.01","2026.07.12","1","948A2FA90DDF9DB5C70AD994139397D287B9A8790ED32F2EA92C83777DC71DDA","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2398.19","23.98","1.88","1.9","408","45.1","1.21","16.6057","19.8182","4.78","8","B7A7CD787FC2D3B79AA6717A9C92682D033012E917F1063F2D7A22F74F9D8582"
