"QueueRank","Candidate","Role","StrongSignalRiskEnabled","ProtectionEnabled","ProtectionTriggerR","ProtectionLockR","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","rvsstpll_control","control","false","false","1","0.1","older_2015_2018","2015.01.01","2018.12.31","1","BBC1ABF12750EEC061F109707E88684F6F96D5C43BF4CF3BF3185647D24B120C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","2206AA67DEFF2A52F24BABDE13F4A724C06B3A51D410EDF0E91502ED673BC0C4"
"2","rvsstpll_control","control","false","false","1","0.1","middle_2019_2022","2019.01.01","2022.12.31","1","BBC1ABF12750EEC061F109707E88684F6F96D5C43BF4CF3BF3185647D24B120C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","694.54","6.95","1.69","1.81","141","41.84","121.19","1.17","5.731","5.9402","5.47","8","28D23A789C4A2DE3E76A39FDD8767D3873B68D31E4F50E22E86FBA109A43F84E"
"3","rvsstpll_control","control","false","false","1","0.1","recent_2023_2026","2023.01.01","2026.07.12","1","BBC1ABF12750EEC061F109707E88684F6F96D5C43BF4CF3BF3185647D24B120C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","601.99","6.02","1.67","2.28","76","48.68","127.62","1.2","4.7171","5.0167","5.46","6","FA6966EB5ED7CB1705ABE2273E53ABE8C7F11913793E10C93FB22DBE7494F02D"
"4","rvsstpll_control","control","false","false","1","0.1","continuous_2015_2026","2015.01.01","2026.07.12","1","BBC1ABF12750EEC061F109707E88684F6F96D5C43BF4CF3BF3185647D24B120C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2195.53","21.96","1.74","1.83","415","44.82","138.81","1.17","15.8168","18.7692","4.58","8","5180351F363D10BDAADAA8C8C0BDB05A00481CE4E0A1683A779CE5C09EDAC8B4"
"5","rvsstpll_strong_only","strong_control","true","false","1","0.1","older_2015_2018","2015.01.01","2018.12.31","1","A8CE365BE1A2506399170298E180CD86B34370FE059E53A9C27DB6AA302568D6","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","165FBA5824988DFA0ECE38F02FC76B7CD086BC3C65A6B8D45BE8B21EF0914C20"
"6","rvsstpll_strong_only","strong_control","true","false","1","0.1","middle_2019_2022","2019.01.01","2022.12.31","1","A8CE365BE1A2506399170298E180CD86B34370FE059E53A9C27DB6AA302568D6","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","752.95","7.53","1.83","1.88","141","41.84","127.98","1.24","5.8833","6.0726","5.53","8","0A7CF653958FD4B2DCF9A55D7BD25B37D25FB54BBAD0F4C076F796D60137FD25"
"7","rvsstpll_strong_only","strong_control","true","false","1","0.1","recent_2023_2026","2023.01.01","2026.07.12","1","A8CE365BE1A2506399170298E180CD86B34370FE059E53A9C27DB6AA302568D6","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","682.6","6.83","1.89","2.42","76","48.68","127.62","1.2","5.3487","5.6917","5.72","6","C78FC414C58E45017CC56498B5737813B747927D4E198BD881CE15013103C677"
"8","rvsstpll_strong_only","strong_control","true","false","1","0.1","continuous_2015_2026","2015.01.01","2026.07.12","1","A8CE365BE1A2506399170298E180CD86B34370FE059E53A9C27DB6AA302568D6","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2391.89","23.92","1.88","1.89","415","44.82","144.42","1.21","16.562","19.7686","4.65","8","44FC630C7A6188A3AD2588147D350FB06A30AA3B5B516BA0B29E3B09158E4A29"
"9","rvsstpll_lock010","observed_reference","true","true","1","0.1","older_2015_2018","2015.01.01","2018.12.31","1","C5F9B3BB7CC93B7CD74FD322E54192D3DC4ABCA29DD67B2312CB68C966C9B818","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","793.76","7.94","1.93","1.73","187","44.92","105.51","1.01","7.5231","7.8614","4.77","6","0478F62E06EE96F330FF18D6C2E4DADB01FEAB36189107D1BF35179C1EC87FB1"
"10","rvsstpll_lock010","observed_reference","true","true","1","0.1","middle_2019_2022","2019.01.01","2022.12.31","1","C5F9B3BB7CC93B7CD74FD322E54192D3DC4ABCA29DD67B2312CB68C966C9B818","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","640.19","6.4","1.56","1.75","140","41.43","125.78","1.23","5.0898","5.2033","4.94","8","552BB8C2E3B051FBEE2EAD243C85431201F4676243D34EC3D4A2E88A0C6DAB34"
