"QueueRank","Candidate","Role","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","sslc_control","exact_control","older_2015_2018","2015.01.01","2018.12.31","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","856.18","8.56","2.08","1.79","187","44.92","1.01","8.0688","8.4752","19.63","6","202EA98A4A39C98CCF6A2948C57680F69CF0DD25AAE2EAE7091289D1C0A75AE1"
"2","sslc_control","exact_control","middle_2019_2022","2019.01.01","2022.12.31","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","572.09","5.72","1.4","1.68","131","39.69","1.17","4.8006","4.8889","6.07","8","F595BE76A07EDA1F4A3A74529CE16A87C91AE4BDCE5D50666B9DEDFF903678E5"
"3","sslc_control","exact_control","recent_2023_2026","2023.01.01","2026.07.18","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","602.11","6.02","1.66","2.28","76","48.68","1.24","4.7859","4.8548","13.5","6","102E1CA0B60F122C4AB5570D6A3CFD075405FD08F8FD1B9E5BBE7F28F7E13048"
"4","sslc_control","exact_control","continuous_2015_2026","2015.01.01","2026.07.18","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","2105.08","21.05","1.67","1.81","404","44.31","1.15","15.6686","18.3043","9.04","8","D2C3291643B6F3CCE20DB2CA9B38073795468269D910F59FE4FA605715DD7145"
"5","sslc_center015","frozen_center","older_2015_2018","2015.01.01","2018.12.31","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","988.8","9.89","2.39","1.89","187","44.92","1.12","8.3719","8.8304","20.04","6","7DE2610C671EEBAA299ED9FE5513358062AC3A2C53AC91B93B1DF381F0EBB737"
"6","sslc_center015","frozen_center","middle_2019_2022","2019.01.01","2022.12.31","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","743.07","7.43","1.81","1.87","131","39.69","1.23","5.9049","6.0407","6.86","8","41741EE3CE148380E572FF7CA5DB9376DA72FAD9C038024E6F44CFAF92322254"
"7","sslc_center015","frozen_center","recent_2023_2026","2023.01.01","2026.07.18","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","602.11","6.02","1.66","2.28","76","48.68","1.24","4.7859","4.8548","13.5","6","F5196C33179903BE92A476D29ABA9D3873873EC9B2582EFC53A360C277671BCB"
"8","sslc_center015","frozen_center","continuous_2015_2026","2015.01.01","2026.07.18","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","2428.5","24.28","1.9","1.89","404","44.31","1.18","17.0889","20.5763","9.65","8","1B673CD08DC8E3C826AD21EFF895F70EA6A9EBB461158DBE698CBC170B88AAE6"
