Candidate,DiscoveryFrom,DiscoveryTo,DiscoveryNet,DiscoveryProfitFactor,DiscoveryTrades,DiscoveryMaxDrawdownPercent,HoldoutFrom,HoldoutTo,HoldoutNet,HoldoutProfitFactorReported,HoldoutTrades,HoldoutMaxDrawdownPercent,RecentFrom,RecentTo,RecentNet,RecentTrades,MinimumRequiredHoldoutTrades,GateResult,Decision
h4ct_trail_40_20_l20_a25,2015-01-01,2020-12-31,268.97,1.73,101,0.89,2021-01-01,2026-07-12,23.95,0,1,0.16,2024-01-01,2026-07-12,0.00,0,40,FAIL_MINIMUM_ACTIVITY,REJECTED_NO_MODEL4
h4ct_trail_55_20_l20_a25,2015-01-01,2020-12-31,264.96,1.94,81,0.70,2021-01-01,2026-07-12,26.84,0,1,0.16,2024-01-01,2026-07-12,0.00,0,40,FAIL_MINIMUM_ACTIVITY,REJECTED_NO_MODEL4
h4ct_trail_55_20_l20_a30,2015-01-01,2020-12-31,328.77,2.12,76,0.76,2021-01-01,2026-07-12,23.67,0,1,0.19,2024-01-01,2026-07-12,0.00,0,40,FAIL_MINIMUM_ACTIVITY,REJECTED_NO_MODEL4
h4ct_trail_80_40_l20_a30,2015-01-01,2020-12-31,314.57,2.54,61,0.62,2021-01-01,2026-07-12,23.67,0,1,0.19,2024-01-01,2026-07-12,0.00,0,40,FAIL_MINIMUM_ACTIVITY,REJECTED_NO_MODEL4

