"Candidate","OlderNetProfit","OlderProfitFactor","OlderTrades","LaterNetProfit","LaterProfitFactor","LaterTrades","ContinuousNetProfit","ContinuousCagrPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","NumericPass","AdjacentPass","PassingNeighbors","Decision"
"m15vcr_adx22","47.36","1.37","28","-3.7","0.96","17","43.87","0.07","1.2","45","0.65","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcr_adx34","44.25","1.18","50","-33.02","0.83","37","9.38","0.02","1.02","87","1.14","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcr_center","60.74","1.3","43","0.93","1.01","30","61.88","0.1","1.17","73","0.82","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcr_dev030","60.74","1.3","43","0.93","1.01","30","61.88","0.1","1.17","73","0.82","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcr_dev060","60.74","1.3","43","0.93","1.01","30","61.88","0.1","1.17","73","0.82","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcr_ext12","69.84","1.36","42","-10.27","0.93","29","59.78","0.1","1.17","71","0.82","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcr_ext4","54.99","1.25","46","-7.08","0.96","31","48.12","0.08","1.12","77","0.81","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcr_nophase","-219.44","0.8","201","26.8","1.05","103","-180.5","-0.3","0.89","304","3.2","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcr_range090","-21.62","0.92","47","-3.33","0.98","35","-23.95","-0.04","0.95","82","1.05","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcr_range130","39.63","1.27","31","7.95","1.08","20","46.58","0.08","1.19","51","0.85","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcr_rr125","69.69","1.4","39","18.69","1.13","29","88.59","0.15","1.28","68","0.71","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcr_vol130","73.23","1.31","50","35.37","1.22","34","107.17","0.18","1.27","84","0.95","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcr_vol170","51.54","1.31","35","-43.63","0.67","23","4.42","0.01","1.01","58","0.79","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcr_wick35","25.29","1.11","47","-23.29","0.87","32","3.64","0.01","1.01","79","0.99","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcr_wick55","67.28","1.36","40","20.2","1.15","28","87.69","0.15","1.27","68","0.68","False","False","","REJECT_BEFORE_HOLDOUT"
