"Candidate","PhaseEnabled","OlderNetProfit","OlderProfitFactor","OlderTrades","LaterNetProfit","LaterProfitFactor","LaterTrades","ContinuousNetProfit","ContinuousTotalReturnPercent","ContinuousCagrPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","ReturnDrawdownEfficiency","BasicPass","ControlRelativeQualityPass","AdjacentPass","PassingNeighbors","Decision"
"mpp_center","true","703.62","1.86","150","-128.38","0.78","66","568.19","5.68","0.93","1.4","218","2.66","2.1353","False","False","False","","REJECT_BEFORE_HOLDOUT"
"mpp_fixed_control","false","814.7","1.87","152","-105.45","0.84","72","694.13","6.94","1.13","1.42","225","2.77","2.5054","False","False","False","","CONTROL_ONLY"
"mpp_lookback12","true","832.12","1.91","152","-61.36","0.9","68","747.49","7.47","1.21","1.48","224","2.58","2.8953","False","True","False","","REJECT_BEFORE_HOLDOUT"
"mpp_lookback48","true","667.92","1.96","149","-99.58","0.81","60","551.93","5.52","0.9","1.44","212","2.38","2.3193","False","False","False","","REJECT_BEFORE_HOLDOUT"
"mpp_narrow","true","713.35","1.94","149","-121.57","0.78","64","592.13","5.92","0.96","1.44","214","2.58","2.2946","False","False","False","","REJECT_BEFORE_HOLDOUT"
"mpp_scale25","true","622.93","1.81","126","-154.07","0.72","55","454.9","4.55","0.74","1.33","182","2.93","1.5529","False","False","False","","REJECT_BEFORE_HOLDOUT"
"mpp_scale75","true","766.19","1.87","152","-120.45","0.81","72","629.12","6.29","1.02","1.41","225","2.79","2.2545","False","False","False","","REJECT_BEFORE_HOLDOUT"
"mpp_wide","true","749.37","1.89","150","-98.83","0.84","69","631.03","6.31","1.03","1.42","220","2.71","2.3284","False","False","False","","REJECT_BEFORE_HOLDOUT"
