"Profile","Parsed","Expected","StatsParsed","ActiveWindows","ZeroTradeWindows","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows","TotalTrades","WorstEquityDrawdownPct","MinProfitFactor","AvgProfitFactor","ProfitFactorNonZeroSamples","MinNonZeroProfitFactor","AvgNonZeroProfitFactor","MinRecoveryFactor","AvgSharpeRatio"
"islp_lowatr_of","11","11","11","9","2","3435.65","","","","","","-30.48","1","34","30.9408","0","3.3795","7","1.4914","5.3106","-0.5184","3.2828"
"dec_islp_off","11","11","11","9","2","3421.49","","","","","","-44.64","1","34","30.9408","0","3.3795","7","1.4914","5.3106","-0.9789","3.2935"
