"Candidate","OlderNetProfit","OlderProfitFactor","OlderTrades","LaterNetProfit","LaterProfitFactor","LaterTrades","ContinuousNetProfit","ContinuousCagrPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","NumericPass","AdjacentPass","PassingNeighbors","Decision"
"m15sq_break16","28.43","1.2","29","38.38","1.86","12","66.81","0.11","1.35","41","0.57","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sq_break8","98.71","1.38","55","81.19","1.57","33","177.89","0.29","1.44","88","0.48","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sq_center","52.02","1.27","39","58.13","1.74","21","110.01","0.18","1.4","60","0.44","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sq_channel275","51.89","1.32","34","70.41","2.34","17","122.16","0.2","1.56","51","0.35","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sq_exp090","-80.32","0.76","55","16.16","1.12","31","-64.26","-0.11","0.86","86","1.5","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sq_exp130","61.6","1.65","22","14.34","1.18","16","77.81","0.13","1.44","38","0.72","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sq_kc140","62","1.49","28","27.35","1.64","11","89.21","0.15","1.52","39","0.37","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sq_kc160","41.8","1.18","46","43.48","1.4","25","85.28","0.14","1.25","71","0.62","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sq_notrend","-153.11","0.68","76","27.62","1.12","49","-127.72","-0.21","0.82","125","2.22","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sq_sq2","-22.33","0.9","39","12.67","1.12","21","-9.66","-0.02","0.97","60","0.81","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sq_sq4","31.73","1.2","30","9.94","1.1","20","41.67","0.07","1.16","50","0.6","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sq_tp125","56.7","1.31","40","37.48","1.42","22","95.74","0.16","1.35","62","0.46","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sq_tp200","79.63","1.41","39","71.3","1.9","21","149.04","0.25","1.55","60","0.66","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sq_trend200","-3.62","0.98","40","64.79","1.75","23","61.17","0.1","1.2","63","0.72","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sq_trend50","61.84","1.34","38","20.94","1.24","20","84.65","0.14","1.31","58","0.57","False","False","","REJECT_BEFORE_HOLDOUT"
