Candidate,Role,OlderDiscoveryNet,NewerDiscoveryNet,ContinuousDiscoveryNet,ContinuousProfitFactor,ContinuousMaxDrawdownPercent,ContinuousTrades,RedDiscoveryYears,Decision
ri_control,CONTROL,184.32,108.33,252.65,4.76,0.77,15,"2017;2019",CONTROL_CONFIRMED
ri_m12_r30,CANDIDATE,181.36,92.02,272.49,3.08,1.09,24,"2017;2019",REJECTED_NO_HOLDOUT_NO_MODEL4
ri_m12_r40,CANDIDATE,183.65,88.48,266.92,2.87,1.06,25,"2017;2019",REJECTED_NO_HOLDOUT_NO_MODEL4
ri_m10_r30,CANDIDATE,181.36,104.88,286.76,3.43,1.09,22,"2017;2019",REJECTED_NO_HOLDOUT_NO_MODEL4
ri_m10_r40,CANDIDATE,183.65,102.75,281.19,3.16,1.06,23,"2017;2019",REJECTED_NO_HOLDOUT_NO_MODEL4
