"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"maycap17_may2p80","3","3","3176.82","","","","","","214.91","0"
"maycap17_may2p75","3","3","3128.17","","","","","","260.81","0"
"maycap17_may2p85","3","3","2839.69","","","","","","-152.98","1"
"maycap17_may2p95","3","3","2796.38","","","","","","-158.59","1"
"maycap17_may2p90","3","3","2287.11","","","","","","-157.68","1"
