Trade,Lane,EntryTime,ExitTime,EntryYear,EntryHour,Side,Volume,EntryPrice,ExitPrice,InitialStop,InitialTarget,InitialRiskMoney,RiskR,HoldMinutes,Profit,EntryComment,ExitComment
1,REVERSION,2015-01-05T18:00:00,2015-01-05T20:19:40,2015,18,sell,0.09,1198.66,1203.22,1203.22,1189.7,41.04,-1.0,139.67,-41.04,RRO;Band VWAP reversion;Upper,sl 1203.22
2,MOMENTUM,2015-01-08T06:00:00,2015-01-08T15:00:00,2015,6,sell,0.02,1207.33,1210.43,1214.53,1192.94,14.4,-0.430556,540.0,-6.2,MTSM_SELL,
3,M15_SQUEEZE,2015-02-12T17:15:00,2015-02-12T18:06:40,2015,17,sell,0.06,1222.59,1224.2,1224.2,1220.18,9.66,-1.0,51.67,-9.66,M15SQ_SELL,sl 1224.20
4,MOMENTUM,2015-03-11T12:00:00,2015-03-12T01:05:00,2015,12,sell,0.02,1158.38,1155.53,1165.01,1145.12,13.26,0.408748,785.0,5.42,MTSM_SELL,
5,M15_SQUEEZE,2015-04-30T15:15:00,2015-04-30T15:30:40,2015,15,buy,0.04,1206.86,1204.87,1204.87,1209.85,7.96,-1.0,15.67,-7.96,M15SQ_BUY,sl 1204.87
6,MOMENTUM,2015-05-13T15:00:00,2015-05-13T16:39:40,2015,15,buy,0.02,1197.21,1208.2,1191.72,1208.2,10.98,2.001821,99.67,21.98,MTSM_BUY,tp 1208.20
7,M15_SQUEEZE,2015-06-04T14:30:00,2015-06-04T15:15:40,2015,14,sell,0.05,1181.96,1183.66,1183.66,1179.4,8.5,-1.0,45.67,-8.5,M15SQ_SELL,sl 1183.66
8,MOMENTUM,2015-06-04T16:00:00,2015-06-05T16:24:40,2015,16,sell,0.02,1178.93,1164.85,1185.97,1164.85,14.08,1.993608,1464.67,28.07,MTSM_SELL,tp 1164.85
9,ADAPTIVE_TREND,2015-06-03T20:00:00,2015-06-09T11:44:40,2015,20,sell,0.01,1182.64,1181.22,1196.82,1154.27,14.18,0.07969,8144.67,1.13,ATB_H4_SELL,sl 1181.22
10,REVERSION,2015-06-15T20:00:00,2015-06-16T16:11:40,2015,20,sell,0.15,1188.24,1181.26,1190.97,1181.26,40.95,2.539927,1211.67,104.01,RRO;Band VWAP reversion;Upper,tp 1181.26
11,MOMENTUM,2015-06-30T14:00:00,2015-06-30T19:00:00,2015,14,sell,0.03,1173.14,1176.7,1177.66,1164.1,13.56,-0.787611,300.0,-10.68,MTSM_SELL,
12,M15_SQUEEZE,2015-07-02T09:00:00,2015-07-02T09:03:40,2015,9,sell,0.16,1167.14,1166.22,1167.76,1166.22,9.92,1.483871,3.67,14.72,M15SQ_SELL,tp 1166.22
13,MOMENTUM,2015-07-02T10:00:00,2015-07-02T15:20:40,2015,10,sell,0.04,1165.45,1159.12,1168.62,1159.12,12.68,1.996845,320.67,25.32,MTSM_SELL,tp 1159.12
14,ADAPTIVE_TREND,2015-06-30T16:00:00,2015-07-06T04:00:00,2015,16,sell,0.01,1171.9,1172.45,1185.39,1144.92,13.49,-0.062268,7920.0,-0.84,ATB_H4_SELL,
15,MOMENTUM,2015-07-06T11:00:00,2015-07-06T18:00:00,2015,11,sell,0.03,1164.51,1167.53,1169.26,1155.0,14.25,-0.635789,420.0,-9.06,MTSM_SELL,
