"QueueIndex","Candidate","Window","FromDate","ToDate","Model","Deposit","ProfileSha256","SourceSha256","Config","Status"
"1","rdmc_diversified_repair_restart_safe_v2","2015","2015.01.01","2015.12.31","1","10000","9344CACABBA0E5B86C0B0C5BCA2EDC3F2D9C095618B75AB6A58A5657D40D1E25","8420E5D3393133674035C0001FA3B0BAF6F543D2A14472BA2CDEF63199C21BB3","outputs/rdmc_diversified_repair_restart_safe_model1_package/configs/001_rdmc_diversified_repair_restart_safe_v2_2015_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"2","rdmc_diversified_repair_restart_safe_v2","2016","2016.01.01","2016.12.31","1","10000","9344CACABBA0E5B86C0B0C5BCA2EDC3F2D9C095618B75AB6A58A5657D40D1E25","8420E5D3393133674035C0001FA3B0BAF6F543D2A14472BA2CDEF63199C21BB3","outputs/rdmc_diversified_repair_restart_safe_model1_package/configs/002_rdmc_diversified_repair_restart_safe_v2_2016_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"3","rdmc_diversified_repair_restart_safe_v2","2017","2017.01.01","2017.12.31","1","10000","9344CACABBA0E5B86C0B0C5BCA2EDC3F2D9C095618B75AB6A58A5657D40D1E25","8420E5D3393133674035C0001FA3B0BAF6F543D2A14472BA2CDEF63199C21BB3","outputs/rdmc_diversified_repair_restart_safe_model1_package/configs/003_rdmc_diversified_repair_restart_safe_v2_2017_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"4","rdmc_diversified_repair_restart_safe_v2","2018","2018.01.01","2018.12.31","1","10000","9344CACABBA0E5B86C0B0C5BCA2EDC3F2D9C095618B75AB6A58A5657D40D1E25","8420E5D3393133674035C0001FA3B0BAF6F543D2A14472BA2CDEF63199C21BB3","outputs/rdmc_diversified_repair_restart_safe_model1_package/configs/004_rdmc_diversified_repair_restart_safe_v2_2018_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"5","rdmc_diversified_repair_restart_safe_v2","2019","2019.01.01","2019.12.31","1","10000","9344CACABBA0E5B86C0B0C5BCA2EDC3F2D9C095618B75AB6A58A5657D40D1E25","8420E5D3393133674035C0001FA3B0BAF6F543D2A14472BA2CDEF63199C21BB3","outputs/rdmc_diversified_repair_restart_safe_model1_package/configs/005_rdmc_diversified_repair_restart_safe_v2_2019_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"6","rdmc_diversified_repair_restart_safe_v2","2020","2020.01.01","2020.12.31","1","10000","9344CACABBA0E5B86C0B0C5BCA2EDC3F2D9C095618B75AB6A58A5657D40D1E25","8420E5D3393133674035C0001FA3B0BAF6F543D2A14472BA2CDEF63199C21BB3","outputs/rdmc_diversified_repair_restart_safe_model1_package/configs/006_rdmc_diversified_repair_restart_safe_v2_2020_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"7","rdmc_diversified_repair_restart_safe_v2","2021","2021.01.01","2021.12.31","1","10000","9344CACABBA0E5B86C0B0C5BCA2EDC3F2D9C095618B75AB6A58A5657D40D1E25","8420E5D3393133674035C0001FA3B0BAF6F543D2A14472BA2CDEF63199C21BB3","outputs/rdmc_diversified_repair_restart_safe_model1_package/configs/007_rdmc_diversified_repair_restart_safe_v2_2021_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"8","rdmc_diversified_repair_restart_safe_v2","2022","2022.01.01","2022.12.31","1","10000","9344CACABBA0E5B86C0B0C5BCA2EDC3F2D9C095618B75AB6A58A5657D40D1E25","8420E5D3393133674035C0001FA3B0BAF6F543D2A14472BA2CDEF63199C21BB3","outputs/rdmc_diversified_repair_restart_safe_model1_package/configs/008_rdmc_diversified_repair_restart_safe_v2_2022_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"9","rdmc_diversified_repair_restart_safe_v2","2023","2023.01.01","2023.12.31","1","10000","9344CACABBA0E5B86C0B0C5BCA2EDC3F2D9C095618B75AB6A58A5657D40D1E25","8420E5D3393133674035C0001FA3B0BAF6F543D2A14472BA2CDEF63199C21BB3","outputs/rdmc_diversified_repair_restart_safe_model1_package/configs/009_rdmc_diversified_repair_restart_safe_v2_2023_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"10","rdmc_diversified_repair_restart_safe_v2","2024","2024.01.01","2024.12.31","1","10000","9344CACABBA0E5B86C0B0C5BCA2EDC3F2D9C095618B75AB6A58A5657D40D1E25","8420E5D3393133674035C0001FA3B0BAF6F543D2A14472BA2CDEF63199C21BB3","outputs/rdmc_diversified_repair_restart_safe_model1_package/configs/010_rdmc_diversified_repair_restart_safe_v2_2024_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"11","rdmc_diversified_repair_restart_safe_v2","2025","2025.01.01","2025.12.31","1","10000","9344CACABBA0E5B86C0B0C5BCA2EDC3F2D9C095618B75AB6A58A5657D40D1E25","8420E5D3393133674035C0001FA3B0BAF6F543D2A14472BA2CDEF63199C21BB3","outputs/rdmc_diversified_repair_restart_safe_model1_package/configs/011_rdmc_diversified_repair_restart_safe_v2_2025_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"12","rdmc_diversified_repair_restart_safe_v2","2026_ytd","2026.01.01","2026.07.12","1","10000","9344CACABBA0E5B86C0B0C5BCA2EDC3F2D9C095618B75AB6A58A5657D40D1E25","8420E5D3393133674035C0001FA3B0BAF6F543D2A14472BA2CDEF63199C21BB3","outputs/rdmc_diversified_repair_restart_safe_model1_package/configs/012_rdmc_diversified_repair_restart_safe_v2_2026_ytd_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
