Scenario,Trials,Seed,BootstrapWithReplacement,MaxSlippageR,MaxDelayR,MaxSpreadShockR,SpreadShockProbability,MissedWinnerProbability,P05NetProfit,MedianNetProfit,P95NetProfit,MedianProfitFactor,P95MaxClosedDrawdownPercent,P95MaxConsecutiveLosses,RedTrialPercent,GatePass
standard,10000,26071801,True,0.04,0.06,0.08,0.1,0.05,757.31,1563.57,2421.23,1.6356,3.2469,14.0,0.07,True
severe,10000,26071802,True,0.08,0.12,0.16,0.2,0.1,255.92,1032.94,1887.8,1.3925,4.4582,15.0,1.49,True
