Sampler,StressScenario,Trials,Seed,BlockLength,PreservesLocalOrder,P05TradeCount,MedianTradeCount,P95TradeCount,P05NetProfit,MedianNetProfit,MedianProfitFactor,P95MaxClosedDrawdownPercent,P95MaxConsecutiveLosses,RedTrialPercent,GatePass
moving_block_08,standard,10000,26071840,8,True,386.0,391.0,396.0,1019.57,1877.29,1.6553,2.9529,12.0,0.0,True
moving_block_08,severe,10000,26071841,8,True,375.0,382.0,389.0,442.8,1258.35,1.4093,4.0999,16.0,0.44,True
moving_block_16,standard,10000,26071842,16,True,386.0,391.0,395.0,1028.95,1869.74,1.653,2.6207,11.0,0.0,True
moving_block_16,severe,10000,26071843,16,True,375.0,382.0,389.0,466.59,1262.06,1.4098,3.752,15.0,0.41,True
moving_block_24,standard,10000,26071844,24,True,386.0,391.0,396.0,1073.2,1881.92,1.6602,2.2488,11.0,0.0,True
moving_block_24,severe,10000,26071845,24,True,375.0,382.0,389.0,477.34,1264.41,1.4096,3.3931,14.0,0.26,True
calendar_year,standard,10000,26071846,0,True,292.0,391.0,482.0,1208.24,1909.88,1.669,1.942,10.0,0.0,True
calendar_year,severe,10000,26071847,0,True,288.0,383.0,473.0,595.16,1267.97,1.4117,3.0086,15.0,0.12,True
