Profile,Quantile,Fold,TrainThrough,TestYears,Threshold,MatchedTestTrades,RetainedMomentumTrades,RemovedMomentumTrades,RetentionPercent,RetainedAverageR,RemovedAverageR,ControlNetProfit,CandidateNetProfit,NetChange,ControlProfitFactor,CandidateProfitFactor,CandidateTrades,AllYearsPositive,RankingPass
ridge_q20,0.2,fold_2017_2018,2016,2017-2018,0.0516217431,84,78,6,92.8571,0.268551,-0.384886,403.03,433.86,30.83,1.5534,1.6442,114,True,True
ridge_q25_center,0.25,fold_2017_2018,2016,2017-2018,0.1038907536,84,76,8,90.4762,0.253493,-0.078474,403.03,412.3,9.27,1.5534,1.6156,112,True,True
ridge_q30,0.3,fold_2017_2018,2016,2017-2018,0.123250755,84,76,8,90.4762,0.253493,-0.078474,403.03,412.3,9.27,1.5534,1.6156,112,True,True
ridge_q20,0.2,fold_2019_2020,2018,2019-2020,0.0696715359,54,38,16,70.3704,0.233295,-0.031641,267.36,268.33,0.97,1.68,1.9075,50,True,True
ridge_q25_center,0.25,fold_2019_2020,2018,2019-2020,0.0974914096,54,38,16,70.3704,0.233295,-0.031641,267.36,268.33,0.97,1.68,1.9075,50,True,True
ridge_q30,0.3,fold_2019_2020,2018,2019-2020,0.1363963253,54,37,17,68.5185,0.26736,-0.090198,267.36,281.97,14.61,1.68,1.9998,49,True,True
ridge_q20,0.2,fold_2021_2022,2020,2021-2022,0.0134234413,57,45,12,78.9474,-0.183621,-0.220631,379.92,407.35,27.43,1.7635,1.9764,57,True,True
ridge_q25_center,0.25,fold_2021_2022,2020,2021-2022,0.0890969755,57,43,14,75.4386,-0.261381,0.02349,379.92,375.66,-4.26,1.7635,1.9004,55,True,False
ridge_q30,0.3,fold_2021_2022,2020,2021-2022,0.1227686929,57,40,17,70.1754,-0.237312,-0.083413,379.92,393.58,13.66,1.7635,1.9961,52,True,False
