"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","StopRule","Purpose"
"1","peak_r20_base","1","r20_opportunity_sweep","1","phase0_fast_model1","peak_r20_base.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\001_peak_r20_base_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_base_continuous_2024_2026_m1","profiles\peak_r20_base.set","E575CAFB907B94F826816F1C40EDDC62D8F6C25770BAA0B86D1C08B5F14DF00E","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Baseline R20 profile for direct comparison in the same package."
"2","peak_r20_diag_2025","2","r20_opportunity_sweep","2","phase0_fast_model1","peak_r20_diag_2025.set","diagnostic_2025","2025.01.01","2025.12.31","1","configs\002_peak_r20_diag_2025_diagnostic_2025_m1.ini","lowatr_r20_opp_peak_r20_diag_2025_diagnostic_2025_m1","profiles\peak_r20_diag_2025.set","7EA3254DDB3A852F9B4100B9C2CF8AD8DBEBE1FE0649A37AA28CE6B5C59D3E71","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Base R20 with block-reason diagnostics enabled for the weak 2025 split."
"3","peak_r20_may_full","3","r20_opportunity_sweep","3","phase0_fast_model1","peak_r20_may_full.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\003_peak_r20_may_full_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_may_full_continuous_2024_2026_m1","profiles\peak_r20_may_full.set","ABC3C358A3BC6CD58462E756084F84884DA9ED9995D39A7220D60C02D03FE473","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Let May trade past day 10 while keeping the rest of the R20 safety stack."
"4","peak_r20_may_full_spread22","4","r20_opportunity_sweep","4","phase0_fast_model1","peak_r20_may_full_spread22.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\004_peak_r20_may_full_spread22_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_may_full_spread22_continuous_2024_2026_m1","profiles\peak_r20_may_full_spread22.set","523C881901F8C0EB9575F1AD51D2CC5BB951FE7BE947D17CB48EC7247EF82BD6","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Relax May day window and spread cap modestly to see if quality May trades were excluded."
"5","peak_r20_aug_risk60","5","r20_opportunity_sweep","5","phase0_fast_model1","peak_r20_aug_risk60.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\005_peak_r20_aug_risk60_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_aug_risk60_continuous_2024_2026_m1","profiles\peak_r20_aug_risk60.set","AD16564E5DB1DD8953F7916E63804CD71992751C504F4142DD620AFFC54888B0","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Slightly less throttled August risk, testing whether the safe branch is under-sizing good August setups."
"6","peak_r20_may31_aug60","6","r20_opportunity_sweep","6","phase0_fast_model1","peak_r20_may31_aug60.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\006_peak_r20_may31_aug60_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_may31_aug60_continuous_2024_2026_m1","profiles\peak_r20_may31_aug60.set","7A8BEE3F06EF13F7576DB9F0B65092AA9FABAD015857F6D2D89FAAB21670A75E","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Combined May window relaxation plus modest August risk restoration."
"7","peak_r20_islp_may_aug","7","r20_opportunity_sweep","7","phase0_fast_model1","peak_r20_islp_may_aug.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\007_peak_r20_islp_may_aug_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_islp_may_aug_continuous_2024_2026_m1","profiles\peak_r20_islp_may_aug.set","53C0F0AC2C7BD2EE51C39920BBEAA3BF68CC217A6A87226FC4C15F711C271AC6","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Allow the existing ISLP lane to evaluate May and August signals at low risk."
"8","peak_r20_islp_broad_lowrisk","8","r20_opportunity_sweep","8","phase0_fast_model1","peak_r20_islp_broad_lowrisk.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\008_peak_r20_islp_broad_lowrisk_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_islp_broad_lowrisk_continuous_2024_2026_m1","profiles\peak_r20_islp_broad_lowrisk.set","ABD6A5F45E7A54E1443CFFCDC3886A6BD709700FCBFF045BB47CDB8168ED8FE8","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Broader ISLP month coverage with low lane risk and existing month-filter bypass."
"9","peak_r20_octnov_main_lowrisk","9","r20_opportunity_sweep","9","phase0_fast_model1","peak_r20_octnov_main_lowrisk.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\009_peak_r20_octnov_main_lowrisk_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_octnov_main_lowrisk_continuous_2024_2026_m1","profiles\peak_r20_octnov_main_lowrisk.set","87349F4DB44D16CDC70F46A4F895B503137175DB6E87F46C3EED96A309151C3C","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Test October/November as primary months but with explicit low month risk."
"10","peak_r20_fmlr_strict","10","r20_opportunity_sweep","10","phase0_fast_model1","peak_r20_fmlr_strict.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\010_peak_r20_fmlr_strict_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_fmlr_strict_continuous_2024_2026_m1","profiles\peak_r20_fmlr_strict.set","9FFA21A74EAB1BB12E18D8A6B07E77B0D286ACF31517DEC74FCFA03012E72B1B","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Enable strict flat-month liquidity reclaim as a small-risk standalone opportunity lane."
