"QueueRank","Candidate","Role","Phase","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","RunLabel","RVRiskPercent","MORiskPercent","RVMinimumDIEdge","RVUseMinimumBodyGate","RVMinimumBodyPercent","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"11","rsg_mo015_body25","body_only","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","rsg_mo015_body25_repair_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_body25_repair_2020_m1.htm","EB11D96EF092447D502BCA2B12900DA399A46DC1A311FFDEC53D7DB45008467F","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","true","25.0","10000","365","0.9993","64.31","10064.31","0.64","0.64","0.64","1.24","2.07","3.19","45.16","31","3","148.64","1.46","0.4327"
"12","rsg_mo015_body25","body_only","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rsg_mo015_body25_continuous_2015_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_body25_continuous_2015_2020_m1.htm","EB11D96EF092447D502BCA2B12900DA399A46DC1A311FFDEC53D7DB45008467F","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","true","25.0","10000","2191","5.9986","645.2","10645.2","6.45","1.08","1.05","1.47","3.06","4.68","43.6","211","7","150.43","1.4","4.289"
"13","rsg_mo015_combo20","lower_body_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","rsg_mo015_combo20_older_2015_2018_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo20_older_2015_2018_m1.htm","7FFE666A7FC4D030234F523A36C9983150ED444A3A1FDB13510E9EB218F9F53A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","20.0","10000","1460","3.9973","599.56","10599.56","6","1.5","1.47","1.73","4.22","6.41","45.77","142","5","94.81","0.93","6.3238"
"14","rsg_mo015_combo20","lower_body_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","rsg_mo015_combo20_repair_2019_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo20_repair_2019_m1.htm","7FFE666A7FC4D030234F523A36C9983150ED444A3A1FDB13510E9EB218F9F53A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","20.0","10000","364","0.9966","-4.98","9995.02","-0.05","-0.05","-0.05","0.98","-0.13","-0.26","35.14","37","7","127.85","1.26","-0.039"
"15","rsg_mo015_combo20","lower_body_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","rsg_mo015_combo20_repair_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo20_repair_2020_m1.htm","7FFE666A7FC4D030234F523A36C9983150ED444A3A1FDB13510E9EB218F9F53A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","20.0","10000","365","0.9993","66.3","10066.3","0.66","0.66","0.66","1.25","2.14","3.32","45.16","31","3","161.36","1.59","0.4109"
"16","rsg_mo015_combo20","lower_body_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rsg_mo015_combo20_continuous_2015_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo20_continuous_2015_2020_m1.htm","7FFE666A7FC4D030234F523A36C9983150ED444A3A1FDB13510E9EB218F9F53A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","20.0","10000","2191","5.9986","655.17","10655.17","6.55","1.09","1.06","1.48","3.11","4.83","43.6","211","7","160.57","1.49","4.0803"
"17","rsg_mo015_combo25","center","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","rsg_mo015_combo25_older_2015_2018_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_older_2015_2018_m1.htm","9D4A8973B10B429B482E4EA475D6803959B5BB26E8BF48361089AA804294B984","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","25.0","10000","1460","3.9973","547.52","10547.52","5.48","1.37","1.34","1.68","3.91","6.06","45.71","140","5","96.55","0.94","5.6708"
"18","rsg_mo015_combo25","center","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","rsg_mo015_combo25_repair_2019_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_repair_2019_m1.htm","9D4A8973B10B429B482E4EA475D6803959B5BB26E8BF48361089AA804294B984","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","25.0","10000","364","0.9966","-4.98","9995.02","-0.05","-0.05","-0.05","0.98","-0.13","-0.26","35.14","37","7","127.85","1.26","-0.039"
"19","rsg_mo015_combo25","center","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","rsg_mo015_combo25_repair_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_repair_2020_m1.htm","9D4A8973B10B429B482E4EA475D6803959B5BB26E8BF48361089AA804294B984","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","25.0","10000","365","0.9993","109.32","10109.32","1.09","1.09","1.09","1.49","3.64","5.7","46.67","30","3","118.34","1.16","0.9238"
"20","rsg_mo015_combo25","center","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rsg_mo015_combo25_continuous_2015_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_continuous_2015_2020_m1.htm","9D4A8973B10B429B482E4EA475D6803959B5BB26E8BF48361089AA804294B984","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","25.0","10000","2191","5.9986","650.1","10650.1","6.5","1.08","1.06","1.51","3.13","4.94","43.75","208","7","150.43","1.41","4.3216"
