"QueueRank","Candidate","Role","Phase","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","RunLabel","RVRiskPercent","MORiskPercent","RVMinimumDIEdge","RVUseMinimumBodyGate","RVMinimumBodyPercent","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"32","rsg_mo020_control","control","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rsg_mo020_control_continuous_2015_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_control_continuous_2015_2020_m1.htm","348F25E195D220A566541EA8A21404055894C4D0C0A672B1C541C52817A3442B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","false","25.0","10000","2191","5.9986","889.12","10889.12","8.89","1.48","1.43","1.41","3.95","4.39","43.11","225","7","340.67","3.05","2.6099"
"33","rsg_mo020_di10","di_only","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","rsg_mo020_di10_older_2015_2018_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_di10_older_2015_2018_m1.htm","132009ADF9F34B3A6A759C3CFF4A7E9D6630D9103BCDEF136EA3AFD1E3FE369E","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","false","25.0","10000","1460","3.9973","816.88","10816.88","8.17","2.04","1.98","1.67","5.56","6.36","45.58","147","5","129.15","1.23","6.325"
"34","rsg_mo020_di10","di_only","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","rsg_mo020_di10_repair_2019_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_di10_repair_2019_m1.htm","132009ADF9F34B3A6A759C3CFF4A7E9D6630D9103BCDEF136EA3AFD1E3FE369E","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","false","25.0","10000","364","0.9966","-2.17","9997.83","-0.02","-0.02","-0.02","0.99","-0.06","-0.08","35.14","37","7","184.48","1.81","-0.0118"
"35","rsg_mo020_di10","di_only","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","rsg_mo020_di10_repair_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_di10_repair_2020_m1.htm","132009ADF9F34B3A6A759C3CFF4A7E9D6630D9103BCDEF136EA3AFD1E3FE369E","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","false","25.0","10000","365","0.9993","83.79","10083.79","0.84","0.84","0.84","1.24","2.7","3.44","45.16","31","3","192.55","1.89","0.4352"
"36","rsg_mo020_di10","di_only","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rsg_mo020_di10_continuous_2015_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_di10_continuous_2015_2020_m1.htm","132009ADF9F34B3A6A759C3CFF4A7E9D6630D9103BCDEF136EA3AFD1E3FE369E","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","false","25.0","10000","2191","5.9986","954.8","10954.8","9.55","1.59","1.53","1.49","4.42","5.22","43.52","216","7","192.55","1.74","4.9587"
"37","rsg_mo020_body25","body_only","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","rsg_mo020_body25_older_2015_2018_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_body25_older_2015_2018_m1.htm","821498C3A2C8904C0710DAF3B44DDF3B71ED57ED77E891E8DAA58AE341E1D892","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","true","25.0","10000","1460","3.9973","743.65","10743.65","7.44","1.86","1.81","1.64","5.24","5.94","45.77","142","5","147.3","1.42","5.0485"
"38","rsg_mo020_body25","body_only","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","rsg_mo020_body25_repair_2019_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_body25_repair_2019_m1.htm","821498C3A2C8904C0710DAF3B44DDF3B71ED57ED77E891E8DAA58AE341E1D892","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","true","25.0","10000","364","0.9966","-2.17","9997.83","-0.02","-0.02","-0.02","0.99","-0.06","-0.08","35.14","37","7","184.48","1.81","-0.0118"
"39","rsg_mo020_body25","body_only","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","rsg_mo020_body25_repair_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_body25_repair_2020_m1.htm","821498C3A2C8904C0710DAF3B44DDF3B71ED57ED77E891E8DAA58AE341E1D892","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","true","25.0","10000","365","0.9993","81.8","10081.8","0.82","0.82","0.82","1.23","2.64","3.33","45.16","31","3","176.68","1.73","0.463"
"40","rsg_mo020_body25","body_only","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rsg_mo020_body25_continuous_2015_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_body25_continuous_2015_2020_m1.htm","821498C3A2C8904C0710DAF3B44DDF3B71ED57ED77E891E8DAA58AE341E1D892","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","true","25.0","10000","2191","5.9986","859.99","10859.99","8.6","1.43","1.38","1.46","4.08","4.79","43.6","211","7","184.48","1.69","4.6617"
"41","rsg_mo020_combo20","lower_body_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","rsg_mo020_combo20_older_2015_2018_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo20_older_2015_2018_m1.htm","C91D3B40D4C50FCEAC4B45737C0AE351D77B9CCC0D36A8D0ED3085AAC50E0B43","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","20.0","10000","1460","3.9973","761.8","10761.8","7.62","1.91","1.85","1.66","5.36","6.17","45.77","142","5","124.97","1.2","6.0959"
"42","rsg_mo020_combo20","lower_body_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","rsg_mo020_combo20_repair_2019_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo20_repair_2019_m1.htm","C91D3B40D4C50FCEAC4B45737C0AE351D77B9CCC0D36A8D0ED3085AAC50E0B43","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","20.0","10000","364","0.9966","-2.17","9997.83","-0.02","-0.02","-0.02","0.99","-0.06","-0.08","35.14","37","7","184.48","1.81","-0.0118"
"43","rsg_mo020_combo20","lower_body_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","rsg_mo020_combo20_repair_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo20_repair_2020_m1.htm","C91D3B40D4C50FCEAC4B45737C0AE351D77B9CCC0D36A8D0ED3085AAC50E0B43","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","20.0","10000","365","0.9993","83.79","10083.79","0.84","0.84","0.84","1.24","2.7","3.44","45.16","31","3","192.55","1.89","0.4352"
"44","rsg_mo020_combo20","lower_body_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rsg_mo020_combo20_continuous_2015_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo20_continuous_2015_2020_m1.htm","C91D3B40D4C50FCEAC4B45737C0AE351D77B9CCC0D36A8D0ED3085AAC50E0B43","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","20.0","10000","2191","5.9986","880.13","10880.13","8.8","1.47","1.42","1.47","4.17","4.96","43.6","211","7","192.55","1.75","4.5709"
"45","rsg_mo020_combo25","primary_center","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","rsg_mo020_combo25_older_2015_2018_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_older_2015_2018_m1.htm","9B6C49F54D94F5AE1327CF6F822DDF0133C5D7A357C01587E3C25E8464E650D6","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","25.0","10000","1460","3.9973","683.43","10683.43","6.83","1.71","1.67","1.61","4.88","5.69","45.71","140","5","124.97","1.2","5.4688"
"46","rsg_mo020_combo25","primary_center","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","rsg_mo020_combo25_repair_2019_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_repair_2019_m1.htm","9B6C49F54D94F5AE1327CF6F822DDF0133C5D7A357C01587E3C25E8464E650D6","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","25.0","10000","364","0.9966","-2.17","9997.83","-0.02","-0.02","-0.02","0.99","-0.06","-0.08","35.14","37","7","184.48","1.81","-0.0118"
"47","rsg_mo020_combo25","primary_center","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","rsg_mo020_combo25_repair_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_repair_2020_m1.htm","9B6C49F54D94F5AE1327CF6F822DDF0133C5D7A357C01587E3C25E8464E650D6","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","25.0","10000","365","0.9993","126.81","10126.81","1.27","1.27","1.27","1.41","4.23","5.34","46.67","30","3","149.53","1.46","0.8481"
"48","rsg_mo020_combo25","primary_center","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rsg_mo020_combo25_continuous_2015_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_continuous_2015_2020_m1.htm","9B6C49F54D94F5AE1327CF6F822DDF0133C5D7A357C01587E3C25E8464E650D6","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","25.0","10000","2191","5.9986","836.21","10836.21","8.36","1.39","1.35","1.47","4.02","4.82","43.75","208","7","184.48","1.7","4.5328"
"49","rsg_mo020_combo30","upper_body_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","rsg_mo020_combo30_older_2015_2018_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo30_older_2015_2018_m1.htm","957C85FCA3247C749542A0D3D0A6D43571B9C9F12D578EDB59CBFD25CBD5234C","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","30.0","10000","1460","3.9973","781.47","10781.47","7.81","1.96","1.9","1.73","5.66","6.53","46.38","138","5","124.97","1.19","6.2533"
"50","rsg_mo020_combo30","upper_body_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","rsg_mo020_combo30_repair_2019_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo30_repair_2019_m1.htm","957C85FCA3247C749542A0D3D0A6D43571B9C9F12D578EDB59CBFD25CBD5234C","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","30.0","10000","364","0.9966","-2.17","9997.83","-0.02","-0.02","-0.02","0.99","-0.06","-0.08","35.14","37","7","184.48","1.81","-0.0118"
"51","rsg_mo020_combo30","upper_body_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","rsg_mo020_combo30_repair_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo30_repair_2020_m1.htm","957C85FCA3247C749542A0D3D0A6D43571B9C9F12D578EDB59CBFD25CBD5234C","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","30.0","10000","365","0.9993","77.47","10077.47","0.77","0.78","0.78","1.29","2.77","3.81","46.43","28","3","149.53","1.47","0.5181"
"52","rsg_mo020_combo30","upper_body_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rsg_mo020_combo30_continuous_2015_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo30_continuous_2015_2020_m1.htm","957C85FCA3247C749542A0D3D0A6D43571B9C9F12D578EDB59CBFD25CBD5234C","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","30.0","10000","2191","5.9986","893.48","10893.48","8.93","1.49","1.44","1.53","4.38","5.28","44.12","204","7","184.48","1.68","4.8432"
"53","rsg_mo020_combo25_di08","strict_di_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","rsg_mo020_combo25_di08_older_2015_2018_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_di08_older_2015_2018_m1.htm","CB9D78079DD9AF26C91D06C6D2808EFBA35908CB827B2FE43443EDCF1CEFA1E1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-8.0","true","25.0","10000","1460","3.9973","644.31","10644.31","6.44","1.61","1.57","1.58","4.64","5.42","45.32","139","5","124.97","1.2","5.1557"
"54","rsg_mo020_combo25_di08","strict_di_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","rsg_mo020_combo25_di08_repair_2019_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_di08_repair_2019_m1.htm","CB9D78079DD9AF26C91D06C6D2808EFBA35908CB827B2FE43443EDCF1CEFA1E1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-8.0","true","25.0","10000","364","0.9966","29.13","10029.13","0.29","0.29","0.29","1.1","0.81","1.07","36.11","36","6","153.18","1.51","0.1902"
"55","rsg_mo020_combo25_di08","strict_di_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","rsg_mo020_combo25_di08_repair_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_di08_repair_2020_m1.htm","CB9D78079DD9AF26C91D06C6D2808EFBA35908CB827B2FE43443EDCF1CEFA1E1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-8.0","true","25.0","10000","365","0.9993","179.59","10179.59","1.8","1.8","1.8","1.66","6.19","7.64","48.28","29","3","149.53","1.46","1.201"
"56","rsg_mo020_combo25_di08","strict_di_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rsg_mo020_combo25_di08_continuous_2015_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_di08_continuous_2015_2020_m1.htm","CB9D78079DD9AF26C91D06C6D2808EFBA35908CB827B2FE43443EDCF1CEFA1E1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-8.0","true","25.0","10000","2191","5.9986","867.69","10867.69","8.68","1.45","1.4","1.51","4.23","5.05","43.9","205","6","153.18","1.41","5.6645"
