"Dimension","Segment","Trades","NetProfit","GrossProfit","GrossLoss","ProfitFactor","WinRatePercent","AverageProfit","AverageHoldMinutes"
"Overall","all","25","3.15","84.84","81.69","1.0386","32","0.13","952.92"
"EntrySubtype","other","25","3.15","84.84","81.69","1.0386","32","0.13","952.92"
"EntryHour","10","4","1.55","17.36","15.81","1.098","25","0.39","526.75"
"EntryHour","11","4","-6.43","8.37","14.8","0.5655","25","-1.61","662.25"
"EntryHour","12","1","-3.14","0","3.14","0","0","-3.14","360"
"EntryHour","13","3","-14.71","0","14.71","0","0","-4.9","793.56"
"EntryHour","15","2","10.3","16.47","6.17","2.6694","50","5.15","620.17"
"EntryHour","16","3","1.68","5.76","4.08","1.4118","66.67","0.56","2129.22"
"EntryHour","17","1","-1.82","0","1.82","0","0","-1.82","600"
"EntryHour","19","1","19.71","19.71","0","INF","100","19.71","704.67"
"EntryHour","6","1","10.91","10.91","0","INF","100","10.91","246.33"
"EntryHour","8","2","5.98","6.26","0.28","22.3571","50","2.99","3222.49"
"EntryHour","9","3","-20.88","0","20.88","0","0","-6.96","234.11"
"EntryYear","2019","25","3.15","84.84","81.69","1.0386","32","0.13","952.92"
"EntryMonth","1","4","-23.75","0","23.75","0","0","-5.94","232.75"
"EntryMonth","10","3","8.61","17.36","8.75","1.984","33.33","2.87","1010.89"
"EntryMonth","11","2","-5.79","0","5.79","0","0","-2.9","733.34"
"EntryMonth","12","4","-4.98","6.99","11.97","0.584","50","-1.24","1590.75"
"EntryMonth","2","1","-3.14","0","3.14","0","0","-3.14","360"
"EntryMonth","3","4","11.54","21.5","9.96","2.1586","50","2.88","1874.5"
"EntryMonth","4","1","-9.75","0","9.75","0","0","-9.75","160.67"
"EntryMonth","6","3","38.99","38.99","0","INF","100","13","697"
"EntryMonth","7","1","-0.71","0","0.71","0","0","-0.71","960"
"EntryMonth","9","2","-7.87","0","7.87","0","0","-3.94","480"
"Side","buy","25","3.15","84.84","81.69","1.0386","32","0.13","952.92"
"DayOfWeek","Friday","6","6.84","22.2","15.36","1.4453","50","1.14","1915.66"
"DayOfWeek","Monday","5","14.11","28.08","13.97","2.01","40","2.82","796.87"
"DayOfWeek","Thursday","4","9","18.09","9.09","1.9901","50","2.25","413.75"
"DayOfWeek","Tuesday","3","6.01","16.47","10.46","1.5746","33.33","2","766.11"
"DayOfWeek","Wednesday","7","-32.81","0","32.81","0","0","-4.69","627.34"
