"Gate","Pass","Evidence"
"reports","True","parsed=12/12"
"annual-loss-floor","True","worst=-$64.93"
"positive-completed-years","True","positive=9/11"
"red-completed-years","True","red=2/11"
"adjacent-two-year-floor","False","2019-2020=-$117.26"
"restart-net-retention","True","sum=+$1,778.14;floor=+$1,449.94"
"active-year-profit-factor","False","minimum-finite=0.82;all-winner-years=2026_ytd"
"annual-drawdown","True","maximum=3%"
"recent-net","True","2023-2026=+$646.27"
