"Profile","Months","Total","Green","Flat","Red","Worst","Best"
"mar1_may2p25","30","2739.91","6","24","0","0","1277.57"
"mar1_may2p65","30","2464.34","6","24","0","0","1277.57"
"mar1_may2p50","30","2430.1","6","24","0","0","1277.57"
"mar1_may2p75","30","2090.6","5","24","1","-264.4","1277.57"
"mar1_may2p85","30","1683.44","4","24","2","-277.62","1277.57"
