"EntryTime","ExitTime","Era","Year","Side","Volume","EntryPrice","InitialStop","InitialRiskMoney","Profit","RiskR","HoldHours","D1MomentumPercent","BreakoutATR","BodyRatio","CloseLocation","RangeATR","ChannelWidthATR","ATRPercent","TickVolumeRatio","StopATR","MarketD1ADX","MarketH4ADX","MarketH1ADX","D1EmaGapATR","D1PriceGapATR","D1EmaSlopeATR","D1Efficiency20","D1RangePosition60","H4Efficiency20","H1Efficiency20","H1Compression5_20"
"2015-01-08T06:00:00.0000000","2015-01-08T15:00:00.0000000","era_2015_2018","2015","sell","0.02","1207.33","1214.53","14.4","-6.2","-0.430556","9","9.516157","0.401475","0.72818","0.775561","1.09518","2.55906","0.30326","0.688722","1.965356","20.637165","22.711366","20.929936","1.738666","1.292925","0.170074","-0.034408","0.36066","-0.411823","0.185965","0.702505"
"2015-03-11T12:00:00.0000000","2015-03-12T01:05:00.0000000","era_2015_2018","2015","sell","0.02","1158.38","1165.01","13.26","5.42","0.408748","13.0833","7.025716","0.121296","0.553153","0.846847","1.92341","4.040894","0.249085","1.224294","2.297193","32.263591","25.494577","19.347148","1.08168","4.354403","1.25257","0.550481","0.956094","0.472888","0.221651","0.884693"
"2015-05-13T15:00:00.0000000","2015-05-13T16:39:30.0000000","era_2015_2018","2015","buy","0.02","1197.21","1191.72","10.98","22","2.003643","1.6583","2.696355","0.223032","0.578616","0.651992","2.045893","3.062406","0.194823","1.636309","2.356058","17.168256","21.488883","15.798316","-1.382252","-1.521935","-0.264231","0.007492","0.625691","0.251916","0.276635","1.143567"
"2015-06-04T16:00:00.0000000","2015-06-05T16:24:28.0000000","era_2015_2018","2015","sell","0.02","1178.93","1185.97","14.08","28.07","1.993608","24.4078","1.712224","0.152434","0.514604","0.666203","2.490906","4.136497","0.244841","2.574846","2.438472","17.676509","42.025006","27.861581","1.3977","2.414011","-0.050044","0.061079","0.529602","0.311171","0.488372","1.079868"
"2015-06-30T14:00:00.0000000","2015-06-30T19:00:00.0000000","era_2015_2018","2015","sell","0.03","1173.14","1177.66","13.56","-10.68","-0.787611","5","0.761547","0.276652","0.373938","0.450425","1.683759","4.412115","0.178702","1.505809","2.155807","26.269429","24.049828","34.057154","1.624556","2.429647","0.711941","0.091027","0.760167","-0.016098","0.145494","1.152208"
"2015-07-02T10:00:00.0000000","2015-07-02T15:20:13.0000000","era_2015_2018","2015","sell","0.04","1165.45","1168.62","12.68","25.32","1.996845","5.3369","2.975953","0.797199","0.625954","0.648855","1.411258","3.45812","0.159288","1.522453","1.705171","26.59341","56.222659","51.326991","1.75862","3.361988","0.804657","0.152261","0.915936","0.143776","0.461785","0.643293"
"2015-07-06T11:00:00.0000000","2015-07-06T18:00:00.0000000","era_2015_2018","2015","sell","0.03","1164.51","1169.26","14.25","-9.06","-0.635789","7","3.464627","0.531806","0.61807","0.75154","1.992227","3.624463","0.209917","1.886632","1.944958","30.949743","36.658889","24.937682","1.882088","3.394235","0.811401","0.029471","0.834732","0.201451","0.153989","1.098396"
"2015-07-22T15:00:00.0000000","2015-07-23T02:00:00.0000000","era_2015_2018","2015","sell","0.01","1088.5","1096.78","8.28","-7.19","-0.868357","11","14.072525","0.684053","0.845649","0.939245","1.735785","5.187402","0.322298","1.223481","2.360225","52.356868","59.298959","27.803242","1.991525","6.313792","1.391283","0.637126","0.808","0.502342","0.474325","0.975482"
"2015-07-31T10:00:00.0000000","2015-07-31T15:30:40.0000000","era_2015_2018","2015","sell","0.03","1081.72","1086.57","14.55","-14.61","-1.004124","5.5111","14.242384","0.250435","0.558696","0.978261","1.6","4.486957","0.265766","1.607717","1.686087","59.684816","17.706168","43.71974","2.474466","6.086594","2.064998","0.591802","0.884246","0.299581","0.184744","0.668865"
"2015-09-03T13:00:00.0000000","2015-09-03T15:43:42.0000000","era_2015_2018","2015","sell","0.03","1130.45","1134.45","12","24.03","2.0025","2.7283","2.397493","0.391325","0.588384","0.661616","1.867044","4.719472","0.187624","1.402738","1.886893","34.68976","18.237341","31.460674","2.716393","2.775288","0.452546","-0.323434","0.528832","-0.041735","0.351058","0.897254"
"2015-10-02T10:00:00.0000000","2015-10-02T15:15:28.0000000","era_2015_2018","2015","sell","0.05","1109.93","1112.93","15","1.45","0.096667","5.2578","7.363377","0.732723","0.518919","0.545946","2.053844","4.385235","0.16231","1.213911","1.665362","22.476452","48.278203","54.519507","2.734779","3.805113","0.376517","0.076537","0.563267","0.553203","0.23432","0.740232"
