"Candidate","ProfileSha256","Net2015","Net2016","Net2017","Net2018","Net2019","Net2020","ContinuousNetProfit","ContinuousReturnPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","ContinuousRecoveryFactor","AnnualGatePass","QualityGatePass","ParentComparisonPass","AdjacentSupportPass","BaseGatePass","Decision"
"rdmc_released_control","E0DA64904D97346CB11659256156834EDDED8BC839C85B095492870208ABF222","154.88","213.83","150.44","244.89","-4.98","-100.47","694.13","6.94","1.42","225","2.77","2.2843","False","False","True","False","False","CONTROL_ONLY"
"rdmc_di10_parent","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","85.54","161.03","173.84","227.15","-4.98","66.3","719.25","7.19","1.51","216","1.49","4.4794","False","True","True","False","False","PARENT_ONLY"
"rdmc_di10_cap10","A2E96FD299C66D4C7E11BCEC0C14A1FC2ACA1F5EE258BF630ECE2C85965A5F6E","85.54","161.03","173.84","154.95","47.22","169.66","787.15","7.87","1.61","211","1.09","6.763","True","True","True","False","True","SUPPORTS_CENTER"
"rdmc_di10_cap12_center","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","85.54","161.03","173.84","227.15","47.22","169.66","875.84","8.76","1.68","212","1.09","7.525","True","True","True","True","True","OPEN_HOLDOUT"
"rdmc_di10_cap14","0271FB8073C2282D8BDE1FDBC7823C9B6F7F34EA5B44E67A1304C191D806AA7B","85.54","161.03","173.84","227.15","47.22","169.66","875.84","8.76","1.68","212","1.09","7.525","True","True","True","False","True","SUPPORTS_CENTER"
