"QueueRank","Candidate","Phase","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","RunLabel","MinimumGapATR","MaximumGapATR","MinimumConfirmationFraction","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"11","wgf_confirm000","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","wgf_confirm000_repair_2019_2020_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_confirm000_repair_2019_2020_m1.htm","3DE518C99ADD3144805AF48B740477B0E53C610AE43A01F7BF5D24D2763F5C7C","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.50","0.00","10000","730","1.9986","-22","9978","-0.22","-0.11","-0.11","0.35","-2.2","-3.66","60","10","2","35.92","0.36","-0.6125"
"12","wgf_confirm000","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","wgf_confirm000_continuous_2015_2020_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_confirm000_continuous_2015_2020_m1.htm","3DE518C99ADD3144805AF48B740477B0E53C610AE43A01F7BF5D24D2763F5C7C","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.50","0.00","10000","2191","5.9986","-13.46","9986.54","-0.13","-0.02","-0.02","0.74","-0.9","-2.88","60","15","2","35.92","0.36","-0.3747"
"13","wgf_confirm030","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","wgf_confirm030_older_2015_2018_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_confirm030_older_2015_2018_m1.htm","036DDB9FC30AB53CB243A3C2CA44AD03FFE8138EC320439F945F70FE7861E459","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.50","0.30","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0",""
"14","wgf_confirm030","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","wgf_confirm030_repair_2019_2020_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_confirm030_repair_2019_2020_m1.htm","036DDB9FC30AB53CB243A3C2CA44AD03FFE8138EC320439F945F70FE7861E459","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.50","0.30","10000","730","1.9986","-8.04","9991.96","-0.08","-0.04","-0.04","0","-8.04","0","0","1","1","9.24","0.09","-0.8701"
"15","wgf_confirm030","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","wgf_confirm030_continuous_2015_2020_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_confirm030_continuous_2015_2020_m1.htm","036DDB9FC30AB53CB243A3C2CA44AD03FFE8138EC320439F945F70FE7861E459","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.50","0.30","10000","2191","5.9986","-8.04","9991.96","-0.08","-0.01","-0.01","0","-8.04","0","0","1","1","9.24","0.09","-0.8701"
"16","wgf_maxgap035","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","wgf_maxgap035_older_2015_2018_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_maxgap035_older_2015_2018_m1.htm","9A71DF8578089596516E18E8B7440534B68599777D8F8BD767FC063BEFDAC4F4","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.35","0.15","10000","1460","3.9973","0","10000","0","0","0","0","0","0","100","1","0","10.66","0.11","0"
"17","wgf_maxgap035","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","wgf_maxgap035_repair_2019_2020_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_maxgap035_repair_2019_2020_m1.htm","9A71DF8578089596516E18E8B7440534B68599777D8F8BD767FC063BEFDAC4F4","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.35","0.15","10000","730","1.9986","-8.04","9991.96","-0.08","-0.04","-0.04","0","-4.02","-0.08","50","2","1","19.14","0.19","-0.4201"
"18","wgf_maxgap035","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","wgf_maxgap035_continuous_2015_2020_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_maxgap035_continuous_2015_2020_m1.htm","9A71DF8578089596516E18E8B7440534B68599777D8F8BD767FC063BEFDAC4F4","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.35","0.15","10000","2191","5.9986","-8.04","9991.96","-0.08","-0.01","-0.01","0","-2.68","-0.14","66.67","3","1","19.14","0.19","-0.4201"
"19","wgf_maxgap065","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","wgf_maxgap065_older_2015_2018_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_maxgap065_older_2015_2018_m1.htm","5C45AF62CEDB436801CF78A888FDE9CDB2901745F524888A8AB0E4D64395019A","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.65","0.15","10000","1460","3.9973","0","10000","0","0","0","0","0","0","100","1","0","10.66","0.11","0"
"20","wgf_maxgap065","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","wgf_maxgap065_repair_2019_2020_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_maxgap065_repair_2019_2020_m1.htm","5C45AF62CEDB436801CF78A888FDE9CDB2901745F524888A8AB0E4D64395019A","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.65","0.15","10000","730","1.9986","-8.04","9991.96","-0.08","-0.04","-0.04","0","-4.02","-0.08","50","2","1","19.14","0.19","-0.4201"
"21","wgf_maxgap065","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","wgf_maxgap065_continuous_2015_2020_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_maxgap065_continuous_2015_2020_m1.htm","5C45AF62CEDB436801CF78A888FDE9CDB2901745F524888A8AB0E4D64395019A","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.65","0.15","10000","2191","5.9986","-8.04","9991.96","-0.08","-0.01","-0.01","0","-2.68","-0.14","66.67","3","1","19.14","0.19","-0.4201"
