Wave,QueueRank,Model,Role,Window,ConfigSha256,Status,Action,AvailableWorkers,MaxCpuPercent,TimeoutMinutesPerConfig,ExecutionStage,ExecutionMode,SharedBinaryStatus,SharedBinaryAction
1,1,1,critical,2019,F652BD387861EF0F197F5E22C95259B6A0C993DCA61C909B7925EFD4A8E427FC,TERMINAL_REJECTED,REWRITE_ENTRY_OR_REGIME_LOGIC_THEN_RESTART_WAVE_01,0,80,15,1,SINGLE_STAGE,COMPILE_ONCE_REQUIRED,KEEP_FROZEN_BINARY_FOR_AUDIT_ONLY
1,2,1,critical,2022,11C17CDE6532CC2DFEEC6759EC2182ACCC71AD5D33581BA3D3C52320EF34C921,TERMINAL_REJECTED,REWRITE_ENTRY_OR_REGIME_LOGIC_THEN_RESTART_WAVE_01,0,80,15,1,SINGLE_STAGE,COMPILE_ONCE_REQUIRED,KEEP_FROZEN_BINARY_FOR_AUDIT_ONLY
