"QueueRank","Wave","Role","Window","Model","ExpectedReportName","Status","ReportPath","ReportIdentityPath","ReportIdentityReused","ReportSha256","ConfigSha256","SourceSha256","ProfileSha256","PortableBinarySha256","InitialDeposit","NetProfit","Balance","TotalReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"1","1","broad","older_2015_2018","1","rdmc_tmv7b_w01_m1_broad_older_2015_2018","PARSED","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w01_m1_broad_older_2015_2018.htm","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w01_m1_broad_older_2015_2018.identity.json","False","48FAFC743D09D4F6B10A6EE529180616EAC7C6D2EB667EFF02A95635F2F4E090","1EE1DDD14208A6EEF3D629E2ECD7CB69C1AC04FED798CA765EB8D3DE0C7DAAA8","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","28C2388BF3C4AF8746734619DDED89D23BABA5DB1D746FFC3FBBC9F6E4D0E65E","10000","168.74","10168.74","1.69","0.42","1.53","2.6","1.23","43.08","65","5","154.67","1.52","1.091"
"2","1","broad","middle_2019_2022","1","rdmc_tmv7b_w01_m1_broad_middle_2019_2022","PARSED","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w01_m1_broad_middle_2019_2022.htm","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w01_m1_broad_middle_2019_2022.identity.json","False","BCAC0AFB68F1EEC342EDDCBBD7C818F2225FC2F53C862BFD47AF2F662DCA80D4","0664E327183CE636D831BBA1566117CEFEB961B7505DA369296997C66F11928E","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","28C2388BF3C4AF8746734619DDED89D23BABA5DB1D746FFC3FBBC9F6E4D0E65E","10000","544.51","10544.51","5.45","1.34","2.45","6.41","5.84","40","85","7","97.34","0.96","5.5939"
"3","1","broad","recent_2023_2026","1","rdmc_tmv7b_w01_m1_broad_recent_2023_2026","PARSED","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w01_m1_broad_recent_2023_2026.htm","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w01_m1_broad_recent_2023_2026.identity.json","False","BD7896C5A017E6909EE31012C0A798B7FDF21AD2D633A34F40E3C51AEDB78C79","36D5026D869937DD6E0A803EDA3024875A7B29A5B6D97E650A842E412E99E45C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","28C2388BF3C4AF8746734619DDED89D23BABA5DB1D746FFC3FBBC9F6E4D0E65E","10000","469.03","10469.03","4.69","1.31","2.73","9.98","6.63","48.94","47","4","171.62","1.67","2.733"
"4","1","continuous","continuous_2015_2026","1","rdmc_tmv7b_w01_m1_continuous_continuous_2015_2026","PARSED","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w01_m1_continuous_continuous_2015_2026.htm","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w01_m1_continuous_continuous_2015_2026.identity.json","False","0F1969FFA99C38486B8A11764AB3D5C88B946E227E67F8D2008D4BE128205AF5","F947B5627091E41C0C4EC0DD9C1214AB77CAFC2ACA694AFB6D22EF5DE20DED67","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","28C2388BF3C4AF8746734619DDED89D23BABA5DB1D746FFC3FBBC9F6E4D0E65E","10000","1227.6","11227.6","12.28","1.01","2.23","6.14","2.75","43.5","200","7","166.06","1.51","7.3925"
"5","2","critical","2019","4","rdmc_tmv7b_w02_m4_critical_2019","PARSED","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w02_m4_critical_2019.htm","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w02_m4_critical_2019.identity.json","False","29AB7D57C023E2B94F7F6B13B40A9985A5918B88ECBF4A93E29530778B4A0485","4DA0A06DF79112561F104F8BCA18F79AE51D216FD3D95C17576DBE913084F030","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","28C2388BF3C4AF8746734619DDED89D23BABA5DB1D746FFC3FBBC9F6E4D0E65E","10000","5.56","10005.56","0.06","0.06","1.09","0.28","0.64","30","20","7","38.39","0.38","0.1448"
"6","2","critical","2022","4","rdmc_tmv7b_w02_m4_critical_2022","PARSED","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w02_m4_critical_2022.htm","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w02_m4_critical_2022.identity.json","False","4DBED9ACF2038F1F248DC40DE9BC3E091D5B1EB255E0242EEBFB38F0D39DAEC5","D17FE59FFF218B7BCCCC7949EE9170892A62EA8BA5295CC8B62F813A47768E8A","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","28C2388BF3C4AF8746734619DDED89D23BABA5DB1D746FFC3FBBC9F6E4D0E65E","10000","81.29","10081.29","0.81","0.82","1.98","4.06","22.98","45","20","3","51.7","0.51","1.5723"
"7","3","broad","older_2015_2018","4","rdmc_tmv7b_w03_m4_broad_older_2015_2018","PARSED","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w03_m4_broad_older_2015_2018.htm","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w03_m4_broad_older_2015_2018.identity.json","False","145F9CA390EF375CE1D8B8527EB74B3DEBE3DF92A5874A5F1831677FB4A6D0BB","73CA274DE61920DA5DB5B539017E4C1C244B8422FC3EE39CCD01ADD29728F9AE","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","28C2388BF3C4AF8746734619DDED89D23BABA5DB1D746FFC3FBBC9F6E4D0E65E","10000","169.01","10169.01","1.69","0.42","1.53","2.6","4.76","43.08","65","5","154.69","1.52","1.0926"
"8","3","broad","middle_2019_2022","4","rdmc_tmv7b_w03_m4_broad_middle_2019_2022","PARSED","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w03_m4_broad_middle_2019_2022.htm","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w03_m4_broad_middle_2019_2022.identity.json","False","876E895630878AFC7931D1EBE93E74467C2A8871AC54799328D2BA140353A834","7054E56317BE491D0375AF410EEFD22519776BCE3F1E53EFDC3E988A0C481A9F","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","28C2388BF3C4AF8746734619DDED89D23BABA5DB1D746FFC3FBBC9F6E4D0E65E","10000","496.35","10496.35","4.96","1.22","2.4","6.45","6.53","40.26","77","7","107.49","1.06","4.6176"
"9","3","broad","recent_2023_2026","4","rdmc_tmv7b_w03_m4_broad_recent_2023_2026","PARSED","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w03_m4_broad_recent_2023_2026.htm","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w03_m4_broad_recent_2023_2026.identity.json","False","0B2394C8DEA07FDE26D70E9C4F2648EE8B4400ED06AA03F43C5959E0DAC3C769","28793385F56BC0BDC4BA7603CAA00E884907BE056715C7FB0580BC92712FB12D","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","28C2388BF3C4AF8746734619DDED89D23BABA5DB1D746FFC3FBBC9F6E4D0E65E","10000","398.25","10398.25","3.98","1.11","2.47","8.66","12.47","47.83","46","4","172.52","1.68","2.3084"
"10","3","continuous","continuous_2015_2026","4","rdmc_tmv7b_w03_m4_continuous_continuous_2015_2026","PARSED","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w03_m4_continuous_continuous_2015_2026.htm","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w03_m4_continuous_continuous_2015_2026.identity.json","False","965E541E84A2FF3A96AC5BD45D22EF4158C0BA7D31A049F52D05500103450403","860E1D8A11F302CD8611D4AAA7AA22EEB82E405B95EA37E7BB104218E7C1F406","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","28C2388BF3C4AF8746734619DDED89D23BABA5DB1D746FFC3FBBC9F6E4D0E65E","10000","1124.66","11124.66","11.25","0.93","2.19","5.92","5.12","43.16","190","7","166.96","1.52","6.7361"
