"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"","","broad","tlat_rc2_di11","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","tlat_rc2_di11_older_2015_2018_m4","PARSED","outputs\three_lane_trade_ready_rc2_model4_broad_package\reports_here\tlat_rc2_di11_older_2015_2018_m4.htm","10000","1460","3.9973","756.24","10756.24","7.56","1.89","1.84","1.82","4.82","25.41","46.5","157","6","104.26","1","89.84","104.26","7.2534"
"","","broad","tlat_rc2_di11","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","tlat_rc2_di11_middle_2019_2022_m4","PARSED","outputs\three_lane_trade_ready_rc2_model4_broad_package\reports_here\tlat_rc2_di11_middle_2019_2022_m4.htm","10000","1460","3.9973","588.78","10588.78","5.89","1.47","1.44","1.75","4.71","8.02","39.2","125","8","119.17","1.17","84.74","119.17","4.9407"
"","","broad","tlat_rc2_di11","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","tlat_rc2_di11_recent_2023_2026_m4","PARSED","outputs\three_lane_trade_ready_rc2_model4_broad_package\reports_here\tlat_rc2_di11_recent_2023_2026_m4.htm","10000","1288","3.5264","456.32","10456.32","4.56","1.29","1.27","2","6.17","14.94","47.3","74","6","125.81","1.24","93.94","125.81","3.6271"
"","","broad","tlat_rc2_di11","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","tlat_rc2_di11_continuous_2015_2026_m4","PARSED","outputs\three_lane_trade_ready_rc2_model4_broad_package\reports_here\tlat_rc2_di11_continuous_2015_2026_m4.htm","10000","4210","11.5264","1805.7","11805.7","18.06","1.57","1.45","1.77","5.03","10.94","44.29","359","8","139.11","1.2","128.32","139.11","12.9804"
"","","broad","tlat_rc2_di12_center","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","tlat_rc2_di12_center_older_2015_2018_m4","PARSED","outputs\three_lane_trade_ready_rc2_model4_broad_package\reports_here\tlat_rc2_di12_center_older_2015_2018_m4.htm","10000","1460","3.9973","832.95","10832.95","8.33","2.08","2.02","1.85","5.11","25.59","46.01","163","6","106.11","1.02","89.84","106.11","7.8499"
"","","broad","tlat_rc2_di12_center","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","tlat_rc2_di12_center_middle_2019_2022_m4","PARSED","outputs\three_lane_trade_ready_rc2_model4_broad_package\reports_here\tlat_rc2_di12_center_middle_2019_2022_m4.htm","10000","1460","3.9973","557.33","10557.33","5.57","1.39","1.37","1.69","4.42","7.6","38.89","126","8","119.17","1.17","84.74","119.17","4.6768"
"","","broad","tlat_rc2_di12_center","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","tlat_rc2_di12_center_recent_2023_2026_m4","PARSED","outputs\three_lane_trade_ready_rc2_model4_broad_package\reports_here\tlat_rc2_di12_center_recent_2023_2026_m4.htm","10000","1288","3.5264","594.03","10594.03","5.94","1.68","1.65","2.3","7.92","13.53","48","75","6","125.81","1.24","93.94","125.81","4.7216"
"","","broad","tlat_rc2_di12_center","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","tlat_rc2_di12_center_continuous_2015_2026_m4","PARSED","outputs\three_lane_trade_ready_rc2_model4_broad_package\reports_here\tlat_rc2_di12_center_continuous_2015_2026_m4.htm","10000","4210","11.5264","1994.62","11994.62","19.95","1.73","1.59","1.82","5.43","11.07","44.14","367","8","139.11","1.19","128.32","139.11","14.3384"
