Profile,Eligible,ImplementationProfile,DonchianRiskPercent,ReversionRiskPercent,MomentumRiskPercent,RequestedRiskSumPercent,OpenRiskCapPercent,Score,NoHistoricalLaneLock,AllBroadErasPositive,AddedTradesVsTwoLane,BaseIncrementalNetPercent,Stress05IncrementalNetPercent,Stress10IncrementalNetPercent,ReturnDrawdownDelta,WorstRolling12MonthDelta,BenchmarkNetProfit,BenchmarkProfitFactor,BenchmarkMaxRiskFloorDrawdownPercent,BenchmarkRedYears,BenchmarkStress05NetProfit,BenchmarkStress10NetProfit,NetProfit,EndingBalance,TotalReturnPercent,CagrPercent,ProfitFactor,Trades,SkippedTrades,ScaledTrades,MaxClosedDrawdownPercent,MaxRiskFloorDrawdownPercent,MaxOpenRiskPercent,RecoveryFactor,ReturnDrawdown,RedYears,InactiveYears,WorstYear,WorstYearNet,LargestYearSharePercent,WorstRolling12MonthNet,NegativeRolling12MonthWindows,MaxConsecutiveLosses,LaneLocks,BaseOlder2015_2018Net,BaseMiddle2019_2022Net,BaseRecent2023_2026Net,Stress05NetProfit,Stress05ProfitFactor,Stress05MaxRiskFloorDrawdownPercent,Stress05RedYears,Stress05MaxConsecutiveLosses,Stress05WorstYearNet,Stress05Older2015_2018Net,Stress05Middle2019_2022Net,Stress05Recent2023_2026Net,Stress10NetProfit,Stress10ProfitFactor,Stress10MaxRiskFloorDrawdownPercent,Stress10RedYears,Stress10MaxConsecutiveLosses,Stress10WorstYearNet,Stress10Older2015_2018Net,Stress10Middle2019_2022Net,Stress10Recent2023_2026Net
dd_0.15_rv_0.35_mom_0.10,False,False,0.15,0.35,0.1,0.6,0.75,8.5507,True,True,51,9.481,7.95,5.835,0.81,42.83,1674.69,1.645,2.78,3,1396.94,1125.77,1833.46,11833.46,18.33,1.47,1.595,413,0,0,2.34,2.68,0.6,6.19,6.84,1,0,2019,-64.8,18.84,-165.68,22,8,,879.23,348.73,605.5,1508.0,1.469,2.98,2,10,-87.88,760.69,229.86,517.45,1191.46,1.357,3.28,4,10,-110.39,643.41,114.72,433.33
dd_0.15_rv_0.35_mom_0.20,False,False,0.15,0.35,0.2,0.7,0.75,8.3032,False,False,51,7.801,6.922,6.891,0.76,43.76,2094.48,1.488,3.08,1,1622.88,932.82,2257.86,12257.86,22.58,1.78,1.471,413,0,0,2.65,2.99,0.7,6.62,7.55,2,0,2019,-88.22,20.44,-228.78,23,8,,1193.57,298.45,765.84,1735.22,1.35,3.43,2,10,-128.33,996.67,113.3,625.23,997.1,1.219,4.13,3,10,-166.85,803.22,-62.64,256.53
dd_0.15_rv_0.40_mom_0.20,False,False,0.15,0.4,0.2,0.75,0.75,7.3714,False,False,51,7.223,6.317,5.971,0.69,43.94,2299.45,1.514,3.43,1,1805.75,1091.58,2465.55,12465.55,24.66,1.93,1.495,413,0,0,2.95,3.34,0.75,6.42,7.39,1,0,2019,-94.63,19.95,-253.22,21,8,,1277.09,359.18,829.27,1919.82,1.372,3.79,2,10,-135.13,1074.05,165.89,679.88,1156.76,1.245,4.45,3,10,-173.99,874.63,-17.6,299.73
dd_0.15_rv_0.45_mom_0.20,False,False,0.15,0.45,0.2,0.8,0.75,7.0377,False,True,51,6.987,6.136,5.775,0.64,43.98,2507.27,1.538,3.78,1,1990.91,1252.1,2682.45,12682.45,26.82,2.08,1.519,413,0,1,3.25,3.68,0.75,6.28,7.28,1,0,2019,-101.18,19.7,-278.11,20,8,,1366.71,421.08,894.66,2113.07,1.395,4.15,2,10,-142.09,1157.63,219.35,736.1,1324.41,1.27,4.77,3,10,-181.32,952.37,28.03,344.01
dd_0.15_rv_0.50_mom_0.20,False,False,0.15,0.5,0.2,0.85,0.75,6.8138,False,True,51,6.789,5.99,5.684,0.61,44.0,2717.96,1.56,4.12,1,2178.37,1436.89,2902.49,12902.49,29.02,2.23,1.541,413,0,1,3.55,4.03,0.75,6.15,7.21,1,0,2019,-107.82,19.47,-303.35,22,8,,1456.85,484.01,961.64,2308.86,1.417,4.51,2,10,-149.15,1241.65,273.61,793.61,1518.56,1.302,5.08,5,10,-188.74,1030.47,74.3,413.79
dd_0.15_rv_0.50_mom_0.15,False,False,0.15,0.5,0.15,0.8,0.75,6.3121,True,True,51,7.033,5.986,4.554,0.61,43.71,2496.02,1.629,3.97,3,2060.12,1639.37,2671.57,12671.57,26.72,2.07,1.597,413,0,1,3.39,3.87,0.75,5.99,6.9,1,0,2019,-95.35,18.67,-269.38,24,8,,1289.46,508.03,874.07,2183.43,1.471,4.28,1,10,-128.0,1114.81,332.9,735.73,1714.02,1.358,4.69,4,10,-159.52,942.83,165.4,605.8
dd_0.10_rv_0.35_mom_0.10,False,False,0.1,0.35,0.1,0.55,0.75,5.6348,True,True,51,6.333,5.323,3.924,0.54,28.54,1674.69,1.645,2.78,3,1396.94,1125.77,1780.75,11780.75,17.81,1.43,1.61,413,0,0,2.37,2.71,0.55,5.96,6.57,1,0,2019,-63.02,18.57,-179.97,24,8,,868.49,345.65,566.62,1471.3,1.483,2.99,1,10,-84.53,754.33,233.63,483.34,1169.95,1.369,3.28,4,10,-105.53,641.35,124.96,403.63
dd_0.10_rv_0.35_mom_0.20,False,False,0.1,0.35,0.2,0.65,0.75,5.4479,False,False,51,5.211,4.635,4.634,0.5,29.16,2094.48,1.488,3.08,1,1622.88,932.82,2203.63,12203.63,22.04,1.74,1.476,413,0,0,2.68,3.02,0.65,6.41,7.29,1,0,2019,-86.4,20.16,-243.38,20,8,,1182.71,295.41,725.5,1698.1,1.354,3.45,2,10,-124.93,990.36,117.2,590.55,976.05,1.223,4.13,3,10,-161.97,801.27,-52.36,227.13
dd_0.10_rv_0.40_mom_0.20,False,False,0.1,0.4,0.2,0.7,0.75,4.8251,False,False,51,4.826,4.23,4.016,0.46,29.28,2299.45,1.514,3.43,1,1805.75,1091.58,2410.41,12410.41,24.1,1.89,1.501,413,0,0,2.98,3.37,0.7,6.24,7.16,1,0,2019,-92.79,19.69,-267.88,19,8,,1266.15,356.06,788.19,1882.13,1.378,3.81,2,10,-131.71,1067.69,169.81,644.63,1135.42,1.249,4.45,3,10,-169.08,872.69,-7.22,269.95
dd_0.10_rv_0.45_mom_0.20,False,False,0.1,0.45,0.2,0.75,0.75,4.3118,False,True,51,4.499,3.895,3.549,0.42,29.4,2507.27,1.538,3.78,1,1990.91,1252.1,2620.07,12620.07,26.2,2.04,1.524,413,0,0,3.28,3.71,0.75,6.1,7.06,1,0,2019,-99.27,19.29,-292.69,21,8,,1350.02,417.65,852.39,2068.45,1.4,4.17,2,10,-138.57,1145.38,223.18,699.9,1296.54,1.274,4.77,4,10,-176.28,944.4,38.5,313.65
