"QueueRank","Candidate","Role","Window","From","To","Model","PartialRunnerEnabled","ClosePercent","TriggerR","TargetR","StopLockR","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"11","sqpr_close70","close_neighbor_low","discovery_2019_2020","2019.01.01","2020.12.31","1","true","70","1.5","4","1.25","643D524E6CBD3EA7A36DD23D0674ADA2B6779CB8F82411C0C76AAEA69F44A11F","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","488.83","4.89","2.42","1.92","123","56.1","0.84","5.7126","5.8214","6.52","5","2D7D60473253B58E1551C74D55133784CEB5F8448CF1AA008BDBF63E8357A07A"
"12","sqpr_close70","close_neighbor_low","continuous_2015_2020","2015.01.01","2020.12.31","1","true","70","1.5","4","1.25","643D524E6CBD3EA7A36DD23D0674ADA2B6779CB8F82411C0C76AAEA69F44A11F","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","1677.27","16.77","2.62","1.83","391","52.94","1.1","14.31","15.2455","5.61","6","7F4217C90C27B22967BD3E81FEF43020FC2E53607FC2165F8BF2662CE5941467"
"13","sqpr_close90","close_neighbor_high","older_2015_2018","2015.01.01","2018.12.31","1","true","90","1.5","4","1.25","FB4B8E66921C42F04B660124B90F2D0AEA865E606C8C70BD0C505C5023053814","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","1227.32","12.27","2.94","1.91","265","51.7","1.1","10.4711","11.1545","5.88","6","DF118B547BB97B883FF7C84D92544703AE468E2EF08539145E548E6070549128"
"14","sqpr_close90","close_neighbor_high","discovery_2019_2020","2019.01.01","2020.12.31","1","true","90","1.5","4","1.25","FB4B8E66921C42F04B660124B90F2D0AEA865E606C8C70BD0C505C5023053814","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","494.22","4.94","2.44","1.93","123","56.1","0.82","5.9202","6.0244","6.58","5","D1E5D40F68465E1541C4391703277118D73EC7A18F08577B709F6BA82C9D2554"
"15","sqpr_close90","close_neighbor_high","continuous_2015_2020","2015.01.01","2020.12.31","1","true","90","1.5","4","1.25","FB4B8E66921C42F04B660124B90F2D0AEA865E606C8C70BD0C505C5023053814","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","1711.11","17.11","2.67","1.85","391","52.94","1.1","14.5987","15.5545","5.72","6","EC4B870B138B021E107432164082581DF9B28A1CF27AD8C711D18FCDB3A1703B"
"16","sqpr_target300","target_neighbor_low","older_2015_2018","2015.01.01","2018.12.31","1","true","80","1.5","3","1.25","769FE46DADC768CF212C4C20461CF7DAEDE689A3018EFCD9A6E32B62662D7DEF","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","1230.55","12.31","2.95","1.91","264","51.52","1.1","10.4987","11.1909","5.9","6","81F596C1E36EA9CE24987B1C667A97B96AC2C3654242672274F9A358646F2E8F"
"17","sqpr_target300","target_neighbor_low","discovery_2019_2020","2019.01.01","2020.12.31","1","true","80","1.5","3","1.25","769FE46DADC768CF212C4C20461CF7DAEDE689A3018EFCD9A6E32B62662D7DEF","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","498.04","4.98","2.46","1.93","122","55.74","0.83","5.9382","6","6.63","5","B686D7D67361B31D8E1F908764578B7CA4BF0CCB43ACBC303AD5C314629F1446"
"18","sqpr_target300","target_neighbor_low","continuous_2015_2020","2015.01.01","2020.12.31","1","true","80","1.5","3","1.25","769FE46DADC768CF212C4C20461CF7DAEDE689A3018EFCD9A6E32B62662D7DEF","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","1716.77","17.17","2.68","1.85","389","52.7","1.1","14.647","15.6091","5.74","6","A9FCE5832131A70CB04AF62513DBF06B178147B6FF939C7540FECE8051DC7E25"
"19","sqpr_target500","target_neighbor_high","older_2015_2018","2015.01.01","2018.12.31","1","true","80","1.5","5","1.25","503C9DA5DBB781A8DF63CC4906051236498CCB26BC5F03A0E4C1DD67EB01AE3F","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","1214.6","12.15","2.91","1.9","265","51.7","1.1","10.3626","11.0455","5.82","6","B1DF772575451A7E4313636605089C2E80475E0734486D87A202308A0EB8CF9D"
"20","sqpr_target500","target_neighbor_high","discovery_2019_2020","2019.01.01","2020.12.31","1","true","80","1.5","5","1.25","503C9DA5DBB781A8DF63CC4906051236498CCB26BC5F03A0E4C1DD67EB01AE3F","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","500.42","5","2.47","1.94","123","56.1","0.83","5.9666","6.0241","6.68","5","45A5594218051765CB8B2E5307ABDA0AA4ECDA085DE225FCC88FDAA744DA154F"
"21","sqpr_target500","target_neighbor_high","continuous_2015_2020","2015.01.01","2020.12.31","1","true","80","1.5","5","1.25","503C9DA5DBB781A8DF63CC4906051236498CCB26BC5F03A0E4C1DD67EB01AE3F","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","1703.28","17.03","2.66","1.85","391","52.94","1.1","14.5319","15.4818","5.7","6","527072417DCF0E6A12A0DCEE417FCD2F0EEE4DCAC1BC59751E8A73B743768E68"
"22","sqpr_lock100","lock_neighbor_low","older_2015_2018","2015.01.01","2018.12.31","1","true","80","1.5","4","1","E1DFF6587276E807D6647B3D7F5ABE4BDC7A9DAF6622FA02AD052B221FD414D5","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","1213.51","12.14","2.91","1.9","265","51.7","1.1","10.3533","11.0364","5.82","6","6C394CF416B15D5657ABDA32CA6225F0A246D6A9BB584987A121B7280F2C47B7"
"23","sqpr_lock100","lock_neighbor_low","discovery_2019_2020","2019.01.01","2020.12.31","1","true","80","1.5","4","1","E1DFF6587276E807D6647B3D7F5ABE4BDC7A9DAF6622FA02AD052B221FD414D5","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","500.69","5.01","2.47","1.94","123","56.1","0.84","5.8995","5.9643","6.67","5","26D41907788DF81BEAF188E1CF1E6F0978214189D25AF58E000557A2B251CF59"
"24","sqpr_lock100","lock_neighbor_low","continuous_2015_2020","2015.01.01","2020.12.31","1","true","80","1.5","4","1","E1DFF6587276E807D6647B3D7F5ABE4BDC7A9DAF6622FA02AD052B221FD414D5","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","1702.02","17.02","2.65","1.85","391","52.94","1.1","14.5211","15.4727","5.69","6","7B0E772BF077D2F76F7DF4F6D09D71039462429ACBA7E8B4E3781AB4AEA98C35"
"25","sqpr_lock140","lock_neighbor_high","older_2015_2018","2015.01.01","2018.12.31","1","true","80","1.5","4","1.4","B3021B313C4CCD1D6A3B59B1FDA826C0087C3A1EDC3136D7ECB840AEEE903CC9","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","1221.27","12.21","2.92","1.9","265","51.7","1.1","10.4195","11.1","5.86","6","E29D645B2E5DD73ACB74CF9976BB975DC6604EF706CE9C43BF784D18C44A65EC"
"26","sqpr_lock140","lock_neighbor_high","discovery_2019_2020","2019.01.01","2020.12.31","1","true","80","1.5","4","1.4","B3021B313C4CCD1D6A3B59B1FDA826C0087C3A1EDC3136D7ECB840AEEE903CC9","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","493.21","4.93","2.44","1.93","123","56.1","0.82","5.923","6.0122","6.58","5","A56683C8ADF13E992D15F3ACAB1AF630D8B67E78752DC5B94D7E85919A8E5583"
"27","sqpr_lock140","lock_neighbor_high","continuous_2015_2020","2015.01.01","2020.12.31","1","true","80","1.5","4","1.4","B3021B313C4CCD1D6A3B59B1FDA826C0087C3A1EDC3136D7ECB840AEEE903CC9","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","405665BCE71400E067AD6DE80CFA4CAEE4C937C2F916F05A1545327DAAE2E4B1","PARSED","1703","17.03","2.66","1.85","391","52.94","1.1","14.5295","15.4818","5.7","6","9D1C941855E7CD190DAE1B25BEE08346822A7C586E9779A9920FBFB40EFD8E8E"
