"QueueRank","Candidate","Window","From","To","Model","Deposit","ExpectedReportName","ProfileSha256","SourceSha256","ContractSha256","QualityEnabled","MinimumBodyPercent","MinimumCloseLocation","MinimumRangeATR","VolumeEnabled","MinimumVolumeRatio","Status","ReportSha256","ReportSourceIdentityPass","ReportDisposition","InitialDeposit","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","MaxDrawdownPercent","RecoveryFactor"
"1","mbq_fixed_control","older_2015_2018","2015.01.01","2018.12.31","1","10000","mbq_fixed_control_older_2015_2018_m1","350AC7D91BFC0DD6D6C841DB9AA956822EA20D3B071B76FA5BCCEEF906718BFC","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","false","35.0","0.65","0.50","false","1.00","PARSED","04C302BBE2868B88FFA8F268550EAEC9309670D126829689CC34399E8A0E659E","True","FIRST_VALID_EXPORT","10000","814.7","8.15","1.98","1.87","152","1.01","7.7215"
"2","mbq_fixed_control","repair_2019_2020","2019.01.01","2020.12.31","1","10000","mbq_fixed_control_repair_2019_2020_m1","350AC7D91BFC0DD6D6C841DB9AA956822EA20D3B071B76FA5BCCEEF906718BFC","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","false","35.0","0.65","0.50","false","1.00","PARSED","F32AFFCED161761B0E3F9E94387DA49BDF0CE44016A4357D9CD9C20318951680","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","-105.45","-1.05","-0.53","0.84","72","3.08","-0.3364"
"3","mbq_fixed_control","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","mbq_fixed_control_continuous_2015_2020_m1","350AC7D91BFC0DD6D6C841DB9AA956822EA20D3B071B76FA5BCCEEF906718BFC","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","false","35.0","0.65","0.50","false","1.00","PARSED","3B5174F9BFBFBFD9DDD19C86C530942A3C05228DF3B225570FEFAA3A72D79322","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","694.13","6.94","1.13","1.42","225","2.77","2.2843"
"4","mbq_price_loose","older_2015_2018","2015.01.01","2018.12.31","1","10000","mbq_price_loose_older_2015_2018_m1","0BC760C0A678940E5308DB8522DC1180BDAC4042615773EAA56D1585901715FD","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","25.0","0.58","0.35","false","1.00","PARSED","492D894A124C3569D3B08E3AE0235C754A74209AA1CEE168F7F9537758A4A237","True","FIRST_VALID_EXPORT","10000","862.82","8.63","2.09","2.07","134","1.01","8.1776"
"5","mbq_price_loose","repair_2019_2020","2019.01.01","2020.12.31","1","10000","mbq_price_loose_repair_2019_2020_m1","0BC760C0A678940E5308DB8522DC1180BDAC4042615773EAA56D1585901715FD","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","25.0","0.58","0.35","false","1.00","PARSED","445194A3E331B58808EFC9A140DB0153F2FB5F971BA54C851D88D2EF2F2B23AF","True","FIRST_VALID_EXPORT","10000","-131.99","-1.32","-0.66","0.79","68","2.94","-0.4437"
"6","mbq_price_loose","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","mbq_price_loose_continuous_2015_2020_m1","0BC760C0A678940E5308DB8522DC1180BDAC4042615773EAA56D1585901715FD","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","25.0","0.58","0.35","false","1.00","PARSED","2795B87165E53690E0B7EF0C8A0AF226DBD9F0D7C0CD044247BE7AB4EC468EDC","True","FIRST_VALID_EXPORT","10000","707.26","7.07","1.15","1.47","203","2.72","2.3749"
"7","mbq_price_center","older_2015_2018","2015.01.01","2018.12.31","1","10000","mbq_price_center_older_2015_2018_m1","6FDF83D8AF3C5E69402ECD89EA96E14B506D51BCB5C7B284A8E7193124214B10","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","false","1.00","PARSED","A9CDED3DA28528D046151E795005E9C5AE4DE1658DE3712AA98FBB42FA843E93","True","FIRST_VALID_EXPORT","10000","844.36","8.44","2.05","2.17","120","1.01","8.0027"
"8","mbq_price_center","repair_2019_2020","2019.01.01","2020.12.31","1","10000","mbq_price_center_repair_2019_2020_m1","6FDF83D8AF3C5E69402ECD89EA96E14B506D51BCB5C7B284A8E7193124214B10","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","false","1.00","PARSED","357EC925F6A3F3ECE967C2D7E191E029EDF2063389ADBFDFAEB8860A7737B209","True","FIRST_VALID_EXPORT","10000","-191.13","-1.91","-0.96","0.69","60","3.06","-0.6204"
"9","mbq_price_center","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","mbq_price_center_continuous_2015_2020_m1","6FDF83D8AF3C5E69402ECD89EA96E14B506D51BCB5C7B284A8E7193124214B10","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","false","1.00","PARSED","AAAC6AEEFF5F72CC3B18D23FECA57A9633F3D8F586BF7F776C9EF67CA3E5A09F","True","FIRST_VALID_EXPORT","10000","632.12","6.32","1.03","1.46","181","2.99","1.9371"
"10","mbq_price_strict","older_2015_2018","2015.01.01","2018.12.31","1","10000","mbq_price_strict_older_2015_2018_m1","82138F4F7B7425F82AF29D5064F7901DF53DAB499250C6477BA7886F6086B550","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","45.0","0.72","0.65","false","1.00","PARSED","7801DF647DE47471ED50BE23547EEE9130BA99E6248556D202E22B2D7A2884CA","True","FIRST_VALID_EXPORT","10000","694.95","6.95","1.7","2.08","106","1.12","5.9622"
"11","mbq_price_strict","repair_2019_2020","2019.01.01","2020.12.31","1","10000","mbq_price_strict_repair_2019_2020_m1","82138F4F7B7425F82AF29D5064F7901DF53DAB499250C6477BA7886F6086B550","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","45.0","0.72","0.65","false","1.00","PARSED","3AC1409C6969722459BD8A2CA2CD0EC9EC9B1181C10838451EA0A8A8D80CC314","True","FIRST_VALID_EXPORT","10000","-176.43","-1.76","-0.89","0.7","56","2.98","-0.5867"
