"QueueRank","Candidate","CandidateRank","SourceType","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BaseProfileSha256","RVConfirmationEnabled","RVRequirePriorCloseOutside","RVRequireProgress","MOConfirmationEnabled","MORequireProgress","StopRule","Status","ReportPath","ReportSha256","ReportSourceIdentityPass","ReportDisposition","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","tbc_fixed_control","1","two_bar_confirmation_portfolio","discovery_model1","tbc_fixed_control.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_tbc_fixed_control_older_2015_2018_m1.ini","tbc_fixed_control_older_2015_2018_m1","profiles\tbc_fixed_control.set","97E621A72FD8BEB86C22FE601ABA83029686942FB5DD0141E49A79D0380ADBB0","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","false","false","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_fixed_control_older_2015_2018_m1.htm","F09BAFE98301CC52CD93A0A8546669C8C96406B4909A9BEA42E3425DD092B6E2","True","FIRST_VALID_EXPORT","10000","1460","3.9973","814.7","10814.7","8.15","2.04","1.98","1.87","5.36","7.27","46.05","152","5","105.51","1.01","75.68","105.51","7.7215"
"2","tbc_fixed_control","1","two_bar_confirmation_portfolio","discovery_model1","tbc_fixed_control.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_tbc_fixed_control_discovery_2019_2020_m1.ini","tbc_fixed_control_discovery_2019_2020_m1","profiles\tbc_fixed_control.set","97E621A72FD8BEB86C22FE601ABA83029686942FB5DD0141E49A79D0380ADBB0","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","false","false","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_fixed_control_discovery_2019_2020_m1.htm","5F3B91B06EF2E7D022F23BBAD719ECD6E60E3556DEC5F5CB5707528599A14556","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","730","1.9986","-105.45","9894.55","-1.05","-0.53","-0.53","0.84","-1.46","-1.84","37.5","72","7","313.42","3.08","274.79","313.42","-0.3364"
"3","tbc_fixed_control","1","two_bar_confirmation_portfolio","discovery_model1","tbc_fixed_control.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_tbc_fixed_control_continuous_2015_2020_m1.ini","tbc_fixed_control_continuous_2015_2020_m1","profiles\tbc_fixed_control.set","97E621A72FD8BEB86C22FE601ABA83029686942FB5DD0141E49A79D0380ADBB0","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","false","false","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_fixed_control_continuous_2015_2020_m1.htm","627CD7BC12F4C18690358ED59D17D7B2BAD1F94589FF7FA2901F4E8D19E9E216","True","FIRST_VALID_EXPORT","10000","2191","5.9986","694.13","10694.13","6.94","1.16","1.13","1.42","3.09","4.07","43.11","225","7","303.87","2.77","265.24","303.87","2.2843"
"4","tbc_rv_wick","2","two_bar_confirmation_portfolio","discovery_model1","tbc_rv_wick.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_tbc_rv_wick_older_2015_2018_m1.ini","tbc_rv_wick_older_2015_2018_m1","profiles\tbc_rv_wick.set","1674464F84E8D15AD2832DC187E7DA3ACC8668F98CDBD6E39A96C40064095B90","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","false","true","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_rv_wick_older_2015_2018_m1.htm","556EC02743FD4B179601730ABE98441C93DC93DE2E074419BB0C440A952194DA","True","FIRST_VALID_EXPORT","10000","1460","3.9973","699.81","10699.81","7","1.75","1.71","1.75","4.63","6.33","45.7","151","5","118.21","1.14","75.89","118.21","5.9201"
"5","tbc_rv_wick","2","two_bar_confirmation_portfolio","discovery_model1","tbc_rv_wick.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_tbc_rv_wick_discovery_2019_2020_m1.ini","tbc_rv_wick_discovery_2019_2020_m1","profiles\tbc_rv_wick.set","1674464F84E8D15AD2832DC187E7DA3ACC8668F98CDBD6E39A96C40064095B90","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","false","true","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_rv_wick_discovery_2019_2020_m1.htm","8DD3C9668E13A8EFB6B9600FF8A961DF061C830BA3F6B6D4942694B6B5E87334","True","FIRST_VALID_EXPORT","10000","730","1.9986","-62.43","9937.57","-0.62","-0.31","-0.31","0.9","-0.88","-1.12","38.03","71","7","270.4","2.66","231.77","270.4","-0.2309"
"6","tbc_rv_wick","2","two_bar_confirmation_portfolio","discovery_model1","tbc_rv_wick.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_tbc_rv_wick_continuous_2015_2020_m1.ini","tbc_rv_wick_continuous_2015_2020_m1","profiles\tbc_rv_wick.set","1674464F84E8D15AD2832DC187E7DA3ACC8668F98CDBD6E39A96C40064095B90","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","false","true","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_rv_wick_continuous_2015_2020_m1.htm","B00484FE75B8C9AA01A84B3940E3BD242B9297D23AD16F58C7919B478D17EDA2","True","FIRST_VALID_EXPORT","10000","2191","5.9986","625.51","10625.51","6.26","1.04","1.02","1.39","2.8","3.72","43.05","223","7","260.85","2.4","222.22","260.85","2.398"
"7","tbc_rv_close","3","two_bar_confirmation_portfolio","discovery_model1","tbc_rv_close.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_tbc_rv_close_older_2015_2018_m1.ini","tbc_rv_close_older_2015_2018_m1","profiles\tbc_rv_close.set","066E3FE8EF0A08DCBAD3CF8B252FD55EDA90DC4EA94EE27C05A9A75062096C07","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","true","true","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_rv_close_older_2015_2018_m1.htm","D3BD5F1599C2F67733B33327E994B58B48E6EC16D387915C4F3BE9CFD0FC17A8","True","FIRST_VALID_EXPORT","10000","1460","3.9973","601.11","10601.11","6.01","1.5","1.47","1.72","4.2","5.91","46.15","143","5","121.21","1.17","85.25","121.21","4.9592"
"8","tbc_rv_close","3","two_bar_confirmation_portfolio","discovery_model1","tbc_rv_close.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_tbc_rv_close_discovery_2019_2020_m1.ini","tbc_rv_close_discovery_2019_2020_m1","profiles\tbc_rv_close.set","066E3FE8EF0A08DCBAD3CF8B252FD55EDA90DC4EA94EE27C05A9A75062096C07","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","true","true","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_rv_close_discovery_2019_2020_m1.htm","573B1B8FC6E6C30CE321120DE52036D4A971659E80B08A6EAE04A0D7E6566698","True","FIRST_VALID_EXPORT","10000","730","1.9986","-26.26","9973.74","-0.26","-0.13","-0.13","0.96","-0.38","-0.48","38.57","70","7","234.23","2.3","195.6","234.23","-0.1121"
"9","tbc_rv_close","3","two_bar_confirmation_portfolio","discovery_model1","tbc_rv_close.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_tbc_rv_close_continuous_2015_2020_m1.ini","tbc_rv_close_continuous_2015_2020_m1","profiles\tbc_rv_close.set","066E3FE8EF0A08DCBAD3CF8B252FD55EDA90DC4EA94EE27C05A9A75062096C07","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","true","true","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_rv_close_continuous_2015_2020_m1.htm","BF884CF0BDF9DEAB1C82301AF8171A325CDC39497A8473BE140BBFA4F26C1D03","True","FIRST_VALID_EXPORT","10000","2191","5.9986","569.14","10569.14","5.69","0.95","0.93","1.39","2.66","3.6","43.46","214","7","218.25","2.03","179.62","218.25","2.6077"
"10","tbc_mo_hold","4","two_bar_confirmation_portfolio","discovery_model1","tbc_mo_hold.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_tbc_mo_hold_older_2015_2018_m1.ini","tbc_mo_hold_older_2015_2018_m1","profiles\tbc_mo_hold.set","19F88E1FB6EFC526910495AA7061C7A0EDCDF917F9F6C053D0F44A0FD2F03A05","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","false","false","true","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_mo_hold_older_2015_2018_m1.htm","FAF788262EC7C5C2D17E7D843F7E8AA37E990104C2677C62FD3676D24DD16075","True","FIRST_VALID_EXPORT","10000","1460","3.9973","674.99","10674.99","6.75","1.69","1.65","1.88","5.31","6.85","46.46","127","5","146.61","1.46","103.19","146.61","4.604"
