"Candidate","Role","Enabled","OffsetATR","LifetimeBars","OlderNet","LaterNet","ContinuousNet","NetGrowthPercent","CagrPercent","CagrChangePoints","ProfitFactor","PFRetentionPercent","Trades","TradeRetentionPercent","MaxDrawdownPercent","RecoveryFactor","RecoveryRetentionPercent","ReturnDrawdown","ReturnDrawdownRetentionPercent","RetracementEntries","RetracementEntryNet","PositiveEras","EraNoWorseThanControl","FrozenGatePass","Decision"
"rre_control","control","False","0","1","1036.19","370.6","1379.93","0","2.18","0","1.88","100","261","100","1.05","11.6775","100","13.1429","100","0","0","True","True","True","CONTROL"
"rre_offset10","lower_offset_support","True","0.1","1","880.49","376.99","1250.3","-9.39","1.98","-0.2","1.85","98.4","258","98.85","1.02","11.098","95.04","12.2549","93.24","16","403.21","True","False","False","REJECT_BEFORE_HOLDOUT"
"rre_center15","center","True","0.15","1","682.44","384.19","1067.56","-22.64","1.71","-0.47","1.75","93.09","252","96.55","1.04","9.4759","81.15","10.2692","78.14","13","284.35","True","False","False","REJECT_BEFORE_HOLDOUT"
"rre_offset20","upper_offset_support","True","0.2","1","708.94","384.13","1083","-21.52","1.73","-0.45","1.77","94.15","254","97.32","1.04","9.613","82.32","10.4135","79.23","13","314.12","True","False","False","REJECT_BEFORE_HOLDOUT"
"rre_center15_bars2","lifetime_support","True","0.15","2","646.94","384.19","1032.06","-25.21","1.65","-0.53","1.71","90.96","253","96.93","1.04","9.1608","78.45","9.9231","75.5","14","246.65","True","False","True","ELIGIBLE_ONLY_IF_FAMILY_PASSES"
