"QueueRank","Candidate","CandidateRank","Family","Role","Phase","Window","From","To","Model","Deposit","SignalTimeframe","ATRPeriod","ADXPeriod","RSIPeriod","BollingerPeriod","VWAPLookbackBars","StopLookbackBars","Status","ReportPath","ProfileSha256","SourceSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"11","rvtf_m30_duration","4","m30","duration_normalized","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","30","28","28","28","40","96","10","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_duration_discovery_2019_2020_m1.htm","5731AEBD362C20174809224098121934DDFCF236AE140BE3C53B9744FEE4AD53","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","730","1.9986","67.03","10067.03","0.67","0.34","0.33","1.91","22.34","0.23","33.33","3","2","104.77","1.05","0.6398"
"12","rvtf_m30_duration","4","m30","duration_normalized","reversion_timeframe_transfer_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","30","28","28","28","40","96","10","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_duration_continuous_2015_2020_m1.htm","5731AEBD362C20174809224098121934DDFCF236AE140BE3C53B9744FEE4AD53","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","2191","5.9986","-51.6","9948.4","-0.52","-0.09","-0.09","0.73","-7.37","-0.35","14.29","7","6","216.2","2.16","-0.2387"
"13","rvtf_h2_local","5","h2","local_bars","reversion_timeframe_transfer_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","16386","14","14","14","20","48","5","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_local_older_2015_2018_m1.htm","4892043C0AEE0FE468AE7D5A2098B87792676ED7E54253636EA15C1EE2F9F53D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","1460","3.9973","194.31","10194.31","1.94","0.49","0.48","6.73","64.77","0.54","66.67","3","1","92.85","0.92","2.0927"
"14","rvtf_h2_local","5","h2","local_bars","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","16386","14","14","14","20","48","5","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_local_discovery_2019_2020_m1.htm","4892043C0AEE0FE468AE7D5A2098B87792676ED7E54253636EA15C1EE2F9F53D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","730","1.9986","132.62","10132.62","1.33","0.66","0.66","2.57","33.15","0.58","50","4","2","95.17","0.93","1.3935"
"15","rvtf_h2_local","5","h2","local_bars","reversion_timeframe_transfer_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","16386","14","14","14","20","48","5","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_local_continuous_2015_2020_m1.htm","4892043C0AEE0FE468AE7D5A2098B87792676ED7E54253636EA15C1EE2F9F53D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","2191","5.9986","326.93","10326.93","3.27","0.55","0.54","3.77","46.7","1.39","57.14","7","2","95.17","0.91","3.4352"
"16","rvtf_h2_mid","6","h2","mid_duration","reversion_timeframe_transfer_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","16386","11","11","11","15","36","4","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_mid_older_2015_2018_m1.htm","AD99EA0DFEB94B0C877184EBF67E7D8A29B5F13610D4AEFE941E8AD51D47D12E","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","1460","3.9973","-45.91","9954.09","-0.46","-0.11","-0.12","0","-45.91","-0.42","0","1","1","52.87","0.53","-0.8684"
"17","rvtf_h2_mid","6","h2","mid_duration","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","16386","11","11","11","15","36","4","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_mid_discovery_2019_2020_m1.htm","AD99EA0DFEB94B0C877184EBF67E7D8A29B5F13610D4AEFE941E8AD51D47D12E","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","730","1.9986","-1.87","9998.13","-0.02","-0.01","-0.01","0.98","-0.62","-0.01","33.33","3","1","64.2","0.64","-0.0291"
"18","rvtf_h2_mid","6","h2","mid_duration","reversion_timeframe_transfer_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","16386","11","11","11","15","36","4","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_mid_continuous_2015_2020_m1.htm","AD99EA0DFEB94B0C877184EBF67E7D8A29B5F13610D4AEFE941E8AD51D47D12E","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","2191","5.9986","-47.78","9952.22","-0.48","-0.08","-0.08","0.61","-11.95","-0.26","25","4","2","109.12","1.09","-0.4379"
"19","rvtf_h2_duration","7","h2","duration_normalized","reversion_timeframe_transfer_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","16386","7","7","7","10","24","3","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_duration_older_2015_2018_m1.htm","F084498C72E10AF70D5AEF9F9D2A742A581338D89F7557D77CD62DDD268E5B59","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","1460","3.9973","41.8","10041.8","0.42","0.1","0.1","2.17","20.9","0.29","50","2","1","71.28","0.71","0.5864"
"20","rvtf_h2_duration","7","h2","duration_normalized","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","16386","7","7","7","10","24","3","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_duration_discovery_2019_2020_m1.htm","F084498C72E10AF70D5AEF9F9D2A742A581338D89F7557D77CD62DDD268E5B59","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","730","1.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0",""
"21","rvtf_h2_duration","7","h2","duration_normalized","reversion_timeframe_transfer_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","16386","7","7","7","10","24","3","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_duration_continuous_2015_2020_m1.htm","F084498C72E10AF70D5AEF9F9D2A742A581338D89F7557D77CD62DDD268E5B59","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","2191","5.9986","41.8","10041.8","0.42","0.07","0.07","2.17","20.9","0.29","50","2","1","71.28","0.71","0.5864"
