"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"16","xmll_gap050","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\016_xmll_gap050_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\016_xmll_gap050_discovery_2018_2020_m1.ini","xmll_gap050_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_gap050_discovery_2018_2020_m1","D68812771B200043973BF88FA20CD0C8BED4CCC4C4CC8CC3F5F07499EEC8B36E","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"17","xmll_xaumax050","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\017_xmll_xaumax050_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\017_xmll_xaumax050_older_2015_2017_m1.ini","xmll_xaumax050_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_xaumax050_older_2015_2017_m1","A8CE86FE00EEB0B4846C253429C52D7B5DAAB799F285403F1F4D382CA3004E45","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"18","xmll_xaumax050","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\018_xmll_xaumax050_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\018_xmll_xaumax050_discovery_2018_2020_m1.ini","xmll_xaumax050_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_xaumax050_discovery_2018_2020_m1","A8CE86FE00EEB0B4846C253429C52D7B5DAAB799F285403F1F4D382CA3004E45","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"19","xmll_xaumax100","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\019_xmll_xaumax100_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\019_xmll_xaumax100_older_2015_2017_m1.ini","xmll_xaumax100_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_xaumax100_older_2015_2017_m1","B7718A9654EB2637E83B77AB0786B333B104BC8351BCCE9DB6D8989414964C80","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"20","xmll_xaumax100","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\020_xmll_xaumax100_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\020_xmll_xaumax100_discovery_2018_2020_m1.ini","xmll_xaumax100_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_xaumax100_discovery_2018_2020_m1","B7718A9654EB2637E83B77AB0786B333B104BC8351BCCE9DB6D8989414964C80","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"21","xmll_tol000","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\021_xmll_tol000_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\021_xmll_tol000_older_2015_2017_m1.ini","xmll_tol000_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_tol000_older_2015_2017_m1","48665D760AFAE2902D74E09F061F71910A1A2E47352997465E3A0F57012C8B8F","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"22","xmll_tol000","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\022_xmll_tol000_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\022_xmll_tol000_discovery_2018_2020_m1.ini","xmll_tol000_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_tol000_discovery_2018_2020_m1","48665D760AFAE2902D74E09F061F71910A1A2E47352997465E3A0F57012C8B8F","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"23","xmll_tol020","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\023_xmll_tol020_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\023_xmll_tol020_older_2015_2017_m1.ini","xmll_tol020_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_tol020_older_2015_2017_m1","202AD3EF914B7298CE3FE95FF977EE9589FE921775373B147FC518C1D90309AA","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"24","xmll_tol020","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\024_xmll_tol020_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\024_xmll_tol020_discovery_2018_2020_m1.ini","xmll_tol020_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_tol020_discovery_2018_2020_m1","202AD3EF914B7298CE3FE95FF977EE9589FE921775373B147FC518C1D90309AA","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"25","xmll_no_slope","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\025_xmll_no_slope_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\025_xmll_no_slope_older_2015_2017_m1.ini","xmll_no_slope_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_no_slope_older_2015_2017_m1","7F99386F63249B6241FAB30A5DF32D89ED83DAB024A01E93B85141C137E20501","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"26","xmll_no_slope","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\026_xmll_no_slope_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\026_xmll_no_slope_discovery_2018_2020_m1.ini","xmll_no_slope_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_no_slope_discovery_2018_2020_m1","7F99386F63249B6241FAB30A5DF32D89ED83DAB024A01E93B85141C137E20501","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"27","xmll_no_range","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\027_xmll_no_range_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\027_xmll_no_range_older_2015_2017_m1.ini","xmll_no_range_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_no_range_older_2015_2017_m1","F103BCCF0172A0F26B0ADD31E6BFDD96D1701B222263DC9C6C79493C8AE837A6","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"28","xmll_no_range","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\028_xmll_no_range_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\028_xmll_no_range_discovery_2018_2020_m1.ini","xmll_no_range_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_no_range_discovery_2018_2020_m1","F103BCCF0172A0F26B0ADD31E6BFDD96D1701B222263DC9C6C79493C8AE837A6","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"29","xmll_tp125","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\029_xmll_tp125_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\029_xmll_tp125_older_2015_2017_m1.ini","xmll_tp125_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_tp125_older_2015_2017_m1","060AD11551E02DA6E2C2A077782D06AFF11791ADCD03E8AA367F24C61140A808","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"30","xmll_tp125","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\030_xmll_tp125_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\030_xmll_tp125_discovery_2018_2020_m1.ini","xmll_tp125_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_tp125_discovery_2018_2020_m1","060AD11551E02DA6E2C2A077782D06AFF11791ADCD03E8AA367F24C61140A808","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"31","xmll_tp200","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\031_xmll_tp200_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\031_xmll_tp200_older_2015_2017_m1.ini","xmll_tp200_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_tp200_older_2015_2017_m1","92187CC3D0853FD1A3827263C53A23FBA3C46B02F64FB72116409E8F5D5A38CD","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"32","xmll_tp200","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\032_xmll_tp200_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\032_xmll_tp200_discovery_2018_2020_m1.ini","xmll_tp200_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_tp200_discovery_2018_2020_m1","92187CC3D0853FD1A3827263C53A23FBA3C46B02F64FB72116409E8F5D5A38CD","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
