"Variant","Status","ReportValue","BaseName","Reports","Evidence","Started","Finished"
"abs_no_ext","NO_REPORT","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\mt5_report_export_smoke\reports\mt5_report_smoke_abs_no_ext","mt5_report_smoke_abs_no_ext","","Terminal exited but no matching report file was found.","2026-07-14T15:05:44","2026-07-14T15:05:57"
"abs_htm","NO_REPORT","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\mt5_report_export_smoke\reports\mt5_report_smoke_abs_htm.htm","mt5_report_smoke_abs_htm","","Terminal exited but no matching report file was found.","2026-07-14T15:05:58","2026-07-14T15:06:10"
"plain_no_ext","REPORT_FOUND","mt5_report_smoke_plain_no_ext","mt5_report_smoke_plain_no_ext","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\mt5_report_smoke_plain_no_ext.htm","Found 1 matching report file(s).","2026-07-14T15:06:11","2026-07-14T15:06:21"
"plain_htm","REPORT_FOUND","mt5_report_smoke_plain_htm.htm","mt5_report_smoke_plain_htm","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\mt5_report_smoke_plain_htm.htm","Found 1 matching report file(s).","2026-07-14T15:06:22","2026-07-14T15:06:31"
