"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","lowatr_exit_peak_r20","phase0_yearly_model1","yearly Model1 split","2024_full","1","outputs\lowatr_peak_r20_split_package\configs\001_lowatr_exit_peak_r20_2024_full_m1.ini","outputs\lowatr_peak_r20_split_package\configs\001_lowatr_exit_peak_r20_2024_full_m1.ini","lowatr_peak_r20_split_2024_full_m1","outputs\lowatr_peak_r20_split_package\reports_here\lowatr_peak_r20_split_2024_full_m1","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if any yearly split is red, too sparse, or has weak recovery."
"2","lowatr_exit_peak_r20","phase0_yearly_model1","yearly Model1 split","2025_full","1","outputs\lowatr_peak_r20_split_package\configs\002_lowatr_exit_peak_r20_2025_full_m1.ini","outputs\lowatr_peak_r20_split_package\configs\002_lowatr_exit_peak_r20_2025_full_m1.ini","lowatr_peak_r20_split_2025_full_m1","outputs\lowatr_peak_r20_split_package\reports_here\lowatr_peak_r20_split_2025_full_m1","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if any yearly split is red, too sparse, or has weak recovery."
"3","lowatr_exit_peak_r20","phase0_yearly_model1","yearly Model1 split","2026_ytd","1","outputs\lowatr_peak_r20_split_package\configs\003_lowatr_exit_peak_r20_2026_ytd_m1.ini","outputs\lowatr_peak_r20_split_package\configs\003_lowatr_exit_peak_r20_2026_ytd_m1.ini","lowatr_peak_r20_split_2026_ytd_m1","outputs\lowatr_peak_r20_split_package\reports_here\lowatr_peak_r20_split_2026_ytd_m1","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if any yearly split is red, too sparse, or has weak recovery."
