"QueueRank","Candidate","Role","Window","From","To","Model","PartialRunnerEnabled","ClosePercent","TriggerR","TargetR","StopLockR","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","mopr_control","control","older_2015_2018","2015.01.01","2018.12.31","1","false","60","2","4","1.25","2FBD7B64CA49AA9EABB4DB35E7FDF8EEB454F38D0E5F5EB1605ACB2BC201E68B","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","1036.19","10.36","2.5","1.96","184","45.65","1.11","8.8405","9.3333","5.45","6","1174CE27C3E303346A8AEC1F93213ACBEE07EFA4E7B0BD233A9BEF1023C0386A"
"2","mopr_control","control","middle_2019_2020","2019.01.01","2020.12.31","1","false","60","2","4","1.25","2FBD7B64CA49AA9EABB4DB35E7FDF8EEB454F38D0E5F5EB1605ACB2BC201E68B","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","370.6","3.71","1.84","1.94","74","47.3","0.93","3.9155","3.9892","5.64","6","7753E6B61D237216AA9CE53686ACA6AC07A4BB053ACE9247DB334567F5EC9D17"
"3","mopr_control","control","continuous_2015_2020","2015.01.01","2020.12.31","1","false","60","2","4","1.25","2FBD7B64CA49AA9EABB4DB35E7FDF8EEB454F38D0E5F5EB1605ACB2BC201E68B","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","1379.93","13.8","2.18","1.88","261","45.98","1.05","11.6775","13.1429","5.15","6","173252165A9E3A94A907909F16034E89F1838070A00D7F8FCDA6DBDEDE088D91"
"4","mopr_center","center","older_2015_2018","2015.01.01","2018.12.31","1","true","60","2","4","1.25","19E0F758B3FC7767FD55FD7306D90E67375FB2E0AA7F0BB457E4BB6739D1CED2","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","990.43","9.9","2.39","1.93","222","55.41","1.11","8.45","8.9189","5","6","4FE20EDFF09D7AD9B2C8F692B524DBA07B1C0462BC7B200C6CD81C32E75E6C7C"
"5","mopr_center","center","middle_2019_2020","2019.01.01","2020.12.31","1","true","60","2","4","1.25","19E0F758B3FC7767FD55FD7306D90E67375FB2E0AA7F0BB457E4BB6739D1CED2","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","421.64","4.22","2.09","2.07","87","55.17","0.99","4.19","4.2626","5.92","6","3D14AC9C2A2DDD37D32A6C574E01FD4C4E9BBB6F6BF8D521B0F4653443160F24"
"6","mopr_center","center","continuous_2015_2020","2015.01.01","2020.12.31","1","true","60","2","4","1.25","19E0F758B3FC7767FD55FD7306D90E67375FB2E0AA7F0BB457E4BB6739D1CED2","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","1373.21","13.73","2.17","1.89","313","55.27","1.11","11.0609","12.3694","4.88","6","527861ECA1AF33A2490F7007DC3385BA3D814FD9237670C548D04CD17CFD0774"
"7","mopr_close50","close_neighbor_low","older_2015_2018","2015.01.01","2018.12.31","1","true","50","2","4","1.25","79ECBBC30E7728ED48C966B8A952E6087714B8CFE5A806475C0AFBBCE2ADA117","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","988.15","9.88","2.39","1.93","222","55.41","1.11","8.4306","8.9009","4.99","6","EC77B5C6BA7BCCA41F414121A8B9DDC5AE95A33A1A562A6CCC9141498D2A1659"
"8","mopr_close50","close_neighbor_low","middle_2019_2020","2019.01.01","2020.12.31","1","true","50","2","4","1.25","79ECBBC30E7728ED48C966B8A952E6087714B8CFE5A806475C0AFBBCE2ADA117","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","419.57","4.2","2.08","2.06","87","55.17","0.99","4.1694","4.2424","5.88","6","CAE984CD199A4A078F5E901A77AC7E8B24D73A07D4BF7A66D57812B604182EB8"
"9","mopr_close50","close_neighbor_low","continuous_2015_2020","2015.01.01","2020.12.31","1","true","50","2","4","1.25","79ECBBC30E7728ED48C966B8A952E6087714B8CFE5A806475C0AFBBCE2ADA117","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","1369.24","13.69","2.16","1.88","313","55.27","1.11","11.0289","12.3333","4.86","6","22EEA4CBAEEDA98148CF790CC0F063455E856D4C90A6ECAB771FF491265AA959"
"10","mopr_close70","close_neighbor_high","older_2015_2018","2015.01.01","2018.12.31","1","true","70","2","4","1.25","C378766CB2E75B7CC4C7A08AADB96A3A6C4AE8A6A593F01CEAEF80993AC84E71","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","1029.93","10.3","2.48","1.97","222","55.41","1.11","8.787","9.2793","5.24","6","B96E397D182EE375A5CD66093705503F16D8EAEFA1F80C4FB07AAACB3D4D2FD7"
