"QueueRank","Candidate","Phase","PhaseLabel","Window","Role","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","re_may140","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2019_full","red_year","4","outputs\range_elite_dgf_liq_signal_model4_package\configs\001_re_may140_2019_full_m4.ini","outputs\range_elite_dgf_liq_signal_model4_package\configs\001_re_may140_2019_full_m4.ini","re_risk_re_may140_2019_m4","outputs\range_elite_dgf_liq_signal_model4_package\reports_here\re_risk_re_may140_2019_m4","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"2","re_may140","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2021_full","red_year","4","outputs\range_elite_dgf_liq_signal_model4_package\configs\002_re_may140_2021_full_m4.ini","outputs\range_elite_dgf_liq_signal_model4_package\configs\002_re_may140_2021_full_m4.ini","re_risk_re_may140_2021_m4","outputs\range_elite_dgf_liq_signal_model4_package\reports_here\re_risk_re_may140_2021_m4","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"3","re_may140","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2023_full","red_year","4","outputs\range_elite_dgf_liq_signal_model4_package\configs\003_re_may140_2023_full_m4.ini","outputs\range_elite_dgf_liq_signal_model4_package\configs\003_re_may140_2023_full_m4.ini","re_risk_re_may140_2023_m4","outputs\range_elite_dgf_liq_signal_model4_package\reports_here\re_risk_re_may140_2023_m4","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"4","re_may140","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2024_full","profit_control","4","outputs\range_elite_dgf_liq_signal_model4_package\configs\004_re_may140_2024_full_m4.ini","outputs\range_elite_dgf_liq_signal_model4_package\configs\004_re_may140_2024_full_m4.ini","re_risk_re_may140_2024_m4","outputs\range_elite_dgf_liq_signal_model4_package\reports_here\re_risk_re_may140_2024_m4","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"5","re_may140","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2025_full","profit_control","4","outputs\range_elite_dgf_liq_signal_model4_package\configs\005_re_may140_2025_full_m4.ini","outputs\range_elite_dgf_liq_signal_model4_package\configs\005_re_may140_2025_full_m4.ini","re_risk_re_may140_2025_m4","outputs\range_elite_dgf_liq_signal_model4_package\reports_here\re_risk_re_may140_2025_m4","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"6","re_may140","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2026_ytd","high_dd_recent","4","outputs\range_elite_dgf_liq_signal_model4_package\configs\006_re_may140_2026_ytd_m4.ini","outputs\range_elite_dgf_liq_signal_model4_package\configs\006_re_may140_2026_ytd_m4.ini","re_risk_re_may140_2026ytd_m4","outputs\range_elite_dgf_liq_signal_model4_package\reports_here\re_risk_re_may140_2026ytd_m4","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"7","re_dgf_liq_reject1","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2019_full","red_year","4","outputs\range_elite_dgf_liq_signal_model4_package\configs\007_re_dgf_liq_reject1_2019_full_m4.ini","outputs\range_elite_dgf_liq_signal_model4_package\configs\007_re_dgf_liq_reject1_2019_full_m4.ini","re_risk_re_dgf_liq_reject1_2019_m4","outputs\range_elite_dgf_liq_signal_model4_package\reports_here\re_risk_re_dgf_liq_reject1_2019_m4","718D5FD6207F4295F135C288332EE1924B90D2C5C18895E445753B772448B3F0","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"8","re_dgf_liq_reject1","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2021_full","red_year","4","outputs\range_elite_dgf_liq_signal_model4_package\configs\008_re_dgf_liq_reject1_2021_full_m4.ini","outputs\range_elite_dgf_liq_signal_model4_package\configs\008_re_dgf_liq_reject1_2021_full_m4.ini","re_risk_re_dgf_liq_reject1_2021_m4","outputs\range_elite_dgf_liq_signal_model4_package\reports_here\re_risk_re_dgf_liq_reject1_2021_m4","718D5FD6207F4295F135C288332EE1924B90D2C5C18895E445753B772448B3F0","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"9","re_dgf_liq_reject1","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2023_full","red_year","4","outputs\range_elite_dgf_liq_signal_model4_package\configs\009_re_dgf_liq_reject1_2023_full_m4.ini","outputs\range_elite_dgf_liq_signal_model4_package\configs\009_re_dgf_liq_reject1_2023_full_m4.ini","re_risk_re_dgf_liq_reject1_2023_m4","outputs\range_elite_dgf_liq_signal_model4_package\reports_here\re_risk_re_dgf_liq_reject1_2023_m4","718D5FD6207F4295F135C288332EE1924B90D2C5C18895E445753B772448B3F0","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"10","re_dgf_liq_reject1","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2024_full","profit_control","4","outputs\range_elite_dgf_liq_signal_model4_package\configs\010_re_dgf_liq_reject1_2024_full_m4.ini","outputs\range_elite_dgf_liq_signal_model4_package\configs\010_re_dgf_liq_reject1_2024_full_m4.ini","re_risk_re_dgf_liq_reject1_2024_m4","outputs\range_elite_dgf_liq_signal_model4_package\reports_here\re_risk_re_dgf_liq_reject1_2024_m4","718D5FD6207F4295F135C288332EE1924B90D2C5C18895E445753B772448B3F0","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
