"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit","Balance","TesterNetProfit","TesterBalance","ProfitFactor","RecoveryFactor","SharpeRatio","EquityDrawdownPct","Trades","LogTimestamp","TesterStatsTimestamp","RunnerStatus","Evidence"
"1","","dec_islp_off","full","full","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","1195.04","2195.04","1195.04","2195.04","4.0138","1.3794","29.7361","28.2997","10","2026-07-12T21:09:20","2026-07-12T21:09:20","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_continuous_check_dec_islp_off_continuous_2024_2026."
"2","","dec_islp_off","train","train","2024_full","2024.01.01","2024.12.31","PARSED_FROM_LOG","1340.55","2340.55","1340.55","2340.55","6.8793","1.8597","25.9405","23.5467","8","2026-07-12T21:09:48","2026-07-12T21:09:48","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_continuous_check_dec_islp_off_2024_full."
"3","","dec_islp_off","oos","oos","2025_full","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","214.30","1214.30","4.9648","1.2977","2.9236","11.9715","3","2026-07-12T21:10:15","2026-07-12T21:10:15","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_continuous_check_dec_islp_off_2025_full."
"4","","dec_islp_off","recent","recent","2026_ytd","2026.01.01","2026.07.12","PARSED_FROM_LOG","955.21","1955.21","955.21","1955.21","2.1682","1.2502","5.5869","28.0977","11","2026-07-12T21:11:06","2026-07-12T21:11:06","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_continuous_check_dec_islp_off_2026_ytd."
"5","","islp_lowatr_of","full","full","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","1195.69","2195.69","1195.69","2195.69","4.0204","1.3812","29.4259","28.2785","10","2026-07-12T21:12:31","2026-07-12T21:12:31","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_continuous_check_islp_lowatr_of_continuous_2024_2026."
"6","","islp_lowatr_of","train","train","2024_full","2024.01.01","2024.12.31","PARSED_FROM_LOG","1353.53","2353.53","1353.53","2353.53","7.2946","1.9121","25.7435","23.1227","8","2026-07-12T21:13:00","2026-07-12T21:13:00","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_continuous_check_islp_lowatr_of_2024_full."
"7","","islp_lowatr_of","oos","oos","2025_full","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","214.30","1214.30","4.9648","1.2977","2.9236","11.9715","3","2026-07-12T21:13:26","2026-07-12T21:13:26","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_continuous_check_islp_lowatr_of_2025_full."
"8","","islp_lowatr_of","recent","recent","2026_ytd","2026.01.01","2026.07.12","PARSED_FROM_LOG","955.21","1955.21","955.21","1955.21","2.1682","1.2502","5.5869","28.0977","11","2026-07-12T21:14:18","2026-07-12T21:14:18","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_continuous_check_islp_lowatr_of_2026_ytd."
