"QueueRank","Candidate","Role","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","AnnualContractSha256","NetProfit","TotalReturnPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","sslc_control","exact_control","year_2015","2015.01.01","2015.12.31","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","170.78","1.71","2.06","26","53.85","0.87","1.9471","18.4","2","5A88EB201AAA2F9411D2AC9672AB696A9EED26DEFD6FE25BD9829E4014C8A671"
"2","sslc_control","exact_control","year_2016","2016.01.01","2016.12.31","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","256.58","2.57","2.19","42","45.24","0.52","4.8872","22.73","5","2064AFA45BC543CF58316A20349B03F4B38D16699829CEDECF5BF3D70F34AD14"
"3","sslc_control","exact_control","year_2017","2017.01.01","2017.12.31","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","111.65","1.12","1.29","55","38.18","1.08","1.0209","11.68","6","C0969B5C5A143880F5D850A6EAEB7A49D00E53B15B1BB5FE9524708B73D526F2"
"4","sslc_control","exact_control","year_2018","2018.01.01","2018.12.31","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","281.65","2.82","1.96","63","47.62","0.51","5.374","22.5","5","5B9EB7240F72033D39682F0B29315F684D34BCA531004048413275C7C767AB34"
"5","sslc_control","exact_control","year_2019","2019.01.01","2019.12.31","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","13.01","0.13","1.07","36","38.89","1.08","0.1195","0.51","6","D56D0C3AAB20F2C78C404A1CF24B5F091639579AE828FEA824AFB93967CE8497"
"6","sslc_control","exact_control","year_2020","2020.01.01","2020.12.31","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","194.64","1.95","1.99","29","48.28","0.65","2.9349","8.14","3","0C2F1AF349DB08A2DC18D7D0E44E11EA1F329EF9429E7F3A6AC06DD04BDF10FD"
"7","sslc_control","exact_control","year_2021","2021.01.01","2021.12.31","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","313.13","3.13","2.36","30","30","1.16","2.7048","39.41","8","BF15282A89A4C7B489268F4764026B7B1CBE0192840105880A000CA455F9187F"
"8","sslc_control","exact_control","year_2022","2022.01.01","2022.12.31","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","16.22","0.16","1.07","36","41.67","0.96","0.1696","2.99","4","131FA948AEF94A2C072FCF83277FD02CD6675CE90743CA878A4F92CB32D4323D"
"9","sslc_control","exact_control","year_2023","2023.01.01","2023.12.31","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","181.54","1.82","1.75","41","46.34","1.24","1.443","16.47","6","46607798A8C995E84541E6E633B5B98ED5693264EF768844A0DD9834AAE007BC"
"10","sslc_control","exact_control","year_2024","2024.01.01","2024.12.31","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","233.81","2.34","2.44","29","48.28","1.08","2.1547","21.39","4","83472C07DAF80E96A3D96E7C92A000862132CBB72B7AC351338AB8F2B2905CB7"
