"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","tltri_center","discovery_model1","Independent M15 TLT rates-impulse discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\001_tltri_center_older_2015_2018_m1.ini","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\001_tltri_center_older_2015_2018_m1.ini","tltri_center_older_2015_2018_m1","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\reports_here\tltri_center_older_2015_2018_m1","7905C7F8EFA5DCB099CFCD1A29154F6D4D0866F3B8882DB8B55A91CE66DF4665","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"2","tltri_center","discovery_model1","Independent M15 TLT rates-impulse discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\002_tltri_center_discovery_2019_2020_m1.ini","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\002_tltri_center_discovery_2019_2020_m1.ini","tltri_center_discovery_2019_2020_m1","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\reports_here\tltri_center_discovery_2019_2020_m1","7905C7F8EFA5DCB099CFCD1A29154F6D4D0866F3B8882DB8B55A91CE66DF4665","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"3","tltri_center","discovery_model1","Independent M15 TLT rates-impulse discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\003_tltri_center_continuous_2015_2020_m1.ini","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\003_tltri_center_continuous_2015_2020_m1.ini","tltri_center_continuous_2015_2020_m1","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\reports_here\tltri_center_continuous_2015_2020_m1","7905C7F8EFA5DCB099CFCD1A29154F6D4D0866F3B8882DB8B55A91CE66DF4665","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"4","tltri_move10","discovery_model1","Independent M15 TLT rates-impulse discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\004_tltri_move10_older_2015_2018_m1.ini","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\004_tltri_move10_older_2015_2018_m1.ini","tltri_move10_older_2015_2018_m1","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\reports_here\tltri_move10_older_2015_2018_m1","6864A7620E85A0F293802C4B428E0C2F7BBF9E93D2BDE8C7192DBBD972BD427B","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"5","tltri_move10","discovery_model1","Independent M15 TLT rates-impulse discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\005_tltri_move10_discovery_2019_2020_m1.ini","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\005_tltri_move10_discovery_2019_2020_m1.ini","tltri_move10_discovery_2019_2020_m1","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\reports_here\tltri_move10_discovery_2019_2020_m1","6864A7620E85A0F293802C4B428E0C2F7BBF9E93D2BDE8C7192DBBD972BD427B","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"6","tltri_move10","discovery_model1","Independent M15 TLT rates-impulse discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\006_tltri_move10_continuous_2015_2020_m1.ini","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\006_tltri_move10_continuous_2015_2020_m1.ini","tltri_move10_continuous_2015_2020_m1","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\reports_here\tltri_move10_continuous_2015_2020_m1","6864A7620E85A0F293802C4B428E0C2F7BBF9E93D2BDE8C7192DBBD972BD427B","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"7","tltri_move30","discovery_model1","Independent M15 TLT rates-impulse discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\007_tltri_move30_older_2015_2018_m1.ini","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\007_tltri_move30_older_2015_2018_m1.ini","tltri_move30_older_2015_2018_m1","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\reports_here\tltri_move30_older_2015_2018_m1","3F673AC9BBF60DB1657B23D248577B58CF4A21C3AA08FCB47B03255465BF02C4","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"8","tltri_move30","discovery_model1","Independent M15 TLT rates-impulse discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\008_tltri_move30_discovery_2019_2020_m1.ini","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\008_tltri_move30_discovery_2019_2020_m1.ini","tltri_move30_discovery_2019_2020_m1","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\reports_here\tltri_move30_discovery_2019_2020_m1","3F673AC9BBF60DB1657B23D248577B58CF4A21C3AA08FCB47B03255465BF02C4","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"9","tltri_move30","discovery_model1","Independent M15 TLT rates-impulse discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\009_tltri_move30_continuous_2015_2020_m1.ini","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\009_tltri_move30_continuous_2015_2020_m1.ini","tltri_move30_continuous_2015_2020_m1","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\reports_here\tltri_move30_continuous_2015_2020_m1","3F673AC9BBF60DB1657B23D248577B58CF4A21C3AA08FCB47B03255465BF02C4","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"10","tltri_ref2","discovery_model1","Independent M15 TLT rates-impulse discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\010_tltri_ref2_older_2015_2018_m1.ini","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\configs\010_tltri_ref2_older_2015_2018_m1.ini","tltri_ref2_older_2015_2018_m1","outputs\independent_m15_tlt_rates_impulse_discovery_model1_package\reports_here\tltri_ref2_older_2015_2018_m1","1D89AA966969BCAC643CC22D6FE36C5A6E0DE10AA107A3429392BCF233BCC89C","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
