"Profile","Parsed","Expected","StatsParsed","ActiveWindows","ZeroTradeWindows","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows","TotalTrades","WorstEquityDrawdownPct","MinProfitFactor","AvgProfitFactor","ProfitFactorNonZeroSamples","MinNonZeroProfitFactor","AvgNonZeroProfitFactor","MinRecoveryFactor","AvgSharpeRatio"
"islp_lowatr_of","4","4","4","4","0","3718.73","1195.69","955.21","214.3","1353.53","","214.3","0","32","28.2785","2.1682","4.612","4","2.1682","4.612","1.2502","15.92"
"dec_islp_off","4","4","4","4","0","3705.1","1195.04","955.21","214.3","1340.55","","214.3","0","32","28.2997","2.1682","4.5065","4","2.1682","4.5065","1.2502","16.0468"
