"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"11","re_may140_late15_dgf_liq_reject1_cush50","11","range_elite_risk_shape_probe","11","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush50.set","2025_full","2025.01.01","2025.12.31","4","configs\011_re_may140_late15_dgf_liq_reject1_cush50_2025_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2025_m4","profiles\re_may140_late15_dgf_liq_reject1_cush50.set","1087439C4B251BDE8C14C074FA730E032A3DE786114ED6BEABF2A9FF6B59FA3C","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2025_m4.htm","1000","364","0.9966","23.39","1023.39","2.34","2.35","2.35","1.4","2.92","0.92","50","8","3","102.19","9.58","50.83","102.19","0.23","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"12","re_may140_late15_dgf_liq_reject1_cush50","12","range_elite_risk_shape_probe","12","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush50.set","2026_ytd","2026.01.01","2026.07.12","4","configs\012_re_may140_late15_dgf_liq_reject1_cush50_2026_ytd_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2026ytd_m4","profiles\re_may140_late15_dgf_liq_reject1_cush50.set","1087439C4B251BDE8C14C074FA730E032A3DE786114ED6BEABF2A9FF6B59FA3C","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2026ytd_m4.htm","1000","192","0.5257","357.54","1357.54","35.75","68.02","78.87","4.8","51.08","2.08","71.43","7","1","254.5","15.79","82","254.5","1.4","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"13","re_may140_late15_dgf_liq_reject1_cush35","13","range_elite_risk_shape_probe","13","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush35.set","2019_full","2019.01.01","2019.12.31","4","configs\013_re_may140_late15_dgf_liq_reject1_cush35_2019_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_2019_m4","profiles\re_may140_late15_dgf_liq_reject1_cush35.set","7FEAC316EDC328EA691AC76940431814473470FA0727B7EF78E3A7DA60774670","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_2019_m4.htm","1000","364","0.9966","-39.13","960.87","-3.91","-3.93","-3.93","0.32","-4.35","-4.21","11.11","9","6","39.15","3.91","39.13","39.15","-1","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"14","re_may140_late15_dgf_liq_reject1_cush35","14","range_elite_risk_shape_probe","14","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush35.set","2021_full","2021.01.01","2021.12.31","4","configs\014_re_may140_late15_dgf_liq_reject1_cush35_2021_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_2021_m4","profiles\re_may140_late15_dgf_liq_reject1_cush35.set","7FEAC316EDC328EA691AC76940431814473470FA0727B7EF78E3A7DA60774670","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_2021_m4.htm","1000","364","0.9966","21.98","1021.98","2.2","2.21","2.21","2.09","10.99","0.24","50","2","1","162.93","13.75","20.25","162.93","0.13","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"15","re_may140_late15_dgf_liq_reject1_cush35","15","range_elite_risk_shape_probe","15","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush35.set","2023_full","2023.01.01","2023.12.31","4","configs\015_re_may140_late15_dgf_liq_reject1_cush35_2023_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_2023_m4","profiles\re_may140_late15_dgf_liq_reject1_cush35.set","7FEAC316EDC328EA691AC76940431814473470FA0727B7EF78E3A7DA60774670","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_2023_m4.htm","1000","364","0.9966","271.62","1271.62","27.16","27.26","27.27","3.47","33.95","7.56","50","8","2","333.21","20.76","105.24","333.21","0.82","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"16","re_may140_late15_dgf_liq_reject1_cush35","16","range_elite_risk_shape_probe","16","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush35.set","2024_full","2024.01.01","2024.12.31","4","configs\016_re_may140_late15_dgf_liq_reject1_cush35_2024_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_2024_m4","profiles\re_may140_late15_dgf_liq_reject1_cush35.set","7FEAC316EDC328EA691AC76940431814473470FA0727B7EF78E3A7DA60774670","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_2024_m4.htm","1000","365","0.9993","2009.01","3009.01","200.9","201.04","201.13","5.4","287","29.01","85.71","7","1","513.75","14.58","456.25","513.75","3.91","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"17","re_may140_late15_dgf_liq_reject1_cush35","17","range_elite_risk_shape_probe","17","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush35.set","2025_full","2025.01.01","2025.12.31","4","configs\017_re_may140_late15_dgf_liq_reject1_cush35_2025_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_2025_m4","profiles\re_may140_late15_dgf_liq_reject1_cush35.set","7FEAC316EDC328EA691AC76940431814473470FA0727B7EF78E3A7DA60774670","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_2025_m4.htm","1000","364","0.9966","13.29","1013.29","1.33","1.33","1.33","1.11","0.74","1.62","50","18","4","90.7","8.64","51.3","90.7","0.15","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"18","re_may140_late15_dgf_liq_reject1_cush35","18","range_elite_risk_shape_probe","18","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush35.set","2026_ytd","2026.01.01","2026.07.12","4","configs\018_re_may140_late15_dgf_liq_reject1_cush35_2026_ytd_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_2026ytd_m4","profiles\re_may140_late15_dgf_liq_reject1_cush35.set","7FEAC316EDC328EA691AC76940431814473470FA0727B7EF78E3A7DA60774670","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_2026ytd_m4.htm","1000","192","0.5257","17.34","1017.34","1.73","3.3","3.32","1.42","2.89","0.41","66.67","6","1","64.11","5.93","37.59","64.11","0.27","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"19","re_may140_late15_dgf_liq_reject1_cush25","19","range_elite_risk_shape_probe","19","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush25.set","2019_full","2019.01.01","2019.12.31","4","configs\019_re_may140_late15_dgf_liq_reject1_cush25_2019_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush25_2019_m4","profiles\re_may140_late15_dgf_liq_reject1_cush25.set","EABA2B08684655D6631939DA92BCA4611EC2C9DCEABE162C5E3FEAF6FB1767AB","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush25_2019_m4.htm","1000","364","0.9966","-55.38","944.62","-5.54","-5.56","-5.56","0.18","-6.15","-3.96","11.11","9","7","62.2","6.18","55.38","62.2","-0.89","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"20","re_may140_late15_dgf_liq_reject1_cush25","20","range_elite_risk_shape_probe","20","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush25.set","2021_full","2021.01.01","2021.12.31","4","configs\020_re_may140_late15_dgf_liq_reject1_cush25_2021_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush25_2021_m4","profiles\re_may140_late15_dgf_liq_reject1_cush25.set","EABA2B08684655D6631939DA92BCA4611EC2C9DCEABE162C5E3FEAF6FB1767AB","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush25_2021_m4.htm","1000","364","0.9966","28.73","1028.73","2.87","2.88","2.88","3.13","14.36","0.32","50","2","1","156.18","13.18","13.5","156.18","0.18","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"21","re_may140_late15_dgf_liq_reject1_cush25","21","range_elite_risk_shape_probe","21","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush25.set","2023_full","2023.01.01","2023.12.31","4","configs\021_re_may140_late15_dgf_liq_reject1_cush25_2023_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush25_2023_m4","profiles\re_may140_late15_dgf_liq_reject1_cush25.set","EABA2B08684655D6631939DA92BCA4611EC2C9DCEABE162C5E3FEAF6FB1767AB","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush25_2023_m4.htm","1000","364","0.9966","244.62","1244.62","24.46","24.55","24.56","3.31","30.58","7.08","50","8","2","326.1","20.76","102.6","326.1","0.75","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"22","re_may140_late15_dgf_liq_reject1_cush25","22","range_elite_risk_shape_probe","22","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush25.set","2024_full","2024.01.01","2024.12.31","4","configs\022_re_may140_late15_dgf_liq_reject1_cush25_2024_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush25_2024_m4","profiles\re_may140_late15_dgf_liq_reject1_cush25.set","EABA2B08684655D6631939DA92BCA4611EC2C9DCEABE162C5E3FEAF6FB1767AB","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush25_2024_m4.htm","1000","365","0.9993","1977.08","2977.08","197.71","197.84","197.93","5.4","282.44","28.74","85.71","7","1","505.53","14.52","448.95","505.53","3.91","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"23","re_may140_late15_dgf_liq_reject1_cush25","23","range_elite_risk_shape_probe","23","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush25.set","2025_full","2025.01.01","2025.12.31","4","configs\023_re_may140_late15_dgf_liq_reject1_cush25_2025_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush25_2025_m4","profiles\re_may140_late15_dgf_liq_reject1_cush25.set","EABA2B08684655D6631939DA92BCA4611EC2C9DCEABE162C5E3FEAF6FB1767AB","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush25_2025_m4.htm","1000","364","0.9966","-19.64","980.36","-1.96","-1.97","-1.97","0.83","-0.98","-4.18","30","20","6","75.51","7.15","40.42","75.51","-0.26","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"24","re_may140_late15_dgf_liq_reject1_cush25","24","range_elite_risk_shape_probe","24","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush25.set","2026_ytd","2026.01.01","2026.07.12","4","configs\024_re_may140_late15_dgf_liq_reject1_cush25_2026_ytd_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush25_2026ytd_m4","profiles\re_may140_late15_dgf_liq_reject1_cush25.set","EABA2B08684655D6631939DA92BCA4611EC2C9DCEABE162C5E3FEAF6FB1767AB","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush25_2026ytd_m4.htm","1000","192","0.5257","21.36","1021.36","2.14","4.06","4.1","1.57","4.27","0.5","80","5","1","64.11","5.91","37.59","64.11","0.33","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
