"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BaseProfileSha256","SignalTimeframe","RVConfirmationEnabled","RVRequirePriorCloseOutside","RVRequireProgress","MOConfirmationEnabled","MORequireProgress","StopRule"
"1","tbc_fixed_control","1","two_bar_confirmation_portfolio","1","discovery_model1","tbc_fixed_control.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_tbc_fixed_control_older_2015_2018_m1.ini","tbc_fixed_control_older_2015_2018_m1","profiles\tbc_fixed_control.set","97E621A72FD8BEB86C22FE601ABA83029686942FB5DD0141E49A79D0380ADBB0","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","false","false","false","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass."
"2","tbc_fixed_control","1","two_bar_confirmation_portfolio","1","discovery_model1","tbc_fixed_control.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_tbc_fixed_control_discovery_2019_2020_m1.ini","tbc_fixed_control_discovery_2019_2020_m1","profiles\tbc_fixed_control.set","97E621A72FD8BEB86C22FE601ABA83029686942FB5DD0141E49A79D0380ADBB0","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","false","false","false","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass."
"3","tbc_fixed_control","1","two_bar_confirmation_portfolio","1","discovery_model1","tbc_fixed_control.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_tbc_fixed_control_continuous_2015_2020_m1.ini","tbc_fixed_control_continuous_2015_2020_m1","profiles\tbc_fixed_control.set","97E621A72FD8BEB86C22FE601ABA83029686942FB5DD0141E49A79D0380ADBB0","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","false","false","false","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass."
"4","tbc_rv_wick","2","two_bar_confirmation_portfolio","1","discovery_model1","tbc_rv_wick.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_tbc_rv_wick_older_2015_2018_m1.ini","tbc_rv_wick_older_2015_2018_m1","profiles\tbc_rv_wick.set","1674464F84E8D15AD2832DC187E7DA3ACC8668F98CDBD6E39A96C40064095B90","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","false","true","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass."
"5","tbc_rv_wick","2","two_bar_confirmation_portfolio","1","discovery_model1","tbc_rv_wick.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_tbc_rv_wick_discovery_2019_2020_m1.ini","tbc_rv_wick_discovery_2019_2020_m1","profiles\tbc_rv_wick.set","1674464F84E8D15AD2832DC187E7DA3ACC8668F98CDBD6E39A96C40064095B90","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","false","true","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass."
"6","tbc_rv_wick","2","two_bar_confirmation_portfolio","1","discovery_model1","tbc_rv_wick.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_tbc_rv_wick_continuous_2015_2020_m1.ini","tbc_rv_wick_continuous_2015_2020_m1","profiles\tbc_rv_wick.set","1674464F84E8D15AD2832DC187E7DA3ACC8668F98CDBD6E39A96C40064095B90","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","false","true","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass."
"7","tbc_rv_close","3","two_bar_confirmation_portfolio","1","discovery_model1","tbc_rv_close.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_tbc_rv_close_older_2015_2018_m1.ini","tbc_rv_close_older_2015_2018_m1","profiles\tbc_rv_close.set","066E3FE8EF0A08DCBAD3CF8B252FD55EDA90DC4EA94EE27C05A9A75062096C07","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","true","true","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass."
"8","tbc_rv_close","3","two_bar_confirmation_portfolio","1","discovery_model1","tbc_rv_close.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_tbc_rv_close_discovery_2019_2020_m1.ini","tbc_rv_close_discovery_2019_2020_m1","profiles\tbc_rv_close.set","066E3FE8EF0A08DCBAD3CF8B252FD55EDA90DC4EA94EE27C05A9A75062096C07","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","true","true","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass."
"9","tbc_rv_close","3","two_bar_confirmation_portfolio","1","discovery_model1","tbc_rv_close.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_tbc_rv_close_continuous_2015_2020_m1.ini","tbc_rv_close_continuous_2015_2020_m1","profiles\tbc_rv_close.set","066E3FE8EF0A08DCBAD3CF8B252FD55EDA90DC4EA94EE27C05A9A75062096C07","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","true","true","false","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass."
"10","tbc_mo_hold","4","two_bar_confirmation_portfolio","1","discovery_model1","tbc_mo_hold.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_tbc_mo_hold_older_2015_2018_m1.ini","tbc_mo_hold_older_2015_2018_m1","profiles\tbc_mo_hold.set","19F88E1FB6EFC526910495AA7061C7A0EDCDF917F9F6C053D0F44A0FD2F03A05","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","false","false","false","true","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass."
