"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","peak_r20_base","phase0_fast_model1","R20 opportunity sweep","continuous_2024_2026","1","outputs\lowatr_r20_opportunity_sweep_package\configs\001_peak_r20_base_continuous_2024_2026_m1.ini","outputs\lowatr_r20_opportunity_sweep_package\configs\001_peak_r20_base_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_base_continuous_2024_2026_m1","outputs\lowatr_r20_opportunity_sweep_package\reports_here\lowatr_r20_opp_peak_r20_base_continuous_2024_2026_m1","E575CAFB907B94F826816F1C40EDDC62D8F6C25770BAA0B86D1C08B5F14DF00E","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk."
"2","peak_r20_diag_2025","phase0_fast_model1","R20 opportunity sweep","diagnostic_2025","1","outputs\lowatr_r20_opportunity_sweep_package\configs\002_peak_r20_diag_2025_diagnostic_2025_m1.ini","outputs\lowatr_r20_opportunity_sweep_package\configs\002_peak_r20_diag_2025_diagnostic_2025_m1.ini","lowatr_r20_opp_peak_r20_diag_2025_diagnostic_2025_m1","outputs\lowatr_r20_opportunity_sweep_package\reports_here\lowatr_r20_opp_peak_r20_diag_2025_diagnostic_2025_m1","7EA3254DDB3A852F9B4100B9C2CF8AD8DBEBE1FE0649A37AA28CE6B5C59D3E71","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk."
"3","peak_r20_may_full","phase0_fast_model1","R20 opportunity sweep","continuous_2024_2026","1","outputs\lowatr_r20_opportunity_sweep_package\configs\003_peak_r20_may_full_continuous_2024_2026_m1.ini","outputs\lowatr_r20_opportunity_sweep_package\configs\003_peak_r20_may_full_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_may_full_continuous_2024_2026_m1","outputs\lowatr_r20_opportunity_sweep_package\reports_here\lowatr_r20_opp_peak_r20_may_full_continuous_2024_2026_m1","ABC3C358A3BC6CD58462E756084F84884DA9ED9995D39A7220D60C02D03FE473","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk."
"4","peak_r20_may_full_spread22","phase0_fast_model1","R20 opportunity sweep","continuous_2024_2026","1","outputs\lowatr_r20_opportunity_sweep_package\configs\004_peak_r20_may_full_spread22_continuous_2024_2026_m1.ini","outputs\lowatr_r20_opportunity_sweep_package\configs\004_peak_r20_may_full_spread22_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_may_full_spread22_continuous_2024_2026_m1","outputs\lowatr_r20_opportunity_sweep_package\reports_here\lowatr_r20_opp_peak_r20_may_full_spread22_continuous_2024_2026_m1","523C881901F8C0EB9575F1AD51D2CC5BB951FE7BE947D17CB48EC7247EF82BD6","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk."
"5","peak_r20_aug_risk60","phase0_fast_model1","R20 opportunity sweep","continuous_2024_2026","1","outputs\lowatr_r20_opportunity_sweep_package\configs\005_peak_r20_aug_risk60_continuous_2024_2026_m1.ini","outputs\lowatr_r20_opportunity_sweep_package\configs\005_peak_r20_aug_risk60_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_aug_risk60_continuous_2024_2026_m1","outputs\lowatr_r20_opportunity_sweep_package\reports_here\lowatr_r20_opp_peak_r20_aug_risk60_continuous_2024_2026_m1","AD16564E5DB1DD8953F7916E63804CD71992751C504F4142DD620AFFC54888B0","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk."
"6","peak_r20_may31_aug60","phase0_fast_model1","R20 opportunity sweep","continuous_2024_2026","1","outputs\lowatr_r20_opportunity_sweep_package\configs\006_peak_r20_may31_aug60_continuous_2024_2026_m1.ini","outputs\lowatr_r20_opportunity_sweep_package\configs\006_peak_r20_may31_aug60_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_may31_aug60_continuous_2024_2026_m1","outputs\lowatr_r20_opportunity_sweep_package\reports_here\lowatr_r20_opp_peak_r20_may31_aug60_continuous_2024_2026_m1","7A8BEE3F06EF13F7576DB9F0B65092AA9FABAD015857F6D2D89FAAB21670A75E","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk."
"7","peak_r20_islp_may_aug","phase0_fast_model1","R20 opportunity sweep","continuous_2024_2026","1","outputs\lowatr_r20_opportunity_sweep_package\configs\007_peak_r20_islp_may_aug_continuous_2024_2026_m1.ini","outputs\lowatr_r20_opportunity_sweep_package\configs\007_peak_r20_islp_may_aug_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_islp_may_aug_continuous_2024_2026_m1","outputs\lowatr_r20_opportunity_sweep_package\reports_here\lowatr_r20_opp_peak_r20_islp_may_aug_continuous_2024_2026_m1","53C0F0AC2C7BD2EE51C39920BBEAA3BF68CC217A6A87226FC4C15F711C271AC6","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk."
"8","peak_r20_islp_broad_lowrisk","phase0_fast_model1","R20 opportunity sweep","continuous_2024_2026","1","outputs\lowatr_r20_opportunity_sweep_package\configs\008_peak_r20_islp_broad_lowrisk_continuous_2024_2026_m1.ini","outputs\lowatr_r20_opportunity_sweep_package\configs\008_peak_r20_islp_broad_lowrisk_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_islp_broad_lowrisk_continuous_2024_2026_m1","outputs\lowatr_r20_opportunity_sweep_package\reports_here\lowatr_r20_opp_peak_r20_islp_broad_lowrisk_continuous_2024_2026_m1","ABD6A5F45E7A54E1443CFFCDC3886A6BD709700FCBFF045BB47CDB8168ED8FE8","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk."
"9","peak_r20_octnov_main_lowrisk","phase0_fast_model1","R20 opportunity sweep","continuous_2024_2026","1","outputs\lowatr_r20_opportunity_sweep_package\configs\009_peak_r20_octnov_main_lowrisk_continuous_2024_2026_m1.ini","outputs\lowatr_r20_opportunity_sweep_package\configs\009_peak_r20_octnov_main_lowrisk_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_octnov_main_lowrisk_continuous_2024_2026_m1","outputs\lowatr_r20_opportunity_sweep_package\reports_here\lowatr_r20_opp_peak_r20_octnov_main_lowrisk_continuous_2024_2026_m1","87349F4DB44D16CDC70F46A4F895B503137175DB6E87F46C3EED96A309151C3C","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk."
"10","peak_r20_fmlr_strict","phase0_fast_model1","R20 opportunity sweep","continuous_2024_2026","1","outputs\lowatr_r20_opportunity_sweep_package\configs\010_peak_r20_fmlr_strict_continuous_2024_2026_m1.ini","outputs\lowatr_r20_opportunity_sweep_package\configs\010_peak_r20_fmlr_strict_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_fmlr_strict_continuous_2024_2026_m1","outputs\lowatr_r20_opportunity_sweep_package\reports_here\lowatr_r20_opp_peak_r20_fmlr_strict_continuous_2024_2026_m1","9FFA21A74EAB1BB12E18D8A6B07E77B0D286ACF31517DEC74FCFA03012E72B1B","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk."
