"Candidate","Role","StrongSignalRiskEnabled","ProtectionEnabled","StrongSignalMinimumBodyRatio","StrongSignalRiskPercent","ProtectionTriggerR","ProtectionLockR","OlderNetProfit","MiddleNetProfit","RecentNetProfit","ContinuousNetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","GatePass"
"rvsstpll_control","control","false","false","0.25","0.7","1","0.1","860.86","694.54","601.99","2195.53","21.96","1.74","1.83","415","1.17","15.8168","18.7692","True"
"rvsstpll_strong_only","strong_control","true","false","0.25","0.7","1","0.1","860.86","752.95","682.6","2391.89","23.92","1.88","1.89","415","1.21","16.562","19.7686","True"
"rvsstpll_lock010","observed_reference","true","true","0.25","0.7","1","0.1","793.76","640.19","744.3","2289.77","22.9","1.8","1.88","414","1.15","17.1198","19.913","True"
"rvsstpll_lock015","lower_neighbor","true","true","0.25","0.7","1","0.15","795.16","427.68","747.1","2088.51","20.89","1.66","1.81","415","1.31","14.1412","15.9466","False"
"rvsstpll_lock020","center","true","true","0.25","0.7","1","0.2","702.5","432.38","749.9","2005.83","20.06","1.6","1.8","412","1.3","13.7678","15.4308","False"
"rvsstpll_lock025","upper_neighbor","true","true","0.25","0.7","1","0.25","705.2","436.98","752.7","2007.78","20.08","1.6","1.8","412","1.28","13.973","15.6875","False"
