Feature,Direction,Threshold,GridIndex,ControlTrades,KeptTrades,KeepRatePercent,ControlNet,FilteredNet,Improvement,ControlProfitFactor,FilteredProfitFactor,PositiveEraImpacts,WorstEraImpact,BroadLosingEras,LosingYears,Net2015_2018,Net2019_2020,Net2021_2023,Net2024_2026,Impact2015_2018,Impact2019_2020,Impact2021_2023,Impact2024_2026,WeakGate,StrictGateBeforeNeighborhood,RiskControlGateBeforeNeighborhood,PassingNeighbors,RiskControlNeighbors,EligibleForCodeTest
D1EmaSlopeATR,minimum,0.25,4,310,192,61.94,593.04,218.92,-374.12,1.2988,1.1684,0,-234.91,1,4,244.37,73.36,-225.47,126.66,-234.91,-44.11,-69.47,-25.63,False,False,False,0,0,False
H1Compression5_20,minimum,1.0,6,310,55,17.74,593.04,211.1,-381.94,1.2988,1.631,2,-325.61,1,4,153.67,128.89,-100.96,29.5,-325.61,11.42,55.04,-122.79,False,False,False,0,0,False
D1RangePosition60,minimum,0.9,7,310,68,21.94,593.04,210.48,-382.56,1.2988,1.4761,1,-335.53,1,3,143.75,80.22,-33.65,20.16,-335.53,-37.25,122.35,-132.13,False,False,False,0,0,False
D1Efficiency20,minimum,0.4,7,310,50,16.13,593.04,196.38,-396.66,1.2988,1.6755,1,-429.44,1,5,49.84,78.13,-12.03,80.44,-429.44,-39.34,143.97,-71.85,False,False,False,0,0,False
D1EmaGapATR,minimum,3.0,6,310,77,24.84,593.04,182.35,-410.69,1.2988,1.3567,1,-431.12,1,4,48.16,35.14,-38.37,137.42,-431.12,-82.33,117.63,-14.87,False,False,False,0,0,False
H4Efficiency20,maximum,0.3,0,310,198,63.87,593.04,181.9,-411.14,1.2988,1.1356,0,-202.56,1,4,276.72,15.73,-187.69,77.14,-202.56,-101.74,-31.69,-75.15,False,False,False,0,0,False
MarketD1ADX,minimum,35.0,7,310,110,35.48,593.04,179.22,-413.82,1.2988,1.2471,1,-312.05,1,5,167.23,19.69,-98.29,90.59,-312.05,-97.78,57.71,-61.7,False,False,False,0,0,False
D1EmaSlopeATR,minimum,2.0,8,310,58,18.71,593.04,158.45,-434.59,1.2988,1.421,1,-363.31,1,4,115.97,21.27,-60.86,82.07,-363.31,-96.2,95.14,-70.22,False,False,False,0,0,False
D1PriceGapATR,minimum,4.0,6,310,117,37.74,593.04,152.01,-441.03,1.2988,1.1942,1,-450.32,1,5,28.96,95.59,-110.25,137.71,-450.32,-21.88,45.75,-14.58,False,False,False,0,0,False
MarketH1ADX,maximum,25.0,0,310,83,26.77,593.04,144.86,-448.18,1.2988,1.2751,1,-374.07,1,4,105.21,22.41,-50.44,67.68,-374.07,-95.06,105.56,-84.61,False,False,False,0,0,False
MarketD1ADX,minimum,40.0,8,310,72,23.23,593.04,112.61,-480.43,1.2988,1.2512,1,-393.12,1,6,86.16,49.6,-89.36,66.21,-393.12,-67.87,66.64,-86.08,False,False,False,0,0,False
D1EmaSlopeATR,minimum,0.5,5,310,172,55.48,593.04,71.56,-521.48,1.2988,1.0587,0,-304.06,1,4,175.22,55.01,-238.11,79.44,-304.06,-62.46,-82.11,-72.85,False,False,False,0,0,False
H1Compression5_20,minimum,1.1,7,310,23,7.42,593.04,54.29,-538.75,1.2988,1.403,1,-432.81,1,3,46.47,49.52,-42.48,0.78,-432.81,-67.95,113.52,-151.51,False,False,False,0,0,False
D1EmaSlopeATR,minimum,1.5,7,310,93,30.0,593.04,34.06,-558.98,1.2988,1.0519,1,-363.57,1,5,115.71,2.46,-115.9,31.79,-363.57,-115.01,40.1,-120.5,False,False,False,0,0,False
D1Efficiency20,minimum,0.5,8,310,26,8.39,593.04,34.06,-558.98,1.2988,1.2017,1,-438.34,1,4,40.94,13.93,-22.08,1.27,-438.34,-103.54,133.92,-151.02,False,False,False,0,0,False
D1RangePosition60,maximum,0.95,3,310,266,85.81,593.04,455.33,-137.71,1.2988,1.271,1,-141.54,2,3,435.22,-24.07,-81.0,125.18,-44.06,-141.54,75.0,-27.11,False,False,False,0,0,False
H1Compression5_20,maximum,1.0,4,310,255,82.26,593.04,381.94,-211.1,1.2988,1.2315,1,-153.67,2,4,325.61,-11.42,-55.04,122.79,-153.67,-128.89,100.96,-29.5,False,False,False,0,0,False
D1PriceGapATR,maximum,5.0,3,310,228,73.55,593.04,361.56,-231.48,1.2988,1.2482,1,-171.29,2,4,432.01,24.2,-75.65,-19.0,-47.27,-93.27,80.35,-171.29,False,False,False,0,0,False
H1Efficiency20,maximum,0.5,2,310,256,82.58,593.04,356.09,-236.95,1.2988,1.2076,1,-133.16,2,4,493.4,-15.69,-201.59,79.97,14.12,-133.16,-45.59,-72.32,False,False,False,0,0,False
MarketH1ADX,maximum,45.0,4,310,265,85.48,593.04,304.86,-288.18,1.2988,1.1697,0,-147.05,2,4,414.77,-29.58,-202.34,122.01,-64.51,-147.05,-46.34,-30.28,False,False,False,0,0,False
D1PriceGapATR,maximum,3.0,1,310,140,45.16,593.04,301.58,-291.46,1.2988,1.3435,1,-165.26,2,3,342.9,61.06,-89.41,-12.97,-136.38,-56.41,66.59,-165.26,False,False,False,0,0,False
H1Efficiency20,maximum,0.4,1,310,191,61.61,593.04,240.8,-352.24,1.2988,1.1853,0,-124.46,2,4,370.32,-6.99,-207.75,85.22,-108.96,-124.46,-51.75,-67.07,False,False,False,0,0,False
MarketH4ADX,maximum,25.0,0,310,127,40.97,593.04,194.61,-398.43,1.2988,1.2319,1,-189.59,2,4,348.34,29.65,-146.08,-37.3,-130.94,-87.82,9.92,-189.59,False,False,False,0,0,False
MarketH1ADX,maximum,40.0,3,310,233,75.16,593.04,166.24,-426.8,1.2988,1.103,0,-222.87,2,5,335.4,-105.4,-212.69,148.93,-143.88,-222.87,-56.69,-3.36,False,False,False,0,0,False
MarketD1ADX,maximum,25.0,0,310,108,34.84,593.04,125.89,-467.15,1.2988,1.1781,1,-297.97,2,5,181.31,-5.98,-80.68,31.24,-297.97,-123.45,75.32,-121.05,False,False,False,0,0,False
MarketH1ADX,maximum,30.0,1,310,139,44.84,593.04,100.28,-492.76,1.2988,1.1079,0,-295.72,2,5,183.56,-22.93,-163.57,103.22,-295.72,-140.4,-7.57,-49.07,False,False,False,0,0,False
H4Efficiency20,maximum,0.4,1,310,236,76.13,593.04,75.43,-517.61,1.2988,1.0458,0,-173.81,2,5,305.47,-38.15,-241.89,50.0,-173.81,-155.62,-85.89,-102.29,False,False,False,0,0,False
H1Compression5_20,maximum,0.6,0,310,34,10.97,593.04,44.7,-548.34,1.2988,1.1814,1,-481.33,2,3,-2.05,52.34,-23.22,17.63,-481.33,-65.13,132.78,-134.66,False,False,False,0,0,False
MarketH1ADX,maximum,35.0,2,310,190,61.29,593.04,32.35,-560.69,1.2988,1.0239,0,-229.5,2,5,249.78,-64.5,-248.64,95.71,-229.5,-181.97,-92.64,-56.58,False,False,False,0,0,False
H1Efficiency20,maximum,0.3,0,310,127,40.97,593.04,-39.35,-632.39,1.2988,0.9567,0,-312.87,2,6,166.41,-41.96,-227.82,64.02,-312.87,-159.43,-71.82,-88.27,False,False,False,0,0,False
D1EmaSlopeATR,minimum,1.0,6,310,137,44.19,593.04,-149.49,-742.53,1.2988,0.8518,0,-403.26,2,6,76.02,-39.02,-237.2,50.71,-403.26,-156.49,-81.2,-101.58,False,False,False,0,0,False
MarketH4ADX,maximum,30.0,1,310,176,56.77,593.04,216.9,-376.14,1.2988,1.1834,1,-170.29,3,4,334.8,-5.55,-94.35,-18.0,-144.48,-123.02,61.65,-170.29,False,False,False,0,0,False
