"Candidate","Role","RatchetTriggerR","RatchetLockR","Net2015To2018","Net2019To2020","ContinuousNetProfit","ImprovementPercent","TotalReturnPercent","CagrPercent","ProfitFactor","Trades","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","FrozenGate"
"mpr_control","disabled_control","1.50","0.75","1036.19","370.6","1379.93","0","13.8","2.18","1.88","261","1.05","11.6775","13.1429","CONTROL"
"mpr_trigger125","lower_trigger","1.25","0.75","995.89","369.4","1347.3","-2.365","13.47","2.13","1.86","262","0.99","12.1696","13.6061","FAIL"
"mpr_center","center","1.50","0.75","1030","370.6","1382.26","0.169","13.82","2.18","1.89","261","1.06","11.6972","13.0377","FAIL"
"mpr_trigger175","upper_trigger","1.75","0.75","1036.19","370.6","1379.93","0","13.8","2.18","1.88","261","1.05","11.6775","13.1429","FAIL"
"mpr_lock050","lower_lock","1.50","0.50","1034.33","370.6","1378.07","-0.135","13.78","2.18","1.88","261","1.05","11.6618","13.1238","FAIL"
"mpr_lock100","upper_lock","1.50","1.00","1035.36","362.05","1362.22","-1.283","13.62","2.15","1.87","261","1.05","11.5276","12.9714","FAIL"
"mpr_conservative","conservative_corner","1.75","0.50","1036.19","370.6","1379.93","0","13.8","2.18","1.88","261","1.05","11.6775","13.1429","FAIL"
"mpr_aggressive","aggressive_corner","1.25","1.00","997.41","343.72","1316.76","-4.578","13.17","2.08","1.83","263","1.08","10.8958","12.1944","FAIL"
